"time","uDC","iAC[1]","iAC[2]","iAC[3]","uAC[1]","uAC[2]","uAC[3]","Losses"
0.0470002,5.1745676057039054E+002,5.6735019812278529E+002,1.0242257955244037E-001,-5.6745262070233775E+002,2.1008391868350915E+002,3.1250660065842658E+002,-5.2259051934193576E+002,3.5902074060385967E+003
0.0472002,5.1876172391994260E+002,6.2918630953535171E+002,1.6340524044982122E-001,-6.2934971477580154E+002,1.8030690465420918E+002,3.4371230850910746E+002,-5.2401921316331664E+002,3.9972321544555334E+003
0.0474002,5.2081113045115501E+002,6.7814036547294324E+002,2.2374301551590567E-001,-6.7836410848845912E+002,1.5121167234435228E+002,3.7495491160304977E+002,-5.2616658394740205E+002,4.3382785711961815E+003
0.0476002,5.2340160598880925E+002,7.0953642756315560E+002,2.8319777911821975E-001,-7.0981962534227387E+002,1.2281092175224359E+002,4.0600898406795926E+002,-5.2881990582020285E+002,4.5730579119343411E+003
0.0478002,5.2627035950373590E+002,7.1915605536468752E+002,3.4153489046712615E-001,-7.1949759025515459E+002,9.5086359584684999E+001,4.3662159158636013E+002,-5.3170795117104512E+002,4.6649915083614815E+003
0.0480002,5.2910200436848606E+002,7.0334432828312333E+002,3.9852411963582418E-001,-7.0374285240275913E+002,6.7991752889799187E+001,4.6651627104934448E+002,-5.3450802393914364E+002,4.5855138979384337E+003
0.0482002,5.3153670823459595E+002,6.5910276958118368E+002,4.5394055617268997E-001,-6.5955671013735639E+002,4.1456642605259333E+001,4.9539765271805152E+002,-5.3685429532331091E+002,4.3182291024205842E+003
0.0484002,5.3317948271522994E+002,5.8416710375536843E+002,5.0756549672007667E-001,-5.8467466925208851E+002,1.5390622338219941E+001,5.2295662662328573E+002,-5.3834724896150578E+002,3.8624182753393115E+003
0.0486002,5.3361516715976256E+002,4.7453668855495357E+002,5.6203821621472878E+000,-4.8015707071710085E+002,4.6891583747697041E-001,5.3809986889760580E+002,-5.3856878473508277E+002,3.2338277261224675E+003
0.0488002,5.3257587164796826E+002,3.0855878688277460E+002,5.7625835181146293E+001,-3.6618462206392087E+002,2.5093270076888530E-001,5.3699860853073324E+002,-5.3724954123150201E+002,2.5514615405538648E+003
0.0490002,5.2998072029124830E+002,8.1667990948024766E+001,1.6496462414031313E+002,-2.4663261508833790E+002,-8.3296549895692351E-002,5.3439124915850743E+002,-5.3430795260861169E+002,1.9270567543378345E+003
0.0492002,5.2621628650592538E+002,2.4365912464875805E-001,2.2334583924279633E+002,-2.2358949836744509E+002,-1.4350139632872458E+002,5.3066216096508822E+002,-3.8716076463636364E+002,1.7177925573948824E+003
0.0494002,5.2274689345419119E+002,1.8358921247295257E-001,2.6179794615819407E+002,-2.6198153537066702E+002,-1.7184011142861311E+002,5.2726961891920769E+002,-3.5542950749059457E+002,1.8868329431293628E+003
0.0496002,5.1990327117168795E+002,1.2279475754945679E-001,3.1648012219342286E+002,-3.1660291695097231E+002,-2.0087021271408190E+002,5.2453530577225547E+002,-3.2366509305817351E+002,2.1519272933332845E+003
0.0498002,5.1786934978869567E+002,6.1515687817518483E-002,3.8246662148133242E+002,-3.8252813716914994E+002,-2.3055877535577577E+002,5.2263330004469628E+002,-2.9207452468892052E+002,2.4970293424198835E+003
0.0500002,5.1676148446078025E+002,-6.1562304836115800E-006,4.5456852445907720E+002,-4.5456851830284671E+002,-2.6083786765455926E+002,5.2166957907247865E+002,-2.6083171141791939E+002,2.9012077042692381E+003
0.0502002,5.1662581229073771E+002,-6.1527975982585303E-002,5.2746408317043904E+002,-5.2740255519445645E+002,-2.9160383706707671E+002,5.2167963662365366E+002,-2.3007579955657695E+002,3.3373147011958172E+003
0.0504002,5.1743736764647338E+002,-1.2280697292294462E-001,5.9583163087547121E+002,-5.9570882390254826E+002,-3.2271747988290724E+002,5.2262786403601967E+002,-1.9991038415311243E+002,3.7719233284827042E+003
0.0506002,5.1910096997893152E+002,-1.8360130684629894E-001,6.5448204653927087E+002,-6.5429844523242457E+002,-3.5400509670422622E+002,5.2440870296103026E+002,-1.7040360625680410E+002,4.1666032199666652E+003
0.0508002,5.2145385817692045E+002,-2.4367105029102731E-001,6.9848778467484635E+002,-6.9824411362455533E+002,-3.8526041586682891E+002,5.2684953777182386E+002,-1.4158912190499495E+002,4.4804456351263680E+003
0.0510002,5.2427000613865926E+002,-3.0277913542306578E-001,7.2330556727975329E+002,-7.2300278814433022E+002,-4.1624734735535958E+002,5.2971525650882074E+002,-1.1346790915346116E+002,4.6735955819182000E+003
0.0512002,5.2726601646525319E+002,-3.6069228963413025E-001,7.2488998509990768E+002,-7.2452929281027355E+002,-4.4670351104441716E+002,5.3271437176277516E+002,-8.6010860718358003E+001,4.7114214924082189E+003
0.0514002,5.3010845382335185E+002,-4.1718195616260800E-001,6.9979546662773782E+002,-6.9937828467157522E+002,-4.7634446565189319E+002,5.3550655795963939E+002,-5.9162092307746150E+001,4.5688622991057091E+003
0.0516002,5.3242244736073155E+002,-4.7202519610254967E-001,6.4526434021427792E+002,-6.4479231501817537E+002,-5.0486854900468023E+002,5.3771142988208669E+002,-3.2842880877406458E+001,4.2344476839748258E+003
0.0518002,5.3380136329413097E+002,-5.2500556824134037E-001,5.5929903134415747E+002,-5.5877402577591613E+002,-5.3196222643895589E+002,5.3891835963152812E+002,-6.9561331925722243E+000,3.7134946285279875E+003
0.0520002,5.3384376626896028E+002,-1.6425301944870625E+001,4.4863325099888283E+002,-4.3220794905401220E+002,-5.3830774867038917E+002,5.3872353090171600E+002,-4.1578223132694347E-001,3.0410440238370365E+003
0.0522002,5.3236614793881347E+002,-8.6508195352325913E+001,3.3188417040132293E+002,-2.4537597504899702E+002,-5.3678346715495206E+002,5.3694233477578109E+002,-1.5886762082902806E-001,2.3588084749245450E+003
0.0524002,5.2929306249391004E+002,-2.1017856832134606E+002,2.1046175431355942E+002,-2.8318599221336616E-001,-5.3371263581084668E+002,4.0844945560496092E+002,1.2526318020588576E+002,1.6723396806687620E+003
0.0526002,5.2554996252355863E+002,-2.3435544326979237E+002,2.3457917429815612E+002,-2.2373102836374531E-001,-5.3001783757332646E+002,3.7687454483393822E+002,1.5314329273938824E+002,1.7654534497924847E+003
0.0528002,5.2226243498079430E+002,-2.7783476906405906E+002,2.7799816216447124E+002,-1.6339310041218236E-001,-5.2681721483237300E+002,3.4510523931874616E+002,1.8171197551362684E+002,1.9634709018778751E+003
0.0530002,5.1965723740326598E+002,-3.3595618491712656E+002,3.3605859525166704E+002,-1.0241033454050277E-001,-5.2432820419799305E+002,3.1336932057436405E+002,2.1095888362362905E+002,2.2522597180859652E+003
0.0532002,5.1789653222560435E+002,-4.0371171069005953E+002,4.0375273409192476E+002,-4.1023401865231880E-002,-5.2270295207090203E+002,2.8186319747974738E+002,2.4083975459115459E+002,2.6143792998765052E+003
0.0534002,5.1707409021392073E+002,-4.7587229668814416E+002,4.7585177125670879E+002,2.0525431435389450E-002,-5.2202477118300408E+002,2.5074965961110189E+002,2.7127511157190224E+002,3.0270256681594842E+003
0.0536002,5.1721321502048602E+002,-5.4711894281304819E+002,5.4703694955281287E+002,8.1993260235314280E-002,-5.2230632739330940E+002,2.2015649258240848E+002,3.0214983481090098E+002,3.4610989068309359E+003
0.0538002,5.1826642996804435E+002,-6.1217541072410097E+002,6.1203227322500470E+002,1.4313749909625123E-001,-5.2348959189597167E+002,1.9017597483118220E+002,3.3331361706478941E+002,3.8815688859725160E+003
0.0540002,5.2011692824391059E+002,-6.6593952716994147E+002,6.6573581033029996E+002,2.0371683964156523E-001,-5.2544755401692862E+002,1.6086525532936372E+002,3.6458229868756490E+002,4.2491583301300379E+003
0.0542002,5.2258174786131997E+002,-7.0361011794602950E+002,7.0334662574313927E+002,2.6349220289019465E-001,-5.2798765003561130E+002,1.3224759182673859E+002,3.9574005820887265E+002,4.5232035989290089E+003
0.0544002,5.2541659391410849E+002,-7.2080671887593121E+002,7.2048449119313909E+002,3.2222768279216579E-001,-5.3085682485075881E+002,1.0431440991561624E+002,4.2654241493514257E+002,4.6654087870736594E+003
0.0546002,5.2832219367011783E+002,-7.1367938021658370E+002,7.1329968873934172E+002,3.7969147724199642E-001,-5.3374810666877340E+002,7.7028124867839665E+001,4.5671998180093374E+002,4.6440925016256761E+003
0.0548002,5.3095203573462777E+002,-6.7900610997246702E+002,6.7857045316957135E+002,4.3565680289570663E-001,-5.3630854103719298E+002,5.0325651242559616E+001,4.8598288979463342E+002,4.4384507574289801E+003
0.0550002,5.3292131362148007E+002,-6.1427578449786733E+002,6.1378588170768626E+002,4.8990279018106880E-001,-5.3814830021807177E+002,2.4122510067351300E+001,5.1402579015072047E+002,4.0423318152815496E+003
