"time","y_0","y_1","y_2"
0.72,6.4443660730611543E+002,5.1919879000000023E+001,6.1001556000000022E+001
0.73,6.5375244684807831E+002,5.2798401000000013E+001,6.3366628000000020E+001
0.74,6.6278062877189461E+002,5.2798401000000013E+001,6.3366628000000020E+001
0.75,6.7151042691433224E+002,5.3632013000000015E+001,6.3366628000000020E+001
0.76,6.7993125490620037E+002,5.3632013000000015E+001,6.3366628000000020E+001
0.77,6.8803283468061647E+002,5.4420275000000018E+001,6.5547889000000026E+001
0.78,6.9580516747595425E+002,5.4420275000000018E+001,6.5547889000000026E+001
0.79,7.0323841880981422E+002,5.5162805000000006E+001,6.5547889000000026E+001
0.8,7.1032319653859236E+002,5.5162805000000006E+001,6.5547889000000026E+001
0.81,7.1705021935896025E+002,5.5859277000000013E+001,6.7541827000000026E+001
0.82,7.2341061144040521E+002,5.5859277000000013E+001,6.7541827000000026E+001
0.83,7.2939574936524809E+002,5.6509419000000008E+001,6.7541827000000026E+001
0.84,7.3499736483312051E+002,5.6509419000000008E+001,6.7541827000000026E+001
0.85,7.4020742986278412E+002,5.7113020000000013E+001,6.9345834000000025E+001
0.86,7.4501832760992033E+002,5.7113020000000013E+001,6.9345834000000025E+001
0.87,7.4942273969776033E+002,5.7669923000000018E+001,6.9345834000000025E+001
0.88,7.5341371127364812E+002,5.7669923000000018E+001,6.9345834000000025E+001
0.89,7.5698450516918422E+002,5.8180030000000016E+001,7.0958214000000027E+001
0.9,7.6012893402408395E+002,5.8180030000000016E+001,7.0958214000000027E+001
0.91,7.6284106074678516E+002,5.8643298000000016E+001,7.0958214000000027E+001
0.92,7.6511529839322111E+002,5.8643298000000016E+001,7.0958214000000027E+001
0.93,7.6694643645246015E+002,5.9059741000000017E+001,7.2378184000000019E+001
0.94,7.6832970599772216E+002,5.9059741000000017E+001,7.2378184000000019E+001
0.95,7.6926062617721993E+002,5.9429429000000006E+001,7.2378184000000019E+001
0.96,7.6973516899154993E+002,5.9429429000000006E+001,7.2378184000000019E+001
0.97,7.6974962203240216E+002,5.9752487000000016E+001,7.3605862000000030E+001
0.98,7.6930079575779985E+002,5.9752487000000016E+001,7.3605862000000030E+001
0.99,7.6838572669586995E+002,6.0029099000000016E+001,7.3605862000000030E+001
1,7.6700196123794092E+002,6.0029099000000016E+001,7.3605862000000030E+001
1.01,7.6514741636300096E+002,6.0259498000000008E+001,7.4642264000000011E+001
1.02,7.6282036301548760E+002,6.0259498000000008E+001,7.4642264000000011E+001
1.03,7.6001955593277296E+002,6.0443974000000011E+001,7.4642264000000011E+001
1.04,7.5674411079350261E+002,6.0443974000000011E+001,7.4642264000000011E+001
1.05,7.5299358382125990E+002,6.0582871000000011E+001,7.5489275000000021E+001
1.06,7.4876783391110666E+002,6.0582871000000011E+001,7.5489275000000021E+001
1.07,7.4406731928893964E+002,6.0676583999999998E+001,7.5489275000000021E+001
1.08,7.3889269190522464E+002,6.0676583999999998E+001,7.5489275000000021E+001
1.09,7.3324511851840975E+002,6.0725559000000004E+001,7.6149639000000008E+001
1.1,7.2712623926833351E+002,6.0725559000000004E+001,7.6149639000000008E+001
1.11,7.2053794221350347E+002,6.0730295999999996E+001,7.6149639000000008E+001
1.12,7.1348262209860559E+002,6.0730295999999996E+001,7.6149639000000008E+001
1.13,7.0596313169401742E+002,6.0691340999999994E+001,7.6626926999999995E+001
1.14,6.9798249660727629E+002,6.0691340999999994E+001,7.6626926999999995E+001
1.15,6.8954442652344915E+002,6.0609288999999990E+001,7.6626926999999995E+001
1.16,6.8065281643048718E+002,6.0609288999999990E+001,7.6626926999999995E+001
1.17,6.7131206327749408E+002,6.0484783999999991E+001,7.6925501999999994E+001
1.18,6.6152689567887910E+002,6.0484783999999991E+001,7.6925501999999994E+001
1.19,6.5130242000271403E+002,6.0318515999999988E+001,7.6925501999999994E+001
1.2,6.4064421007199905E+002,6.0318515999999988E+001,7.6925501999999994E+001
1.21,6.2955809950185505E+002,6.0111217999999987E+001,7.7050492000000006E+001
1.22,6.1805034001919887E+002,6.0111217999999987E+001,7.7050492000000006E+001
1.23,6.0612759542159893E+002,5.9863667999999990E+001,7.7050492000000006E+001
1.24,5.9379683128171882E+002,5.9863667999999990E+001,7.7050492000000006E+001
1.25,5.8106533566199880E+002,5.9576684999999983E+001,7.7007739999999998E+001
1.26,5.6794086584833178E+002,5.9576684999999983E+001,7.7007739999999998E+001
1.27,5.5443138655091980E+002,5.9251129999999989E+001,7.7007739999999998E+001
1.28,5.4054530109737368E+002,5.9251129999999989E+001,7.7007739999999998E+001
1.29,5.2629123387743584E+002,5.8887901999999983E+001,7.6803764999999999E+001
1.3,5.1167820259359263E+002,5.8887901999999983E+001,7.6803764999999999E+001
1.31,4.9671554259354161E+002,5.8487935999999983E+001,7.6803764999999999E+001
1.32,4.8141290271293303E+002,5.8487935999999983E+001,7.6803764999999999E+001
1.33,4.6578012757198513E+002,5.8052207299999985E+001,7.6445713299999994E+001
1.34,4.4982744663489927E+002,5.8052207299999985E+001,7.6445713299999994E+001
1.35,4.3356533141548687E+002,5.7581719899999982E+001,7.6445713299999994E+001
1.36,4.1700453250999533E+002,5.7581719899999982E+001,7.6445713299999994E+001
1.37,4.0015605066138050E+002,5.7077513399999980E+001,7.5941304399999993E+001
1.38,3.8303114645332533E+002,5.7077513399999980E+001,7.5941304399999993E+001
1.39,3.6564131571659965E+002,5.6540657799999977E+001,7.5941304399999993E+001
1.4,3.4799827626326089E+002,5.6540657799999977E+001,7.5941304399999993E+001
1.41,3.3011397862081600E+002,5.5972248999999962E+001,7.5298779999999979E+001
1.42,3.1200059085929445E+002,5.5972248999999962E+001,7.5298779999999979E+001
1.43,2.9367045347027397E+002,5.5373414999999973E+001,7.5298779999999979E+001
1.44,2.7513612150231592E+002,5.5373414999999973E+001,7.5298779999999979E+001
1.45,2.5641031144287683E+002,5.4745303999999962E+001,7.4526843999999983E+001
1.46,2.3750592013228783E+002,5.4745303999999962E+001,7.4526843999999983E+001
1.47,2.1843597602557750E+002,5.4089090199999966E+001,7.4526843999999983E+001
1.48,1.9921368567433274E+002,5.4089090199999966E+001,7.4526843999999983E+001
1.49,1.7985236506846462E+002,5.3405967399999959E+001,7.3634604399999972E+001
1.5,1.6036545217879222E+002,5.3405967399999959E+001,7.3634604399999972E+001
1.51,1.4076650155254762E+002,5.2697149199999963E+001,7.3634604399999972E+001
1.52,1.2106916328552022E+002,5.2697149199999963E+001,7.3634604399999972E+001
1.53,1.0128716999786573E+002,5.1963866699999961E+001,7.2631509699999981E+001
1.54,8.1434335321068787E+001,5.1963866699999961E+001,7.2631509699999981E+001
1.55,6.1524528690493376E+001,5.1207366299999954E+001,7.2631509699999981E+001
1.56,4.1571671097538776E+001,5.1207366299999954E+001,7.2631509699999981E+001
1.57,2.1589717177945641E+001,5.0428905509999957E+001,7.1527288509999977E+001
1.58,1.5926523903488514E+000,5.0428905509999957E+001,7.1527288509999977E+001
1.59,-1.8405527308837698E+001,4.9629755859999953E+001,7.1527288509999977E+001
1.6,-3.8390824694370508E+001,4.9629755859999953E+001,7.1527288509999977E+001
1.61,-5.8349254264574206E+001,4.8811197099999951E+001,7.0331880099999964E+001
1.62,-7.8266851639389600E+001,4.8811197099999951E+001,7.0331880099999964E+001
1.63,-9.8129688655417510E+001,4.7974515099999955E+001,7.0331880099999964E+001
1.64,-1.1792388737942552E+002,4.7974515099999955E+001,7.0331880099999964E+001
1.65,-1.3763562714622131E+002,4.7121001699999951E+001,6.9055376699999954E+001
1.66,-1.5725116540109153E+002,4.7121001699999951E+001,6.9055376699999954E+001
