"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0.54,2.0282719833062264E+000,4.0282719833062259E+000,5.2827198330622638E-001,8.7403118581029249E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.56,2.0623723958417668E+000,4.0623723958417663E+000,5.6237239584176679E-001,9.0301653646550184E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.58,2.0960478735837471E+000,4.0960478735837471E+000,5.9604787358374711E-001,9.3164069254618509E-001,0,2.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.6,2.1292849467900705E+000,4.1292849467900705E+000,6.2928494679007074E-001,9.5989220477156012E-001,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.62,2.1620703210746104E+000,4.1620703210746104E+000,6.6207032107461017E-001,9.8775977291341865E-001,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.64,2.1943908827247842E+000,4.1943908827247842E+000,6.9439088272478422E-001,1.0152322503160667E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.66,2.2262337039468676E+000,4.2262337039468676E+000,7.2623370394686759E-001,1.0422986483548375E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.68,2.2575860480369370E+000,4.2575860480369370E+000,7.5758604803693719E-001,1.0689481408313966E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.7,2.2884353744753820E+000,4.2884353744753820E+000,7.8843537447538226E-001,1.0951700683040748E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.72,2.3187693439429462E+000,4.3187693439429466E+000,8.1876934394294620E-001,1.1209539423515043E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,0.0000000000000000E+000
0.74,2.3485758232562901E+000,4.3485758232562901E+000,8.4857582325629011E-001,1.1462894497678466E+000,0,2.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.9158745096856458E+000
0.76,2.3778428902211024E+000,4.3778428902211024E+000,8.7784289022110262E-001,1.1711664566879372E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.7381884237147553E+000
0.78,2.4065588384008203E+000,4.4065588384008203E+000,9.0655883840082030E-001,1.1955750126406972E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5496959589947594E+000
0.8,2.4347121817990454E+000,4.4347121817990454E+000,9.3471218179904558E-001,1.2195053545291887E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.3511410091698930E+000
0.82,2.4622916594537916E+000,4.4622916594537916E+000,9.6229165945379180E-001,1.2429479105357231E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.1433071799159866E+000
0.84,2.4892862399417188E+000,4.4892862399417188E+000,9.8928623994171860E-001,1.2658933039504607E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.9270146964068624E+000
0.86,2.5156851257905539E+000,4.5156851257905544E+000,1.0156851257905539E+000,1.2883323569219709E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.7031171662602915E+000
0.88,2.5414777577979386E+000,4.5414777577979386E+000,1.0414777577979386E+000,1.3102560941282477E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.4724982107387126E+000
0.9,2.5666538192549666E+000,4.5666538192549666E+000,1.0666538192549668E+000,1.3316557463667218E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.2360679774997900E+000
0.92,2.5912032400727321E+000,4.5912032400727316E+000,1.0912032400727321E+000,1.3525227540618223E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,9.9475954865941929E-001
0.94,2.6151162008102284E+000,4.6151162008102284E+000,1.1151162008102287E+000,1.3728487706886945E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,7.4952525834289829E-001
0.96,2.6383831366019965E+000,4.6383831366019965E+000,1.1383831366019965E+000,1.3926256661116971E+000,0,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,5.0133293425721814E-001
0.98,2.6609947409839410E+000,4.6609947409839414E+000,1.1609947409839410E+000,1.4118455298363499E+000,0,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5116207811725433E-001
1,2.6829419696157930E+000,4.6829419696157935E+000,1.1829419696157930E+000,1.4305006741734241E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,4.8985871965894128E-016,4.8985871965894128E-016
1.021,2.7042160438987262E+000,4.7042160438987262E+000,1.2042160438987259E+000,1.4485836373139169E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5116207811725338E-001
1.041,2.7248084544866771E+000,4.7248084544866771E+000,1.2248084544866769E+000,1.4660871863136753E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-5.0133293425721714E-001
1.061,2.7447109646899728E+000,4.7447109646899728E+000,1.2447109646899726E+000,1.4830043199864766E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-7.4952525834289907E-001
1.081,2.7639156137698953E+000,4.7639156137698953E+000,1.2639156137698950E+000,1.4993282717044107E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-9.9475954865942007E-001
1.101,2.7824147201228708E+000,4.7824147201228708E+000,1.2824147201228708E+000,1.5150525121044403E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.2360679774997909E+000
1.121,2.8002008843530102E+000,4.8002008843530106E+000,1.3002008843530102E+000,1.5301707517000587E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.4724982107387132E+000
