"time","heatCapacitor_T","switch_Controll"
1.921,2.9842667980816998E+002,1
1.941,2.9841613647027145E+002,1
1.961,2.9840561419902832E+002,1
1.981,2.9839511295234723E+002,1
2.001,2.9838463268821897E+002,1
2.021,2.9837417336471839E+002,1
2.041,2.9836373494000378E+002,1
2.061,2.9835331737231758E+002,1
2.081,2.9834292061998508E+002,1
2.101,2.9833254464141527E+002,1
2.121,2.9832218939510000E+002,1
2.141,2.9831185483961389E+002,1
2.161,2.9830154093361489E+002,1
2.181,2.9829124763584321E+002,1
2.201,2.9828097490512141E+002,1
2.221,2.9827072270035450E+002,1
2.241,2.9826049098052960E+002,1
2.261,2.9825027970471558E+002,1
2.281,2.9840657513565128E+002,0
2.301,2.9859177979940148E+002,0
2.321,2.9877647546317161E+002,0
2.341,2.9896066372211419E+002,0
2.361,2.9914434616496743E+002,0
2.381,2.9932752437409289E+002,0
2.401,2.9951019992551159E+002,0
2.421,2.9969237438893970E+002,0
2.441,2.9987404932782545E+002,0
2.461,3.0005522629938338E+002,0
2.481,3.0023590685463091E+002,0
2.501,3.0041609253842256E+002,0
2.521,3.0059578488948506E+002,0
2.541,3.0077498544045153E+002,0
2.561,3.0095369571789593E+002,0
2.581,3.0113191724236685E+002,0
2.601,3.0130965152842128E+002,0
2.621,3.0148690008465763E+002,0
2.641,3.0166366441374942E+002,0
2.661,3.0183994601247758E+002,0
2.681,3.0195777019402306E+002,1
2.701,3.0194017138042847E+002,1
2.721,3.0192260773104317E+002,1
2.741,3.0190507917560558E+002,1
2.761,3.0188758564399433E+002,1
2.781,3.0187012706622846E+002,1
2.801,3.0185270337246669E+002,1
2.821,3.0183531449300716E+002,1
2.841,3.0181796035828728E+002,1
2.861,3.0180064089888361E+002,1
2.881,3.0178335604551131E+002,1
2.901,3.0176610572902416E+002,1
2.921,3.0174888988041397E+002,1
2.941,3.0173170843081039E+002,1
2.961,3.0171456131148074E+002,1
2.981,3.0169744845382940E+002,1
3.001,3.0168036978939841E+002,1
3.021,3.0166332524986615E+002,1
3.041,3.0164631476704767E+002,1
3.061,3.0162933827289402E+002,1
3.081,3.0168978779063872E+002,0
3.101,3.0186599806305770E+002,0
3.121,3.0204172731622276E+002,0
3.141,3.0221697703436774E+002,0
3.161,3.0239174869593620E+002,0
3.181,3.0256604377361265E+002,0
3.201,3.0273986373435451E+002,0
3.221,3.0291321003942318E+002,0
3.241,3.0308608414441517E+002,0
3.261,3.0325848749929321E+002,0
3.281,3.0343042154841646E+002,0
3.301,3.0360188773057081E+002,0
3.321,3.0377288747899922E+002,0
3.341,3.0394342222143177E+002,0
3.361,3.0411349338011524E+002,0
3.381,3.0428310237184195E+002,0
3.401,3.0445225060798020E+002,0
3.421,3.0462093949450178E+002,0
3.441,3.0478917043201221E+002,0
3.461,3.0495694481577800E+002,0
3.481,3.0512426403575608E+002,0
3.501,3.0529112947662094E+002,0
3.521,3.0545754251779374E+002,0
3.541,3.0550914075806230E+002,1
3.561,3.0548444594692472E+002,1
3.581,3.0545980047851720E+002,1
3.601,3.0543520425424799E+002,1
3.621,3.0541065717572224E+002,1
3.641,3.0538615914474178E+002,1
3.661,3.0536171006330500E+002,1
3.681,3.0533730983360533E+002,1
3.701,3.0531295835803223E+002,1
3.721,3.0528865553917007E+002,1
3.741,3.0526440127979765E+002,1
3.761,3.0524019548288840E+002,1
3.781,3.0521603805160942E+002,1
3.801,3.0519192888932116E+002,1
3.821,3.0516786789957740E+002,1
3.841,3.0514385498612455E+002,1
3.861,3.0511989005290110E+002,1
3.881,3.0509597300403772E+002,1
3.901,3.0507210374385693E+002,1
3.921,3.0522958191361312E+002,0
3.941,3.0539616180309304E+002,0
3.961,3.0556229016038196E+002,0
3.981,3.0572796835639201E+002,0
4.001,3.0589319775685294E+002,0
4.021,3.0605797972234069E+002,0
4.041,3.0622231560830357E+002,0
4.061,3.0638620676508953E+002,0
4.081,3.0654965453797212E+002,0
4.101,3.0671266026717757E+002,0
4.121,3.0687522528791044E+002,0
4.141,3.0703735093038011E+002,0
4.161,3.0719903851982576E+002,0
4.181,3.0736028937654305E+002,0
4.201,3.0752110481590864E+002,0
4.221,3.0768148614840618E+002,0
4.241,3.0784143467965094E+002,0
4.261,3.0800095171041460E+002,0
4.281,3.0816003853665035E+002,0
4.301,3.0831869644951706E+002,0
4.321,3.0847692673540405E+002,0
4.341,3.0863473067595464E+002,0
4.361,3.0879210954809071E+002,0
4.381,3.0894906462403674E+002,0
4.401,3.0910559717134225E+002,0
4.421,3.0920528268490216E+002,1
4.441,3.0917320260839756E+002,1
4.461,3.0914118663113010E+002,1
4.481,3.0910923462502308E+002,1
4.501,3.0907734646225555E+002,1
4.521,3.0904552201526218E+002,1
4.541,3.0901376115673258E+002,1
4.561,3.0898206375961007E+002,1
4.581,3.0895042969709266E+002,1
4.601,3.0891885884263144E+002,1
4.621,3.0888735106993028E+002,1
4.641,3.0885590625294537E+002,1
4.661,3.0882452426588486E+002,1
4.681,3.0879320498320817E+002,1
4.701,3.0876194827962564E+002,1
4.721,3.0873075403009784E+002,1
4.741,3.0869962210983533E+002,1
4.761,3.0866855239429799E+002,1
4.781,3.0879762960075607E+002,0
4.801,3.0895456981438485E+002,0
4.821,3.0911108754380996E+002,0
4.841,3.0926718405176786E+002,0
4.861,3.0942286059636848E+002,0
4.881,3.0957811843111870E+002,0
4.901,3.0973295880494464E+002,0
4.921,3.0988738296221550E+002,0
4.941,3.1004139214276535E+002,0
4.961,3.1019498758191594E+002,0
4.981,3.1034817051049930E+002,0
5,3.1049331332177940E+002,0
5.02,3.1064569537803789E+002,0
5.04,3.1079766852873701E+002,0
5.06,3.1094923398718930E+002,0
5.08,3.1110039296232605E+002,0
5.1,3.1125114665871820E+002,0
5.12,3.1140149627659827E+002,0
5.14,3.1155144301188091E+002,0
5.16,3.1170098805618466E+002,0
5.18,3.1185013259685229E+002,0
5.2,3.1199887781697157E+002,0
5.22,3.1214722489539622E+002,0
5.24,3.1229517500676593E+002,0
5.26,3.1244272932152711E+002,0
5.28,3.1258988900595239E+002,0
5.3,3.1273665522216169E+002,0
5.32,3.1288302912814095E+002,0
5.34,3.1302901187776308E+002,0
5.36,3.1310971406273990E+002,1
5.38,3.1306983253748069E+002,1
5.4,3.1303003069954224E+002,1
5.42,3.1299030838970106E+002,1
5.44,3.1295066544905217E+002,1
5.46,3.1291110171900789E+002,1
5.48,3.1287161704129738E+002,1
5.5,3.1283221125796615E+002,1
5.52,3.1279288421137505E+002,1
5.54,3.1275363574420032E+002,1
5.56,3.1271446569943237E+002,1
5.58,3.1267537392037502E+002,1
5.6,3.1263636025064568E+002,1
5.62,3.1259742453417397E+002,1
5.64,3.1255856661520153E+002,1
5.66,3.1251978633828077E+002,1
5.68,3.1248108354827542E+002,0
5.7,3.1262814067282534E+002,0
5.72,3.1277480463106355E+002,0
5.74,3.1292107657990351E+002,0
5.76,3.1306695767215001E+002,0
5.78,3.1321244905651889E+002,0
5.8,3.1335755187765659E+002,0
5.82,3.1350226727615973E+002,0
5.84,3.1364659638859399E+002,0
5.86,3.1379054034751346E+002,0
5.88,3.1393410028147918E+002,0
