"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
3.221,7.4264048950005321E+000,7.4264048950005321E+000,-1.6598009999999771E+001,-1.6598009999999771E+001
3.241,7.0924826950005357E+000,7.0924826950005357E+000,-1.6794209999999804E+001,-1.6794209999999804E+001
3.261,6.7546364950005398E+000,6.7546364950005398E+000,-1.6990409999999837E+001,-1.6990409999999837E+001
3.281,6.4128662950005424E+000,6.4128662950005424E+000,-1.7186609999999870E+001,-1.7186609999999870E+001
3.301,6.0671720950005446E+000,6.0671720950005446E+000,-1.7382809999999903E+001,-1.7382809999999903E+001
3.321,5.7175538950005462E+000,5.7175538950005462E+000,-1.7579009999999936E+001,-1.7579009999999936E+001
3.341,5.3640116950005465E+000,5.3640116950005465E+000,-1.7775209999999969E+001,-1.7775209999999969E+001
3.361,5.0065454950005472E+000,5.0065454950005472E+000,-1.7971410000000002E+001,-1.7971410000000002E+001
3.381,4.6451552950005466E+000,4.6451552950005466E+000,-1.8167610000000035E+001,-1.8167610000000035E+001
3.401,4.2798410950005454E+000,4.2798410950005454E+000,-1.8363810000000068E+001,-1.8363810000000068E+001
3.421,3.9106028950005443E+000,3.9106028950005443E+000,-1.8560010000000101E+001,-1.8560010000000101E+001
3.441,3.5374406950005417E+000,3.5374406950005417E+000,-1.8756210000000134E+001,-1.8756210000000134E+001
3.461,3.1603544950005387E+000,3.1603544950005387E+000,-1.8952410000000167E+001,-1.8952410000000167E+001
3.481,2.7793442950005351E+000,2.7793442950005351E+000,-1.9148610000000200E+001,-1.9148610000000200E+001
3.501,2.3944100950005307E+000,2.3944100950005307E+000,-1.9344810000000233E+001,-1.9344810000000233E+001
3.521,2.0055518950005258E+000,2.0055518950005258E+000,-1.9541010000000266E+001,-1.9541010000000266E+001
3.541,1.6127696950005199E+000,1.6127696950005199E+000,-1.9737210000000299E+001,-1.9737210000000299E+001
3.561,1.2160634950005138E+000,1.2160634950005138E+000,-1.9933410000000332E+001,-1.9933410000000332E+001
3.581,8.1543329500050654E-001,8.1543329500050654E-001,-2.0129610000000365E+001,-2.0129610000000365E+001
3.601,4.1087909500049857E-001,4.1087909500049857E-001,-2.0325810000000399E+001,-2.0325810000000399E+001
3.621,2.4008950004903891E-003,2.4008950004903891E-003,-2.0522010000000432E+001,-2.0522010000000432E+001
3.641,3.1031295900000627E-001,2.9080773000000620E-001,1.6239066000000317E+001,1.5212475000000326E+001
3.661,6.3313227900001245E-001,5.9309523000001274E-001,1.6042866000000284E+001,1.5016275000000329E+001
3.681,9.5202759900001810E-001,8.9145873000001896E-001,1.5846666000000280E+001,1.4820075000000331E+001
3.701,1.2669989190000239E+000,1.1858982300000251E+000,1.5650466000000282E+001,1.4623875000000334E+001
3.721,1.5780462390000303E+000,1.4764137300000311E+000,1.5454266000000285E+001,1.4427675000000336E+001
3.741,1.8851695590000364E+000,1.7630052300000374E+000,1.5258066000000287E+001,1.4231475000000339E+001
3.761,2.1883688790000413E+000,2.0456727300000441E+000,1.5061866000000290E+001,1.4035275000000341E+001
3.781,2.4876441990000466E+000,2.3244162300000513E+000,1.4865666000000292E+001,1.3839075000000344E+001
3.801,2.7829955190000524E+000,2.5992357300000588E+000,1.4669466000000295E+001,1.3642875000000346E+001
3.821,3.0744228390000585E+000,2.8701312300000663E+000,1.4473266000000297E+001,1.3446675000000349E+001
3.841,3.3619261590000651E+000,3.1371027300000724E+000,1.4277066000000300E+001,1.3250475000000351E+001
3.861,3.6455054790000720E+000,3.4001502300000790E+000,1.4080866000000302E+001,1.3054275000000354E+001
3.881,3.9251607990000772E+000,3.6592737300000859E+000,1.3884666000000305E+001,1.2858075000000357E+001
3.901,4.2008921190000823E+000,3.9144732300000933E+000,1.3688466000000307E+001,1.2661875000000359E+001
3.921,4.4726994390000883E+000,4.1657487300001002E+000,1.3492266000000310E+001,1.2465675000000362E+001
3.941,4.7405827590000946E+000,4.4131002300001088E+000,1.3296066000000312E+001,1.2269475000000364E+001
3.961,5.0045420790001014E+000,4.6565277300001151E+000,1.3099866000000315E+001,1.2073275000000367E+001
3.981,5.2645773990001086E+000,4.8960312300001219E+000,1.2903666000000317E+001,1.1877075000000369E+001
4.001,5.5206887190001144E+000,5.1316107300001290E+000,1.2707466000000320E+001,1.1680875000000372E+001
4.021,5.7728760390001206E+000,5.3632662300001366E+000,1.2511266000000322E+001,1.1484675000000374E+001
4.041,6.0211393590001263E+000,5.5909977300001445E+000,1.2315066000000325E+001,1.1288475000000377E+001
4.061,6.2654786790001333E+000,5.8148052300001529E+000,1.2118866000000327E+001,1.1092275000000379E+001
4.081,6.5058939990001399E+000,6.0346887300001599E+000,1.1922666000000330E+001,1.0896075000000382E+001
4.101,6.7423853190001477E+000,6.2506482300001664E+000,1.1726466000000332E+001,1.0699875000000384E+001
4.121,6.9749526390001533E+000,6.4626837300001743E+000,1.1530266000000335E+001,1.0503675000000387E+001
4.141,7.2035959590001601E+000,6.6707952300001816E+000,1.1334066000000337E+001,1.0307475000000389E+001
4.161,7.4283152790001656E+000,6.8749827300001902E+000,1.1137866000000340E+001,1.0111275000000392E+001
4.181,7.6491105990001733E+000,7.0752462300001984E+000,1.0941666000000343E+001,9.9150750000003942E+000
4.201,7.8659819190001796E+000,7.2715857300002069E+000,1.0745466000000345E+001,9.7188750000003967E+000
4.221,8.0789292390001890E+000,7.4640012300002132E+000,1.0549266000000348E+001,9.5226750000003992E+000
4.241,8.2879525590001979E+000,7.6524927300002217E+000,1.0353066000000350E+001,9.3264750000004017E+000
4.261,8.4930518790002019E+000,7.8370602300002288E+000,1.0156866000000353E+001,9.1302750000004043E+000
4.281,8.6942271990002080E+000,8.0177037300002372E+000,9.9606660000003551E+000,8.9340750000004068E+000
4.301,8.8914785190002164E+000,8.1944232300002451E+000,9.7644660000003576E+000,8.7378750000004093E+000
4.321,9.0848058390002251E+000,8.3672187300002552E+000,9.5682660000003601E+000,8.5416750000004118E+000
4.341,9.2742091590002307E+000,8.5360902300002639E+000,9.3720660000003626E+000,8.3454750000004143E+000
4.361,9.4596884790002385E+000,8.7010377300002695E+000,9.1758660000003651E+000,8.1492750000004168E+000
4.381,9.6412437990002466E+000,8.8620612300002772E+000,8.9796660000003676E+000,7.9530750000004193E+000
4.401,9.8188751190002534E+000,9.0191607300002872E+000,8.7834660000003701E+000,7.7568750000004218E+000
4.421,9.9925824390002589E+000,9.1723362300002975E+000,8.5872660000003727E+000,7.5606750000004244E+000
4.441,1.0162365759000267E+001,9.3215877300003047E+000,8.3910660000003752E+000,7.3644750000004269E+000
4.461,1.0328225079000276E+001,9.4669152300003123E+000,8.1948660000003777E+000,7.1682750000004294E+000
4.481,1.0490160399000285E+001,9.6083187300003221E+000,7.9986660000003802E+000,6.9720750000004319E+000
4.501,1.0648171719000290E+001,9.7457982300003305E+000,7.8024660000003827E+000,6.7758750000004344E+000
4.521,1.0802259039000297E+001,9.8793537300003376E+000,7.6062660000003852E+000,6.5796750000004369E+000
4.541,1.0952422359000307E+001,1.0008985230000347E+001,7.4100660000003877E+000,6.3834750000004394E+000
4.561,1.1098661679000314E+001,1.0134692730000358E+001,7.2138660000003902E+000,6.1872750000004419E+000
4.581,1.1240976999000321E+001,1.0256476230000366E+001,7.0176660000003928E+000,5.9910750000004445E+000
4.601,1.1379368319000330E+001,1.0374335730000373E+001,6.8214660000003953E+000,5.7948750000004470E+000
4.621,1.1513835639000341E+001,1.0488271230000382E+001,6.6252660000003978E+000,5.5986750000004495E+000
4.641,1.1644378959000345E+001,1.0598282730000394E+001,6.4290660000004003E+000,5.4024750000004520E+000
4.661,1.1770998279000352E+001,1.0704370230000402E+001,6.2328660000004028E+000,5.2062750000004545E+000
4.681,1.1893693599000361E+001,1.0806533730000410E+001,6.0366660000004053E+000,5.0100750000004570E+000
4.701,1.2012464919000372E+001,1.0904773230000421E+001,5.8404660000004078E+000,4.8138750000004595E+000
4.721,1.2127312239000378E+001,1.0999088730000432E+001,5.6442660000004103E+000,4.6176750000004620E+000
4.741,1.2238235559000387E+001,1.1089480230000438E+001,5.4480660000004129E+000,4.4214750000004646E+000
4.761,1.2345234879000396E+001,1.1175947730000447E+001,5.2518660000004154E+000,4.2252750000004671E+000
4.781,1.2448310199000405E+001,1.1258491230000457E+001,5.0556660000004179E+000,4.0290750000004696E+000
4.801,1.2547461519000411E+001,1.1337110730000470E+001,4.8594660000004204E+000,3.8328750000004721E+000
4.821,1.2642688839000419E+001,1.1411806230000478E+001,4.6632660000004229E+000,3.6366750000004746E+000
4.841,1.2733992159000429E+001,1.1482577730000486E+001,4.4670660000004254E+000,3.4404750000004771E+000
4.861,1.2821371479000440E+001,1.1549425230000496E+001,4.2708660000004279E+000,3.2442750000004796E+000
4.881,1.2904826799000446E+001,1.1612348730000507E+001,4.0746660000004304E+000,3.0480750000004821E+000
4.901,1.2984358119000454E+001,1.1671348230000515E+001,3.8784660000004330E+000,2.8518750000004847E+000
4.921,1.3059965439000464E+001,1.1726423730000525E+001,3.6822660000004355E+000,2.6556750000004872E+000
4.941,1.3131648759000473E+001,1.1777575230000537E+001,3.4860660000004380E+000,2.4594750000004897E+000
4.961,1.3199408079000481E+001,1.1824802730000545E+001,3.2898660000004405E+000,2.2632750000004922E+000
4.981,1.3263243399000491E+001,1.1868106230000553E+001,3.0936660000004430E+000,2.0670750000004947E+000
5,1.3320252348000500E+001,1.1905609950000562E+001,2.9072760000004454E+000,1.8806850000004942E+000
5.02,1.3376435868000508E+001,1.1941261650000573E+001,2.7110760000004479E+000,1.6844850000004923E+000
5.04,1.3428695388000515E+001,1.1972989350000585E+001,2.5148760000004504E+000,1.4882850000004904E+000
5.06,1.3477030908000524E+001,1.2000793050000592E+001,2.3186760000004529E+000,1.2920850000004884E+000
5.08,1.3521442428000535E+001,1.2024672750000601E+001,2.1224760000004554E+000,1.0958850000004865E+000
5.1,1.3561929948000545E+001,1.2044628450000612E+001,1.9262760000004562E+000,8.9968500000048579E-001
5.12,1.3598493468000552E+001,1.2060660150000622E+001,1.7300760000004543E+000,7.0348500000048608E-001
5.14,1.3631132988000561E+001,1.2072767850000631E+001,1.5338760000004523E+000,5.0728500000048637E-001
5.16,1.3659848508000572E+001,1.2080951550000641E+001,1.3376760000004504E+000,3.1108500000048667E-001
5.18,1.3684640028000580E+001,1.2085211250000652E+001,1.1414760000004485E+000,1.1488500000048660E-001
5.2,1.3705507548000588E+001,1.2085546950000660E+001,9.4527600000044720E-001,-8.1314999999513402E-002
5.22,1.3722451068000597E+001,1.2081958650000669E+001,7.4907600000044749E-001,-2.7751499999951351E-001
5.24,1.3735470588000608E+001,1.2074446350000679E+001,5.5287600000044779E-001,-4.7371499999951322E-001
5.26,1.3744566108000614E+001,1.2063010050000692E+001,3.5667600000044808E-001,-6.6991499999951298E-001
5.28,1.3749737628000622E+001,1.2047649750000700E+001,1.6047600000044809E-001,-8.6611499999951269E-001
5.3,1.3750985148000632E+001,1.2028365450000708E+001,-3.5723999999551941E-002,-1.0623149999995132E+000
5.32,1.3748308668000643E+001,1.2005157150000718E+001,-2.3192399999955207E-001,-1.2585149999995151E+000
5.34,1.3741708188000649E+001,1.1978024850000731E+001,-4.2812399999955181E-001,-1.4547149999995170E+000
5.36,1.3731183708000657E+001,1.1946968550000738E+001,-6.2432399999955157E-001,-1.6509149999995190E+000
5.38,1.3716735228000667E+001,1.1911988250000746E+001,-8.2052399999955128E-001,-1.8471149999995209E+000
5.4,1.3698362748000678E+001,1.1873083950000757E+001,-1.0167239999995512E+000,-2.0433149999995219E+000
5.42,1.3676066268000685E+001,1.1830255650000767E+001,-1.2129239999995531E+000,-2.2395149999995194E+000
5.44,1.3649845788000693E+001,1.1783503350000775E+001,-1.4091239999995551E+000,-2.4357149999995169E+000
5.46,1.3619701308000703E+001,1.1732827050000784E+001,-1.6053239999995570E+000,-2.6319149999995144E+000
5.48,1.3585632828000712E+001,1.1678226750000796E+001,-1.8015239999995589E+000,-2.8281149999995119E+000
5.5,1.3547640348000719E+001,1.1619702450000807E+001,-1.9977239999995609E+000,-3.0243149999995094E+000
5.52,1.3505723868000729E+001,1.1557254150000814E+001,-2.1939239999995586E+000,-3.2205149999995069E+000
5.54,1.3459883388000740E+001,1.1490881850000823E+001,-2.3901239999995560E+000,-3.4167149999995043E+000
5.56,1.3410118908000747E+001,1.1420585550000835E+001,-2.5863239999995535E+000,-3.6129149999995018E+000
5.58,1.3356430428000754E+001,1.1346365250000845E+001,-2.7825239999995510E+000,-3.8091149999994993E+000
5.6,1.3298817948000764E+001,1.1268220950000854E+001,-2.9787239999995485E+000,-4.0053149999994968E+000
5.62,1.3237281468000775E+001,1.1186152650000865E+001,-3.1749239999995460E+000,-4.2015149999994943E+000
5.64,1.3171820988000784E+001,1.1100160350000877E+001,-3.3711239999995435E+000,-4.3977149999994918E+000
5.66,1.3102436508000793E+001,1.1010244050000885E+001,-3.5673239999995410E+000,-4.5939149999994893E+000
5.68,1.3029128028000802E+001,1.0916403750000894E+001,-3.7635239999995385E+000,-4.7901149999994868E+000
5.7,1.2951895548000813E+001,1.0818639450000905E+001,-3.9597239999995359E+000,-4.9863149999994842E+000
5.72,1.2870739068000820E+001,1.0716951150000918E+001,-4.1559239999995334E+000,-5.1825149999994817E+000
5.74,1.2785658588000828E+001,1.0611338850000928E+001,-4.3521239999995309E+000,-5.3787149999994792E+000
5.76,1.2696654108000839E+001,1.0501802550000937E+001,-4.5483239999995284E+000,-5.5749149999994767E+000
5.78,1.2603725628000852E+001,1.0388342250000948E+001,-4.7445239999995259E+000,-5.7711149999994742E+000
5.8,1.2506873148000858E+001,1.0270957950000961E+001,-4.9407239999995234E+000,-5.9673149999994717E+000
5.82,1.2406096668000867E+001,1.0149649650000969E+001,-5.1369239999995209E+000,-6.1635149999994692E+000
5.84,1.2301396188000878E+001,1.0024417350000979E+001,-5.3331239999995184E+000,-6.3597149999994667E+000
5.86,1.2192771708000889E+001,9.8952610500009914E+000,-5.5293239999995158E+000,-6.5559149999994641E+000
5.88,1.2080223228000897E+001,9.7621807500010043E+000,-5.7255239999995133E+000,-6.7521149999994616E+000
5.9,1.1963750748000907E+001,9.6251764500010122E+000,-5.9217239999995108E+000,-6.9483149999994591E+000
5.92,1.1843354268000919E+001,9.4842481500010223E+000,-6.1179239999995083E+000,-7.1445149999994566E+000
5.94,1.1719033788000928E+001,9.3393958500010346E+000,-6.3141239999995058E+000,-7.3407149999994541E+000
5.96,1.1590789308000936E+001,9.1906195500010472E+000,-6.5103239999995033E+000,-7.5369149999994516E+000
5.98,1.1458620828000946E+001,9.0379192500010568E+000,-6.7065239999995008E+000,-7.7331149999994491E+000
6,1.1322528348000958E+001,8.8812949500010667E+000,-6.9027239999994983E+000,-7.9293149999994466E+000
6.02,1.1182511868000969E+001,8.7207466500010788E+000,-7.0989239999994957E+000,-8.1255149999994440E+000
6.04,1.1038571388000976E+001,8.5562743500010896E+000,-7.2951239999994932E+000,-8.3217149999994415E+000
6.06,1.0890706908000986E+001,8.3878780500010990E+000,-7.4913239999994907E+000,-8.5179149999994390E+000
6.08,1.0738918428000998E+001,8.2155577500011105E+000,-7.6875239999994882E+000,-8.7141149999994365E+000
6.1,1.0583205948001007E+001,8.0393134500011243E+000,-7.8837239999994857E+000,-8.9103149999994340E+000
6.12,1.0423569468001016E+001,7.8591451500011367E+000,-8.0799239999994832E+000,-9.1065149999994315E+000
6.14,1.0260008988001028E+001,7.6750528500011468E+000,-8.2761239999994807E+000,-9.3027149999994290E+000
6.16,1.0092524508001041E+001,7.4870365500011582E+000,-8.4723239999994782E+000,-9.4989149999994265E+000
6.18,9.9211160280010482E+000,7.2950962500011691E+000,-8.6685239999994756E+000,-9.6951149999994239E+000
6.2,9.7457835480010573E+000,7.0992319500011813E+000,-8.8647239999994731E+000,-9.8913149999994214E+000
6.22,9.5665270680010686E+000,6.8994436500011931E+000,-9.0609239999994706E+000,-1.0087514999999419E+001
6.24,9.3833465880010820E+000,6.6957313500012061E+000,-9.2571239999994681E+000,-1.0283714999999416E+001
6.26,9.1962421080010905E+000,6.4880950500012160E+000,-9.4533239999994656E+000,-1.0479914999999414E+001
6.28,9.0052136280011013E+000,6.2765347500012281E+000,-9.6495239999994631E+000,-1.0676114999999411E+001
6.3,8.8102611480011124E+000,6.0610504500012388E+000,-9.8457239999994606E+000,-1.0872314999999409E+001
6.32,8.6113846680011239E+000,5.8416421500012516E+000,-1.0041923999999458E+001,-1.1068514999999406E+001
6.34,8.4085841880011323E+000,5.6183098500012632E+000,-1.0238123999999456E+001,-1.1264714999999404E+001
6.36,8.2018597080011428E+000,5.3910535500012768E+000,-1.0434323999999453E+001,-1.1460914999999401E+001
6.38,7.9912112280011547E+000,5.1598732500012874E+000,-1.0630523999999451E+001,-1.1657114999999399E+001
6.4,7.7766387480011661E+000,4.9247689500012992E+000,-1.0826723999999448E+001,-1.1853314999999396E+001
6.42,7.5581422680011769E+000,4.6857406500013106E+000,-1.1022923999999445E+001,-1.2049514999999394E+001
6.44,7.3357217880011873E+000,4.4427883500013232E+000,-1.1219123999999443E+001,-1.2245714999999391E+001
6.46,7.1093773080011982E+000,4.1959120500013354E+000,-1.1415323999999440E+001,-1.2441914999999389E+001
6.48,6.8791088280012094E+000,3.9451117500013484E+000,-1.1611523999999438E+001,-1.2638114999999386E+001
6.5,6.6449163480012210E+000,3.6903874500013609E+000,-1.1807723999999435E+001,-1.2834314999999384E+001
6.52,6.4067998680012330E+000,3.4317391500013725E+000,-1.2003923999999433E+001,-1.3030514999999381E+001
6.54,6.1647593880012446E+000,3.1691668500013845E+000,-1.2200123999999430E+001,-1.3226714999999379E+001
6.56,5.9187949080012556E+000,2.9026705500013970E+000,-1.2396323999999428E+001,-1.3422914999999376E+001
6.58,5.6689064280012662E+000,2.6322502500014098E+000,-1.2592523999999425E+001,-1.3619114999999374E+001
6.6,5.4150939480012781E+000,2.3579059500014230E+000,-1.2788723999999423E+001,-1.3815314999999371E+001
6.62,5.1573574680012895E+000,2.0796376500014357E+000,-1.2984923999999420E+001,-1.4011514999999369E+001
6.64,4.8956969880013022E+000,1.7974453500014476E+000,-1.3181123999999418E+001,-1.4207714999999366E+001
6.66,4.6301125080013144E+000,1.5113290500014598E+000,-1.3377323999999415E+001,-1.4403914999999364E+001
6.68,4.3606040280013261E+000,1.2212887500014724E+000,-1.3573523999999413E+001,-1.4600114999999361E+001
6.7,4.0871715480013364E+000,9.2732445000148511E-001,-1.3769723999999410E+001,-1.4796314999999359E+001
6.72,3.8098150680013481E+000,6.2943615000149744E-001,-1.3965923999999408E+001,-1.4992514999999356E+001
6.74,3.5285345880013601E+000,3.2762385000151018E-001,-1.4162123999999405E+001,-1.5188714999999354E+001
6.76,3.2433301080013726E+000,2.1887550001523211E-002,-1.4358323999999403E+001,-1.5384914999999351E+001
6.78,2.9542016280013854E+000,2.0637200249999135E-001,-1.4554523999999400E+001,1.1376821249999516E+001
6.8,2.6611491480013969E+000,4.3194642749998163E-001,-1.4750723999999398E+001,1.1180621249999518E+001
6.82,2.3641726680014084E+000,6.5359685249997157E-001,-1.4946923999999395E+001,1.0984421249999521E+001
6.84,2.0632721880014202E+000,8.7132327749996152E-001,-1.5143123999999393E+001,1.0788221249999523E+001
6.86,1.7584477080014325E+000,1.0851257024999521E+000,-1.5339323999999390E+001,1.0592021249999526E+001
6.88,1.4496992280014451E+000,1.2950041274999418E+000,-1.5535523999999388E+001,1.0395821249999528E+001
6.9,1.1370267480014582E+000,1.5009585524999318E+000,-1.5731723999999385E+001,1.0199621249999531E+001
6.92,8.2043026800147101E-001,1.7029889774999223E+000,-1.5927923999999383E+001,1.0003421249999533E+001
6.94,4.9990978800148372E-001,1.9010954024999132E+000,-1.6124123999999401E+001,9.8072212499995359E+000
6.96,1.7546530800149546E-001,2.0952778274999044E+000,-1.6320323999999435E+001,9.6110212499995384E+000
6.98,1.1788597979999607E-001,2.2855362524998961E+000,1.3054297199999564E+001,9.4148212499995410E+000
7,3.7700992379998755E-001,2.4718706774998864E+000,1.2858097199999566E+001,9.2186212499995435E+000
7.02,6.3220986779997945E-001,2.6542811024998767E+000,1.2661897199999569E+001,9.0224212499995460E+000
7.04,8.8348581179997177E-001,2.8327675274998674E+000,1.2465697199999571E+001,8.8262212499995485E+000
7.06,1.1308377557999629E+000,3.0073299524998585E+000,1.2269497199999574E+001,8.6300212499995510E+000
7.08,1.3742656997999549E+000,3.1779683774998500E+000,1.2073297199999576E+001,8.4338212499995535E+000
