"time","J1_w","J2_w","J3_w","J4_w"
0.306,7.6405491621147741E+000,2.9855836765688117E+000,4.8849813083506888E-015,4.7408817254498443E-015
0.309,7.6060257776969662E+000,3.0133806277417490E+000,6.2172489379008766E-015,6.0715736455735882E-015
0.312,7.5687891669280951E+000,3.0411348418967270E+000,5.3290705182007514E-015,5.1821422801850721E-015
0.315,7.5289126238680053E+000,3.0688459245076922E+000,5.7731597280508140E-015,5.6254953280349156E-015
0.318,7.4864923074643261E+000,3.0965134816141537E+000,4.8849813083506888E-015,4.7373161367588870E-015
0.321,7.4416644064771180E+000,3.1241371200788857E+000,4.8849813083506888E-015,4.7377519637016160E-015
0.324,7.3946371260022419E+000,3.1517164480681306E+000,4.4408920985006262E-015,4.2927090088255791E-015
0.327,7.3455536451291232E+000,3.1792510729942078E+000,5.3290705182007514E-015,5.1795176978293915E-015
0.33,7.2946179493151604E+000,3.2067406034046106E+000,4.8849813083506888E-015,4.7334429359785631E-015
0.333,7.2420585700858764E+000,3.2341846484376422E+000,4.8849813083506888E-015,4.7306132302689692E-015
0.336,7.1881285850349164E+000,3.2615828178224113E+000,5.7731597280508140E-015,5.6148609613760319E-015
0.339,7.1328839847513459E+000,3.2889347234704234E+000,5.3290705182007514E-015,5.1672360013607644E-015
0.342,7.0766758993916543E+000,3.3162399759408072E+000,5.3290705182007514E-015,5.1633878758806008E-015
0.345,7.0197998361362570E+000,3.3434981869592058E+000,5.3290705182007514E-015,5.1591358767604035E-015
0.348,6.9625580253977946E+000,3.3707089689700598E+000,4.8849813083506888E-015,4.7104140397595860E-015
0.351,6.9052725340487893E+000,3.3978719350424367E+000,4.8849813083506888E-015,4.7054333841617602E-015
0.354,6.8480231646552676E+000,3.4249866997953404E+000,6.2172489379008766E-015,6.0332285444467425E-015
0.357,6.7910145526322205E+000,3.4520528781017243E+000,5.7731597280508140E-015,5.5857144310316192E-015
0.36,6.7346664376973910E+000,3.4790700847698091E+000,6.2172489379008766E-015,6.0273684031363345E-015
0.363,6.6792844534900837E+000,3.5060379357053044E+000,5.7731597280508140E-015,5.5822011910438875E-015
0.366,6.6251845743261288E+000,3.5329560474720729E+000,5.7731597280508140E-015,5.5828868482499973E-015
0.369,6.5725577309309040E+000,3.5598240376374601E+000,5.3290705182007514E-015,5.1407325709100297E-015
0.372,6.5212903730144092E+000,3.5866415252300001E+000,5.7731597280508140E-015,5.5852988661135234E-015
0.375,6.4718749986026181E+000,3.6134081284168653E+000,5.3290705182007514E-015,5.1417832601568712E-015
0.378,6.4245530506939978E+000,3.6401234666901403E+000,6.2172489379008766E-015,6.0303721362247687E-015
0.381,6.3795644410430015E+000,3.6667871602303395E+000,5.3290705182007514E-015,5.1421360602460641E-015
0.384,6.3371475501600738E+000,3.6933988299064153E+000,5.3290705182007514E-015,5.1412600271453225E-015
0.387,6.2969813259215481E+000,3.7199580986595064E+000,6.2172489379008766E-015,6.0297124586302545E-015
0.39,6.2594482045006377E+000,3.7464645883705332E+000,6.2172489379008766E-015,6.0300722720751706E-015
0.393,6.2246949295408118E+000,3.7729179221896385E+000,6.6613381477509392E-015,6.4744897619076590E-015
0.396,6.1928344562841389E+000,3.7993177240354030E+000,5.7731597280508140E-015,5.5865821371886470E-015
0.399,6.1639667788392387E+000,3.8256636185431945E+000,6.2172489379008766E-015,6.0308618380775073E-015
0.402,6.1381736772314310E+000,3.8319544103124588E+000,2.0000000000008011E-002,5.3082538364890297E-015
0.405,6.1152525825330226E+000,3.8281906296055923E+000,5.0000000000008260E-002,5.3151927303929369E-015
0.408,6.0951381532810780E+000,3.8243720203386120E+000,8.0000000000007621E-002,4.7462034302725442E-015
0.411,6.0777100574694858E+000,3.8204974018725713E+000,1.1000000000000743E-001,4.5241588253475129E-015
0.414,6.0630208493977227E+000,3.8165674841550725E+000,1.4000000000000767E-001,4.7739590058881731E-015
0.417,6.0508372161635089E+000,3.8125812816872484E+000,1.7000000000000792E-001,5.1070259132757201E-015
0.42,6.0410805961450622E+000,3.8085384626298024E+000,2.0000000000000817E-001,5.3290705182007514E-015
0.423,6.0337685162837555E+000,3.8044392134012939E+000,2.3000000000000709E-001,4.3576253716537394E-015
0.426,6.0283463811592402E+000,3.8002821102493876E+000,2.6000000000000734E-001,4.6074255521943996E-015
0.429,6.0250725554931792E+000,3.7960678164456541E+000,2.9000000000000759E-001,4.8294701571194310E-015
0.432,6.0234716079915129E+000,3.7917954185907439E+000,3.2000000000000783E-001,5.1625370645069779E-015
0.435,6.0233475348980354E+000,3.7874645401219316E+000,3.5000000000000808E-001,5.3845816694320092E-015
0.438,6.0248018120749602E+000,3.7830754040422492E+000,3.8000000000000700E-001,4.3853809472693683E-015
0.441,6.0269431868892482E+000,3.7786265785859903E+000,4.1000000000000725E-001,4.6074255521943996E-015
0.444,6.0301813982618091E+000,3.7741187219841814E+000,4.4000000000000705E-001,4.3853809472693683E-015
0.447,6.0342017337596277E+000,3.7695513725462746E+000,4.7000000000000686E-001,3.8857805861880479E-015
0.45,6.0386093187995638E+000,3.7649239563096324E+000,5.0000000000000577E-001,2.5535129566378600E-015
0.453,6.0430761066739258E+000,3.7602360193758400E+000,5.3000000000000647E-001,3.2196467714129540E-015
0.456,6.0473185268732044E+000,3.7554871744100442E+000,5.6000000000000627E-001,2.7755575615628914E-015
0.459,6.0511169333286539E+000,3.7506771164599790E+000,5.9000000000000608E-001,2.4424906541753444E-015
0.462,6.0541373473935636E+000,3.7458053808744527E+000,6.2000000000000632E-001,2.6645352591003757E-015
0.465,6.0562987997448481E+000,3.7408718497731233E+000,6.5000000000000657E-001,2.7755575615628914E-015
0.468,6.0572178748419931E+000,3.7358759504898886E+000,6.8000000000000638E-001,2.5535129566378600E-015
0.471,6.0567585909592090E+000,3.7308174912739682E+000,7.1000000000000618E-001,2.3314683517128287E-015
0.474,6.0546730705123357E+000,3.7256960360312719E+000,7.4000000000000643E-001,2.4424906541753444E-015
0.477,6.0507383755536708E+000,3.7205112324172083E+000,7.7000000000000624E-001,2.2204460492503131E-015
0.48,6.0448041741928780E+000,3.7152627267045082E+000,8.0000000000000604E-001,1.9984014443252818E-015
0.483,6.0367383159422134E+000,3.7099501488006843E+000,8.3000000000000629E-001,2.2204460492503131E-015
0.486,6.0263008094927049E+000,3.7045731450527581E+000,8.6000000000000565E-001,1.5543122344752192E-015
0.489,6.0132912706209902E+000,3.6991313557699561E+000,8.9000000000000634E-001,2.2204460492503131E-015
0.492,5.9979023008620214E+000,3.6936244533909490E+000,9.2000000000000615E-001,1.9984014443252818E-015
