"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.44,-6.9230034250450343E-012,1.4695486454454860E+001,1.4695496152669904E+001,8.6000000002536694E+001,8.6000000003123631E+001,-3.8392169819119226E-015,1.7258360248100338E-013
0.45,-6.8028710537424816E-012,1.4695486454469901E+001,1.4695496152689728E+001,8.6000000002536922E+001,8.6000000003130040E+001,-3.8392169819119218E-015,1.7466292840430087E-013
0.46,-6.6885404303350798E-012,1.4695486454484961E+001,1.4695496152709630E+001,8.6000000002537348E+001,8.6000000003136776E+001,-3.8392169819119226E-015,1.7466291557210959E-013
0.47,-6.5800791694524352E-012,1.4695486454500040E+001,1.4695496152729602E+001,8.6000000002537931E+001,8.6000000003143754E+001,-3.8392169819119226E-015,1.7466291557233176E-013
0.48,-6.4774786961706498E-012,1.4695486454515139E+001,1.4695496152749630E+001,8.6000000002538670E+001,8.6000000003150845E+001,-4.1586362693124690E-015,1.7466292840496715E-013
0.49,-6.3806263453921027E-012,1.4695486454530259E+001,1.4695496152769715E+001,8.6000000002539565E+001,8.6000000003157965E+001,-3.8392169819119218E-015,1.7466291557277865E-013
0.5,-6.2895192493717737E-012,1.4695486454545398E+001,1.4695496152789845E+001,8.6000000002540574E+001,8.6000000003165027E+001,-3.8392169819119218E-015,1.7674224149609678E-013
0.51,-6.2041966549818667E-012,1.4695486454560553E+001,1.4695496152810016E+001,8.6000000002541682E+001,8.6000000003171962E+001,-4.1586362693252975E-015,1.7466292840564118E-013
0.52,-6.1241559280700805E-012,1.4695486454575725E+001,1.4695496152830218E+001,8.6000000002542876E+001,8.6000000003178712E+001,-4.1586362693295818E-015,1.7674224149655374E-013
0.53,-6.0484241792952187E-012,1.4695486454590910E+001,1.4695496152850442E+001,8.6000000002544127E+001,8.6000000003185264E+001,-3.8392169819119218E-015,1.7674224149678310E-013
0.54,-5.9774208373053172E-012,1.4695486454606105E+001,1.4695496152870685E+001,8.6000000002545420E+001,8.6000000003191559E+001,-3.8392169819119218E-015,1.7674224149701297E-013
0.55,-5.9109354039953147E-012,1.4695486454621314E+001,1.4695496152890948E+001,8.6000000002546756E+001,8.6000000003197570E+001,-3.8392169819119218E-015,1.7674224149724345E-013
0.56,-5.8486973213696129E-012,1.4695486454636535E+001,1.4695496152911222E+001,8.6000000002548120E+001,8.6000000003203255E+001,-4.1586491017506086E-015,1.7674224149747427E-013
0.57,-5.7899324902177709E-012,1.4695486454651768E+001,1.4695496152931502E+001,8.6000000002549498E+001,8.6000000003208640E+001,-4.1586491017549087E-015,1.7882155458840557E-013
0.58,-5.7348295432853406E-012,1.4695486454667007E+001,1.4695496152951792E+001,8.6000000002550877E+001,8.6000000003213685E+001,-4.1586362693553546E-015,1.7882156742105237E-013
0.59,-5.6829788655476680E-012,1.4695486454682253E+001,1.4695496152972083E+001,8.6000000002552213E+001,8.6000000003218403E+001,-4.1586491017635151E-015,1.7674224149816938E-013
0.6,-5.6337792311764193E-012,1.4695486454697505E+001,1.4695496152992378E+001,8.6000000002553534E+001,8.6000000003222823E+001,-4.1586491017678215E-015,1.7882155458911007E-013
0.61,-5.5872761673941452E-012,1.4695486454712762E+001,1.4695496153012668E+001,8.6000000002554827E+001,8.6000000003226916E+001,-3.8392169819119218E-015,1.7882155458934549E-013
0.62,-5.5432114593437783E-012,1.4695486454728025E+001,1.4695496153032959E+001,8.6000000002556078E+001,8.6000000003230710E+001,-3.8392169819119218E-015,1.7882155458958126E-013
0.63,-5.5014100745682579E-012,1.4695486454743293E+001,1.4695496153053247E+001,8.6000000002557272E+001,8.6000000003234192E+001,-3.8392169819119218E-015,1.7674224149910069E-013
0.64,-5.4616509372275013E-012,1.4695486454758564E+001,1.4695496153073529E+001,8.6000000002558409E+001,8.6000000003237403E+001,-4.1586491017850636E-015,1.7674224149933427E-013
0.65,-5.4235872718032987E-012,1.4695486454773839E+001,1.4695496153093810E+001,8.6000000002559517E+001,8.6000000003240331E+001,-4.1586362693855215E-015,1.7882155459028995E-013
0.66,-5.3870941014109340E-012,1.4695486454789116E+001,1.4695496153114087E+001,8.6000000002560583E+001,8.6000000003243031E+001,-4.9909820764854986E-015,1.7674224149980208E-013
0.67,-5.3519523472721778E-012,1.4695486454804394E+001,1.4695496153134357E+001,8.6000000002561563E+001,8.6000000003245503E+001,-3.8392169819119218E-015,1.7882155459076374E-013
0.68,-5.3180617793265075E-012,1.4695486454819674E+001,1.4695496153154624E+001,8.6000000002562501E+001,8.6000000003247749E+001,-4.1586362693984683E-015,1.7674224150027080E-013
0.69,-5.2853656953518545E-012,1.4695486454834954E+001,1.4695496153174886E+001,8.6000000002563397E+001,8.6000000003249795E+001,-3.8392169819119218E-015,1.7674224150050549E-013
0.7,-5.2536844899165347E-012,1.4695486454850236E+001,1.4695496153195144E+001,8.6000000002564235E+001,8.6000000003251643E+001,-4.1586362694071039E-015,1.7882155459147604E-013
0.71,-5.2227526949027185E-012,1.4695486454865518E+001,1.4695496153215400E+001,8.6000000002565031E+001,8.6000000003253348E+001,-4.1586362694114237E-015,1.7674224150097543E-013
