"time","Cntrl_PI_1.s_out.signal[1]","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_1.s_var.signal[1]","Cntrl_PI_2.s_out.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_2.s_var.signal[1]","Cntrl_PI_3.s_out.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_3.s_var.signal[1]","Cntrl_PI_4.s_out.signal[1]","Cntrl_PI_4.s_set.signal[1]","Cntrl_PI_4.s_var.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
26,7.1929284216294298E-001,1.0000000000000000E+000,1.0000000783043910E+000,3.9047731115878250E+001,4.5000000000000001E-001,4.4899815060165460E-001,4.5170080193083869E+001,3.0000000000000000E+001,3.0000003830855924E+001,2.5008561400748199E+001,3.0000000000000000E+000,3.0007229713642767E+000,1.0000000000000000E+003,4.0000000000000000E+001
27,7.1917069316408211E-001,1.0000000000000000E+000,9.9999225968575811E-001,3.9085707667892706E+001,4.5000000000000001E-001,4.4929471780514535E-001,4.5166674084043471E+001,3.0000000000000000E+001,2.9999979718488120E+001,2.5008401162292124E+001,3.0000000000000000E+000,3.0002337683644451E+000,1.0000000000000000E+003,4.0000000000000000E+001
28,7.1907669013273490E-001,1.0000000000000000E+000,9.9999140690309429E-001,3.9123978331844874E+001,4.5000000000000001E-001,4.4953824983094609E-001,4.5164095322678392E+001,3.0000000000000000E+001,2.9999976820176013E+001,2.5005580729708619E+001,3.0000000000000000E+000,2.9998999977310588E+000,1.0000000000000000E+003,4.0000000000000000E+001
29,7.1903257967857137E-001,1.0000000000000000E+000,9.9999428414522706E-001,3.9159831217666898E+001,4.5000000000000001E-001,4.4973021874249247E-001,4.5163003220095661E+001,3.0000000000000000E+001,2.9999985263945888E+001,2.5002640665848816E+001,3.0000000000000000E+000,2.9997797432812034E+000,1.0000000000000000E+003,4.0000000000000000E+001
30,7.1902835707880119E-001,1.0000000000000000E+000,9.9999778624302316E-001,3.9191639776122756E+001,4.5000000000000001E-001,4.4987509954758553E-001,4.5163093501979596E+001,3.0000000000000000E+001,2.9999995608314315E+001,2.5000850087379423E+001,3.0000000000000000E+000,2.9998120252628087E+000,1.0000000000000000E+003,4.0000000000000000E+001
31,7.1904292216292354E-001,1.0000000000000000E+000,1.0000001614721876E+000,3.9218613718881905E+001,4.5000000000000001E-001,4.4997907325977177E-001,4.5163726755079352E+001,3.0000000000000000E+001,3.0000002541229609E+001,2.5000341374298067E+001,3.0000000000000000E+000,2.9999041962152799E+000,1.0000000000000000E+003,4.0000000000000000E+001
32,7.1905859065869471E-001,1.0000000000000000E+000,1.0000010349829296E+000,3.9240569954527011E+001,4.5000000000000001E-001,4.5004902625180221E-001,4.5164368922672594E+001,3.0000000000000000E+001,3.0000004937005190E+001,2.5000646677847541E+001,3.0000000000000000E+000,2.9999869266001742E+000,1.0000000000000000E+003,4.0000000000000000E+001
33,7.1906663755341738E-001,1.0000000000000000E+000,1.0000008482081921E+000,3.9257735307023971E+001,4.5000000000000001E-001,4.5009182753882160E-001,4.5164758669786771E+001,3.0000000000000000E+001,3.0000004144578632E+001,2.5001204603323615E+001,3.0000000000000000E+000,3.0000308803239855E+000,1.0000000000000000E+003,4.0000000000000000E+001
34,7.1906630938546123E-001,1.0000000000000000E+000,1.0000002570801267E+000,3.9270598356715929E+001,4.5000000000000001E-001,4.5011394254868475E-001,4.5164876538324599E+001,3.0000000000000000E+001,3.0000002156931114E+001,2.5001641686727389E+001,3.0000000000000000E+000,3.0000384172821581E+000,1.0000000000000000E+003,4.0000000000000000E+001
35,7.1906079781663590E-001,1.0000000000000000E+000,9.9999972605687748E-001,3.9279755247029144E+001,4.5000000000000001E-001,4.5012085484338393E-001,4.5164822042011615E+001,3.0000000000000000E+001,3.0000000380187462E+001,2.5001834880007483E+001,3.0000000000000000E+000,3.0000252978367583E+000,1.0000000000000000E+003,4.0000000000000000E+001
