"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
1.84e-05,-2.0748947404702367E-01,-2.4672412370861165E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.86e-05,-2.0581145247041496E-01,-1.7248307973116519E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.88e-05,-2.0418481437504596E-01,-9.8516072740803429E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.9e-05,-2.0285292787788978E-01,-2.6098117395264991E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.92e-05,-2.0204390343031500E-01,4.3575627281616197E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.94e-05,-2.0196622201384573E-01,1.0941279388014289E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.96e-05,-2.0280645311081344E-01,1.7043575951983507E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
1.98e-05,-2.0472689944476785E-01,2.2579399678939382E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2e-05,-3.0630086966291494E-04,2.7477326457162121E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.02e-05,-4.6844302091232582E-07,3.2198006313616374E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.04e-05,-9.2897174442582772E-07,3.7173608086615286E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.06e-05,-1.3699884256148818E-06,4.2277947554064212E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.09e-05,-1.9679232183220864E-06,4.9838335290637588E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.11e-05,-2.3088714530830780E-06,5.4561081694354465E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.13e-05,-2.5941344973114569E-06,5.8815707796393735E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.15e-05,-2.8181355937371173E-06,6.2419320757222856E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.17e-05,-2.9777675231851374E-06,6.5198882079757405E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.19e-05,-3.0724199782200137E-06,6.6999281271614768E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.21e-05,-3.1039043581484251E-06,6.7690688184494512E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.23e-05,-3.0762818119431706E-06,6.7174864689036129E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.25e-05,-2.9956043597400175E-06,6.5390169230892923E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.27e-05,-2.8695823191278079E-06,6.2315047382259916E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.29e-05,-2.7071940964749262E-06,5.7969869052828527E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.31e-05,-2.5182564279014736E-06,5.2417046212040868E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.33e-05,-2.3129743837631081E-06,4.5759439088849128E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.35e-05,-2.1014908290894782E-06,3.8137131448820885E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.37e-05,-1.8934545593005033E-06,2.9722723508477613E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.39e-05,-1.6976250427675963E-06,2.0715351397986019E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.41e-05,-1.5215296807777459E-06,1.1333692469012120E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.43e-05,-1.3711868368297433E-06,1.8082539531215597E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.45e-05,-1.2509047452050410E-06,-7.6267315706392147E-01,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.47e-05,-1.1631628565663898E-06,-1.6741470420424958E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.49e-05,-1.1085784871357644E-06,-2.5318501859798297E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.51e-05,-5.5729269435380261E-03,-3.4364421719954743E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.53e-05,-3.5763854681995264E-02,-4.3622633998513045E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.55e-05,-6.3719802076682264E-02,-5.1711168731348138E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.57e-05,-8.9270543450030090E-02,-5.8540788204765848E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.59e-05,-1.1229527726252621E-01,-6.4048148976981993E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.61e-05,-1.3272252420788042E-01,-6.8195742058449946E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.63e-05,-1.5052919737553488E-01,-7.0971406372877812E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
2.65e-05,-1.6573885341670633E-01,-7.2387426108839659E+00,1.0000000000000000E+30,9.9999999999999995E-08,1.0000000000000000E-13,0,0,0,0,8,0,1
