"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6","Out7","Out8","Out9"
0.78,2.4051363082824073E+000,4.4051363082824073E+000,9.0513630828240710E-001,1.1943658620400461E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.5593659158047082E+000
0.8,2.4333180512565562E+000,4.4333180512565562E+000,9.3331805125655642E-001,1.2183203435680729E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.3612957974251723E+000
0.82,2.4609264861208557E+000,4.4609264861208562E+000,9.6092648612085574E-001,1.2417875132027274E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.1539067233066342E+000
0.84,2.4879505698694668E+000,4.4879505698694668E+000,9.8795056986946661E-001,1.2647579843890466E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.9380171633775847E+000
0.86,2.5143794932292058E+000,4.5143794932292058E+000,1.0143794932292061E+000,1.2872225692448251E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.7144791351005058E+000
0.88,2.5402026849831114E+000,4.5402026849831110E+000,1.0402026849831114E+000,1.3091722822356446E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.4841748409481974E+000
0.9,2.5654098161987853E+000,4.5654098161987857E+000,1.0654098161987853E+000,1.3305983437689675E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.2480131867536524E+000
0.92,2.5899908043598323E+000,4.5899908043598323E+000,1.0899908043598323E+000,1.3514921837058576E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,1.0069261946739809E+000
0.94,2.6139358173987302E+000,4.6139358173987297E+000,1.1139358173987302E+000,1.3718454447889206E+000,0,3.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,7.6186532492475156E-001
0.96,2.6372352776295260E+000,4.6372352776295260E+000,1.1372352776295258E+000,1.3916499859850970E+000,0,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,5.1379772080120301E-001
0.98,2.6598798655787821E+000,4.6598798655787821E+000,1.1598798655787823E+000,1.4108978857419650E+000,0,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.0000000000000001E-001,2.6370239180550265E-001
1,2.6818605237132438E+000,4.6818605237132438E+000,1.1818605237132436E+000,1.4295814451562570E+000,0,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,1.2566349943509079E-002,1.2566349943509079E-002
1.021,2.7042160438987244E+000,4.7042160438987244E+000,1.2042160438987242E+000,1.4485836373139156E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5116207811723384E-001
1.041,2.7248084544866731E+000,4.7248084544866735E+000,1.2248084544866731E+000,1.4660871863136722E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-5.0133293425716963E-001
1.061,2.7447109646899666E+000,4.7447109646899666E+000,1.2447109646899668E+000,1.4830043199864718E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-7.4952525834282402E-001
1.081,2.7639156137698873E+000,4.7639156137698873E+000,1.2639156137698873E+000,1.4993282717044041E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-9.9475954865932026E-001
1.101,2.7824147201228611E+000,4.7824147201228611E+000,1.2824147201228613E+000,1.5150525121044320E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.2360679774996659E+000
1.121,2.8002008843529991E+000,4.8002008843529991E+000,1.3002008843529991E+000,1.5301707517000493E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.4724982107385647E+000
1.141,2.8172669922317541E+000,4.8172669922317546E+000,1.3172669922317541E+000,1.5446769433969911E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.7031171662601219E+000
1.161,2.8336062175435206E+000,4.8336062175435206E+000,1.3336062175435204E+000,1.5585652849119924E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-1.9270146964066732E+000
1.181,2.8492120248160262E+000,4.8492120248160262E+000,1.3492120248160260E+000,1.5718302210936221E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.1433071799157832E+000
1.201,2.8640781719344375E+000,4.8640781719344375E+000,1.3640781719344373E+000,1.5844664461442717E+000,1,3.5000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.3511410091696749E+000
1.221,2.8781987126381190E+000,4.8781987126381186E+000,1.3781987126381190E+000,1.5964689057424011E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.5496959589945303E+000
1.241,2.8915679988990615E+000,4.8915679988990615E+000,1.3915679988990612E+000,1.6078327990642021E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.7381884237145178E+000
1.261,2.9041806831810142E+000,4.9041806831810142E+000,1.4041806831810144E+000,1.6185535807038622E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-2.9158745096854055E+000
1.281,2.9160317205784327E+000,4.9160317205784327E+000,1.4160317205784325E+000,1.6286269624916676E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.0820529711029150E+000
1.301,2.9271163708343684E+000,4.9271163708343684E+000,1.4271163708343686E+000,1.6380489152092133E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.2360679774995491E+000
1.321,2.9374302002365136E+000,4.9374302002365136E+000,1.4374302002365134E+000,1.6468156702010364E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.3773117020078272E+000
1.341,2.9469690833906217E+000,4.9469690833906217E+000,1.4469690833906219E+000,1.6549237208820287E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.5052267201752318E+000
1.361,2.9557292048706163E+000,4.9557292048706163E+000,1.4557292048706161E+000,1.6623698241400238E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.6193082098638687E+000
1.381,2.9637070607447038E+000,4.9637070607447038E+000,1.4637070607447038E+000,1.6691510016329982E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.7191059435528149E+000
1.401,2.9708994599769056E+000,4.9708994599769056E+000,1.4708994599769056E+000,1.6752645409803697E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8042260651804463E+000
1.421,2.9773035257034257E+000,4.9773035257034257E+000,1.4773035257034259E+000,1.6807079968479122E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.8743326445143818E+000
1.441,2.9829166963833602E+000,4.9829166963833602E+000,1.4829166963833604E+000,1.6854791919258565E+000,1,4.0000000000000000E+000,1.2000000000000000E+001,5.0000000000000000E-001,-1.0000000000000001E-001,-3.9291490029146421E+000
