"time","V","X"
1.622,-5.4962415633052186E-001,1.4060293852507963E+000
1.623,-5.4995630955773200E-001,1.4054797610944658E+000
1.624,-5.5028896385308246E-001,1.4049298047849081E+000
1.625,-5.5062212032381563E-001,1.4043795158210550E+000
1.626,-5.5095578008016610E-001,1.4038288937007313E+000
1.627,-5.5128994423537081E-001,1.4032779379206513E+000
1.628,-5.5162461390567874E-001,1.4027266479764160E+000
1.629,-5.5195979021036079E-001,1.4021750233625103E+000
1.63,-5.5229547427171988E-001,1.4016230635722999E+000
1.631,-5.5263166721510104E-001,1.4010707680980283E+000
1.632,-5.5296837016890099E-001,1.4005181364308132E+000
1.633,-5.5330558426457876E-001,1.3999651680606444E+000
1.634,-5.5364331063666550E-001,1.3994118624763798E+000
1.635,-5.5398155042277453E-001,1.3988582191657433E+000
1.636,-5.5432030476361160E-001,1.3983042376153205E+000
1.637,-5.5465957480298522E-001,1.3977499173105570E+000
1.638,-5.5499936168781672E-001,1.3971952577357540E+000
1.639,-5.5533966656815059E-001,1.3966402583740662E+000
1.64,-5.5568049059716484E-001,1.3960849187074982E+000
1.641,-5.5602183493118129E-001,1.3955292382169011E+000
1.642,-5.5636370072967589E-001,1.3949732163819699E+000
1.643,-5.5670608915528930E-001,1.3944168526812404E+000
1.644,-5.5704900137383717E-001,1.3938601465920852E+000
1.645,-5.5739243855432086E-001,1.3933030975907115E+000
1.646,-5.5773640186893780E-001,1.3927457051521572E+000
1.647,-5.5808089249309190E-001,1.3921879687502883E+000
1.648,-5.5842591160540456E-001,1.3916298878577953E+000
1.649,-5.5877146038772496E-001,1.3910714619461899E+000
1.65,-5.5911754002514102E-001,1.3905126904858023E+000
1.651,-5.5946415170598984E-001,1.3899535729457773E+000
1.652,-5.5981129662186857E-001,1.3893941087940713E+000
1.653,-5.6015897596764530E-001,1.3888342974974495E+000
1.654,-5.6050719094146984E-001,1.3882741385214818E+000
1.655,-5.6085594274478434E-001,1.3877136313305405E+000
1.656,-5.6120523258233468E-001,1.3871527753877957E+000
1.657,-5.6155506166218094E-001,1.3865915701552134E+000
1.658,-5.6190543119570868E-001,1.3860300150935512E+000
1.659,-5.6225634239763989E-001,1.3854681096623556E+000
1.66,-5.6260779648604398E-001,1.3849058533199581E+000
1.661,-5.6295979468234902E-001,1.3843432455234721E+000
1.662,-5.6331233821135274E-001,1.3837802857287897E+000
1.663,-5.6366542830123367E-001,1.3832169733905784E+000
1.664,-5.6401906618356268E-001,1.3826533079622771E+000
1.665,-5.6437325309331388E-001,1.3820892888960936E+000
1.666,-5.6472799026887610E-001,1.3815249156430003E+000
1.667,-5.6508327895206412E-001,1.3809601876527315E+000
1.668,-5.6543912038813016E-001,1.3803951043737794E+000
1.669,-5.6579551582577525E-001,1.3798296652533915E+000
1.67,-5.6615246651716078E-001,1.3792638697375657E+000
1.671,-5.6650997371791978E-001,1.3786977172710486E+000
1.672,-5.6686803868716873E-001,1.3781312072973309E+000
1.673,-5.6722666268751898E-001,1.3775643392586439E+000
1.674,-5.6758584698508840E-001,1.3769971125959564E+000
1.675,-5.6794559284951307E-001,1.3764295267489712E+000
1.676,-5.6830590155395888E-001,1.3758615811561217E+000
1.677,-5.6866677437513358E-001,1.3752932752545677E+000
1.678,-5.6902821259329828E-001,1.3747246084801925E+000
1.679,-5.6939021749227936E-001,1.3741555802675993E+000
1.68,-5.6975279035948045E-001,1.3735861900501072E+000
1.681,-5.7011593248589409E-001,1.3730164372597478E+000
1.682,-5.7047964516611405E-001,1.3724463213272620E+000
1.683,-5.7084392969834707E-001,1.3718758416820960E+000
1.684,-5.7120878738442504E-001,1.3713049977523977E+000
1.685,-5.7157421952981702E-001,1.3707337889650133E+000
1.686,-5.7194022744364137E-001,1.3701622147454835E+000
1.687,-5.7230681243867798E-001,1.3695902745180399E+000
1.688,-5.7267397583138047E-001,1.3690179677056014E+000
1.689,-5.7304171894188838E-001,1.3684452937297700E+000
1.69,-5.7341004309403965E-001,1.3678722520108282E+000
1.691,-5.7377894961538289E-001,1.3672988419677341E+000
1.692,-5.7414843983718977E-001,1.3667250630181187E+000
1.693,-5.7451851509446739E-001,1.3661509145782815E+000
1.694,-5.7488917672597084E-001,1.3655763960631870E+000
1.695,-5.7526042607421579E-001,1.3650015068864612E+000
1.696,-5.7563226448549110E-001,1.3644262464603869E+000
