"time","out"
1.015,3.2149302960901266E-01
1.021,3.2467612847085059E-01
1.027,3.2467612847085059E-01
1.033,3.2785922733268852E-01
1.039,3.2785922733268852E-01
1.045,3.3104232619452639E-01
1.051,3.3422542505636432E-01
1.057,3.3422542505636432E-01
1.063,3.3740852391820225E-01
1.069,3.3740852391820225E-01
1.075,3.4059162278004013E-01
1.081,3.4377472164187806E-01
1.087,3.4377472164187806E-01
1.093,3.4695782050371587E-01
1.099,3.4695782050371587E-01
1.105,3.5014091936555380E-01
1.111,3.5332401822739168E-01
1.117,3.5332401822739168E-01
1.123,3.5650711708922961E-01
1.129,3.5650711708922961E-01
1.135,3.5969021595106754E-01
1.141,3.6287331481290541E-01
1.147,3.6287331481290541E-01
1.153,3.6605641367474334E-01
1.159,3.6605641367474334E-01
1.165,3.6923951253658127E-01
1.171,3.7242261139841915E-01
1.177,3.7242261139841915E-01
1.183,3.7560571026025708E-01
1.189,3.7560571026025708E-01
1.195,3.7878880912209500E-01
1.201,3.8197190798393288E-01
1.207,3.8197190798393288E-01
1.213,3.8515500684577081E-01
1.219,3.8515500684577081E-01
1.225,3.8833810570760874E-01
1.231,3.9152120456944661E-01
1.237,3.9152120456944661E-01
1.243,3.9470430343128454E-01
1.249,3.9470430343128454E-01
1.255,3.9788740229312242E-01
1.261,4.0107050115496035E-01
1.267,4.0107050115496035E-01
1.273,4.0425360001679828E-01
1.279,4.0425360001679828E-01
1.285,4.0743669887863615E-01
1.291,4.1061979774047408E-01
1.297,4.1061979774047408E-01
1.303,4.1380289660231201E-01
1.309,4.1380289660231201E-01
1.315,4.1698599546414988E-01
1.321,4.2016909432598781E-01
1.327,4.2016909432598781E-01
1.333,4.2335219318782574E-01
1.339,4.2335219318782574E-01
1.345,4.2653529204966356E-01
1.351,4.2971839091150149E-01
1.357,4.2971839091150149E-01
1.363,4.3290148977333937E-01
1.369,4.3290148977333937E-01
1.375,4.3608458863517729E-01
1.381,4.3926768749701522E-01
1.387,4.3926768749701522E-01
1.393,4.4245078635885310E-01
1.399,4.4245078635885310E-01
1.405,4.4563388522069103E-01
1.411,4.4881698408252890E-01
1.417,4.4881698408252890E-01
1.423,4.5200008294436683E-01
1.429,4.5200008294436683E-01
1.435,4.5518318180620476E-01
1.441,4.5836628066804264E-01
1.447,4.5836628066804264E-01
1.453,4.6154937952988057E-01
1.459,4.6154937952988057E-01
1.465,4.6473247839171850E-01
1.471,4.6791557725355637E-01
