"time","J1_w","J2_w","J3_w","J4_w"
0.399,6.1639667788392352E+000,3.8256636185431843E+000,-3.5527136788005009E-015,-3.5447114807612548E-015
0.402,6.1381347457565081E+000,3.8319550783125620E+000,2.0000000000000462E-002,-2.1718737919229625E-015
0.405,6.1151457536618947E+000,3.8281914871085978E+000,5.0000000000000711E-002,-1.9845236565174673E-015
0.408,6.0949081492542989E+000,3.8243722073553665E+000,8.0000000000000515E-002,-2.1926904736346842E-015
0.411,6.0774719423652437E+000,3.8204978190139696E+000,1.1000000000000076E-001,-1.9706458687096529E-015
0.414,6.0627521947679508E+000,3.8165679714294818E+000,1.4000000000000146E-001,-1.3322676295501878E-015
0.417,6.0503454301123991E+000,3.8125809989093815E+000,1.7000000000000171E-001,-1.1102230246251565E-015
0.42,6.0404901270496163E+000,3.8085378859775583E+000,2.0000000000000151E-001,-1.3322676295501878E-015
0.423,6.0331822735049219E+000,3.8044386218586972E+000,2.3000000000000176E-001,-1.2212453270876722E-015
0.426,6.0279658549292261E+000,3.8002819818247020E+000,2.6000000000000201E-001,-9.9920072216264089E-016
0.429,6.0248236319474762E+000,3.7960679947599267E+000,2.9000000000000181E-001,-1.3322676295501878E-015
0.432,6.0234393279282576E+000,3.7917959957703400E+000,3.2000000000000162E-001,-1.5543122344752192E-015
0.435,6.0236010277880085E+000,3.7874656485101386E+000,3.5000000000000187E-001,-1.4432899320127035E-015
0.438,6.0251629437766905E+000,3.7830767054377028E+000,3.8000000000000211E-001,-9.4368957093138306E-016
0.441,6.0276114240647329E+000,3.7786283949894282E+000,4.1000000000000192E-001,-1.1657341758564144E-015
0.444,6.0309714120493014E+000,3.7741207553460216E+000,4.4000000000000172E-001,-1.3877787807814457E-015
0.447,6.0350708074654307E+000,3.7695535370601898E+000,4.7000000000000153E-001,-1.8873791418627661E-015
0.45,6.0393827937592537E+000,3.7649260206881241E+000,5.0000000000000133E-001,-2.1094237467877974E-015
0.453,6.0438474195228133E+000,3.7602381053789546E+000,5.3000000000000158E-001,-1.8873791418627661E-015
0.456,6.0482075183113091E+000,3.7554894334895388E+000,5.6000000000000094E-001,-2.7755575615628914E-015
0.459,6.0520863231991084E+000,3.7506795010957759E+000,5.9000000000000119E-001,-2.5535129566378600E-015
0.462,6.0552857174401389E+000,3.7458080227770312E+000,6.2000000000000144E-001,-2.3314683517128287E-015
0.465,6.0575494704847221E+000,3.7408746277833105E+000,6.5000000000000080E-001,-3.2196467714129540E-015
0.468,6.0586250980481564E+000,3.7358789300385928E+000,6.8000000000000149E-001,-2.5535129566378600E-015
0.471,6.0582532552614561E+000,3.7308205715336129E+000,7.1000000000000130E-001,-2.7755575615628914E-015
0.474,6.0563322575487675E+000,3.7256992126172004E+000,7.4000000000000155E-001,-2.4424906541753444E-015
0.477,6.0527783487657238E+000,3.7205145169178238E+000,7.7000000000000135E-001,-2.6645352591003757E-015
0.48,6.0472433038495854E+000,3.7152660996847402E+000,8.0000000000000160E-001,-2.4424906541753444E-015
0.483,6.0394911391822328E+000,3.7099535966994943E+000,8.3000000000000096E-001,-3.1086244689504383E-015
0.486,6.0292858711455510E+000,3.7045766437436356E+000,8.6000000000000121E-001,-2.8865798640254070E-015
0.489,6.0163915161214225E+000,3.6991348765987100E+000,8.9000000000000146E-001,-2.6645352591003757E-015
0.492,6.0009723827361787E+000,3.6936279794741238E+000,9.2000000000000126E-001,-2.5535129566378600E-015
0.495,5.9828539043776887E+000,3.6880555955817305E+000,9.5000000000000107E-001,-2.7755575615628914E-015
0.498,5.9618791536715552E+000,3.6824173700651142E+000,9.8000000000000220E-001,-1.8873791418627661E-015
0.501,5.9382586627199938E+000,3.6767129739374251E+000,1.0100000000000011E+000,-2.4424906541753444E-015
0.504,5.9118364642087737E+000,3.6709420546014710E+000,1.0400000000000014E+000,-2.2204460492503131E-015
0.507,5.8826025112334595E+000,3.6651042677707952E+000,1.0700000000000016E+000,-2.2204460492503131E-015
0.51,5.8507746783672951E+000,3.6591992764516936E+000,1.1000000000000010E+000,-2.8865798640254070E-015
0.513,5.8162851068575847E+000,3.6532267345079186E+000,1.1300000000000008E+000,-3.1086244689504383E-015
0.516,5.7792241383736291E+000,3.6471863007287477E+000,1.1600000000000019E+000,-2.2204460492503131E-015
0.519,5.7398359603775146E+000,3.6410776385107368E+000,1.1900000000000022E+000,-1.9984014443252818E-015
0.522,5.6981292930525225E+000,3.6349004041988118E+000,1.2200000000000015E+000,-2.6645352591003757E-015
0.525,5.6542917208519770E+000,3.6286542603641818E+000,1.2500000000000022E+000,-2.2204460492503131E-015
0.528,5.6085805031196365E+000,3.6223388722793839E+000,1.2800000000000025E+000,-1.9984014443252818E-015
0.531,5.5610813979890148E+000,3.6159538985677688E+000,1.3100000000000027E+000,-1.7763568394002505E-015
0.534,5.5120763265181205E+000,3.6094990075612952E+000,1.3400000000000025E+000,-1.9984014443252818E-015
0.537,5.4618365151877475E+000,3.6029738670067748E+000,1.3700000000000023E+000,-2.2204460492503131E-015
0.54,5.4105305718634522E+000,3.5963781390362857E+000,1.4000000000000030E+000,-1.5543122344752192E-015
0.543,5.3583764592983654E+000,3.5897114884823358E+000,1.4300000000000024E+000,-2.2204460492503131E-015
0.546,5.3056253074909963E+000,3.5829735837033363E+000,1.4600000000000031E+000,-1.5543122344752192E-015
0.549,5.2526173762256718E+000,3.5761641027694839E+000,1.4900000000000033E+000,-1.3322676295501878E-015
0.552,5.1995618641748491E+000,3.5692827091236907E+000,1.5200000000000027E+000,-1.9984014443252818E-015
0.555,5.1467274774644860E+000,3.5623290726463184E+000,1.5500000000000020E+000,-2.6645352591003757E-015
0.558,5.0943900378249989E+000,3.5553028638639774E+000,1.5800000000000025E+000,-2.2204460492503131E-015
0.561,5.0427503064112909E+000,3.5482037633453336E+000,1.6100000000000019E+000,-2.8865798640254070E-015
0.564,4.9921033667158907E+000,3.5410314423343179E+000,1.6400000000000026E+000,-2.2204460492503131E-015
0.567,4.9427272302809087E+000,3.5337855754866476E+000,1.6700000000000021E+000,-2.6645352591003757E-015
0.57,4.8948991031095472E+000,3.5264658390099761E+000,1.7000000000000020E+000,-2.8865798640254070E-015
0.573,4.8487678729868966E+000,3.5190719115645810E+000,1.7300000000000020E+000,-2.8865798640254070E-015
0.576,4.8044916507594513E+000,3.5116034727463434E+000,1.7600000000000016E+000,-3.3306690738754696E-015
0.579,4.7623582297748888E+000,3.5040602017581355E+000,1.7900000000000009E+000,-3.9968028886505635E-015
0.582,4.7225834489092664E+000,3.4964417796337877E+000,1.8200000000000014E+000,-3.5527136788005009E-015
0.585,4.6853307332432266E+000,3.4887478884323988E+000,1.8500000000000028E+000,-2.2204460492503131E-015
0.588,4.6505531416287917E+000,3.4809782110163843E+000,1.8800000000000021E+000,-2.8865798640254070E-015
0.591,4.6184926919167024E+000,3.4731324317531223E+000,1.9100000000000026E+000,-2.4424906541753444E-015
0.594,4.5892635451150108E+000,3.4652102359292454E+000,1.9400000000000028E+000,-2.2204460492503131E-015
0.597,4.5629649766787885E+000,3.4572113099093906E+000,1.9700000000000020E+000,-3.1086244689504383E-015
0.6,4.5395058579602825E+000,3.4491353407939411E+000,2.0000000000000022E+000,-2.6645352591003757E-015
0.603,4.5189462339923940E+000,3.4409820170850938E+000,2.0300000000000016E+000,-3.5527136788005009E-015
0.606,4.5013043373479409E+000,3.4327510283105447E+000,2.0600000000000023E+000,-2.6645352591003757E-015
0.609,4.4865570796441760E+000,3.4244420650244392E+000,2.0900000000000016E+000,-3.5527136788005009E-015
0.612,4.4746234611870941E+000,3.4160548190474080E+000,2.1200000000000019E+000,-3.1086244689504383E-015
0.615,4.4653906768649758E+000,3.4075889833197164E+000,2.1500000000000021E+000,-2.6645352591003757E-015
0.618,4.4587716560118560E+000,3.3990442515776218E+000,2.1800000000000024E+000,-2.6645352591003757E-015
0.621,4.4546315038149729E+000,3.3904203187671218E+000,2.2100000000000022E+000,-2.6645352591003757E-015
0.624,4.4528154208169308E+000,3.3817168810118217E+000,2.2400000000000024E+000,-2.6645352591003757E-015
0.627,4.4531781946134625E+000,3.3729336362050892E+000,2.2700000000000027E+000,-2.6645352591003757E-015
0.63,4.4555038098743367E+000,3.3640702823959217E+000,2.3000000000000025E+000,-2.6645352591003757E-015
0.633,4.4595701983099314E+000,3.3551265190890485E+000,2.3300000000000027E+000,-2.6645352591003757E-015
0.636,4.4651319798002884E+000,3.3461020468983929E+000,2.3600000000000021E+000,-3.5527136788005009E-015
0.639,4.4720377614261650E+000,3.3369965681329377E+000,2.3900000000000023E+000,-2.6645352591003757E-015
