"time","PistonPosition","PressureExtend","PressureRetract","TemperatureExtend","TemperatureRetract","FlowExtend","FlowRetract"
0.66978,-3.7856656110951302E-006,1.4700092198157737E+001,1.4701651562052664E+001,8.6000108585414978E+001,8.6000143545557890E+001,1.3667265987947019E-009,-6.7624300775384523E-010
0.67978,-3.6817626753199577E-006,1.4700091811380275E+001,1.4701651368304820E+001,8.6000096990336971E+001,8.6000131385654413E+001,1.2479624795935720E-009,-6.5581345904055128E-010
0.68978,-3.5874744216084782E-006,1.4700091472247911E+001,1.4701651174655700E+001,8.6000086720488710E+001,8.6000120107135984E+001,1.1793526449044984E-009,-6.3668194807962961E-010
0.69977,-3.5016362101349361E-006,1.4700091183635861E+001,1.4701650983574321E+001,8.6000077714880021E+001,8.6000109679447320E+001,1.1535589664671791E-009,-6.1877774864393263E-010
0.70977,-3.4229057384448115E-006,1.4700090946336903E+001,1.4701650796787073E+001,8.6000069878536010E+001,8.6000100042373248E+001,1.1635532314710560E-009,-6.0198020988185413E-010
0.71977,-3.3502853998900948E-006,1.4700090760949111E+001,1.4701650616392286E+001,8.6000063138571051E+001,8.6000091168149922E+001,1.2028376189938060E-009,-5.8621652529803410E-010
0.72976,-3.2828426557563767E-006,1.4700090626926263E+001,1.4701650444233387E+001,8.6000057414138070E+001,8.6000083026415254E+001,1.2652762226046676E-009,-5.7139932703386890E-010
0.73976,-3.2195383702606561E-006,1.4700090542552088E+001,1.4701650281396020E+001,8.6000052605895661E+001,8.6000075563011691E+001,1.3454611248005564E-009,-5.5741628491667181E-010
0.74976,-3.1596316307762006E-006,1.4700090505880095E+001,1.4701650129238397E+001,8.6000048631787905E+001,8.6000068748752085E+001,1.4383255226893373E-009,-5.4418835179794929E-010
0.75975,-3.1024610994591668E-006,1.4700090514245911E+001,1.4701649988827919E+001,8.6000045407435792E+001,8.6000062552048135E+001,1.5393122053915426E-009,-5.3163856071961470E-010
0.76975,-3.0472864814600045E-006,1.4700090564625564E+001,1.4701649860574536E+001,8.6000042841347238E+001,8.6000056923282273E+001,1.6447021892990653E-009,-5.1966706257375517E-010
0.77975,-2.9936274455536978E-006,1.4700090653689543E+001,1.4701649745086824E+001,8.6000040855108395E+001,8.6000051832071605E+001,1.7510032069429459E-009,-5.0820521112956983E-010
0.78974,-2.9410805173557861E-006,1.4700090777752283E+001,1.4701649642708588E+001,8.6000039371863835E+001,8.6000047246370826E+001,1.8552180230664028E-009,-4.9719892145437423E-010
0.79974,-2.8891629404496682E-006,1.4700090933405951E+001,1.4701649553286522E+001,8.6000038315084041E+001,8.6000043121268163E+001,1.9551564301804252E-009,-4.8655666519896336E-010
0.80974,-2.8376218883363872E-006,1.4700091116846487E+001,1.4701649476805004E+001,8.6000037617818279E+001,8.6000039426629002E+001,2.0487446986164721E-009,-4.7624099894278729E-010
0.81973,-2.7862687140650633E-006,1.4700091324187191E+001,1.4701649413041267E+001,8.6000037216932242E+001,8.6000036131541492E+001,2.1343583717248552E-009,-4.6620407830061459E-010
0.82973,-2.7348201385154332E-006,1.4700091552262503E+001,1.4701649361453224E+001,8.6000037053718586E+001,8.6000033196505754E+001,2.2110032234711160E-009,-4.5638765796465369E-010
0.83973,-2.6831999725799333E-006,1.4700091797423765E+001,1.4701649321582750E+001,8.6000037076294419E+001,8.6000030593311706E+001,2.2777723861669424E-009,-4.4676885581735331E-010
0.84972,-2.6313792553704441E-006,1.4700092056122303E+001,1.4701649292832279E+001,8.6000037237537200E+001,8.6000028293767699E+001,2.3340897070865308E-009,-4.3731646900184057E-010
0.85972,-2.5792137288480444E-006,1.4700092325792459E+001,1.4701649274450563E+001,8.6000037496309787E+001,8.6000026264393156E+001,2.3798220671087710E-009,-4.2799513425466623E-010
0.86972,-2.5267490656391836E-006,1.4700092603315039E+001,1.4701649265722823E+001,8.6000037816258384E+001,8.6000024480269687E+001,2.4148904260934693E-009,-4.1878612987810546E-010
