"time","outputs[1]","outputs[2]","outputs[3]","outputs[4]"
1.02,2.4575459990991706E+00,3.1568508754783564E+00,3.2165048248599706E+00,1.1999999999999955E+00
1.03,2.4877462774681343E+00,3.1211399989084989E+00,3.1807939482901131E+00,1.2999999999999956E+00
1.04,2.5412761831751998E+00,3.0848258957737142E+00,3.1444798451553284E+00,1.3999999999999957E+00
1.05,2.6102208165276743E+00,3.0479064049122346E+00,3.1075603542938488E+00,1.4999999999999958E+00
1.06,2.6852747048320764E+00,3.0103794607600336E+00,3.0700334101416478E+00,1.5999999999999959E+00
1.07,2.7566530906276574E+00,2.9722430936770006E+00,3.0318970430586147E+00,1.6999999999999960E+00
1.08,2.8150501169032123E+00,2.9334954302579699E+00,2.9931493796395841E+00,1.7999999999999960E+00
1.09,2.8525501153912884E+00,2.8941346936285544E+00,2.9537886430101685E+00,1.8999999999999961E+00
1.1,2.8634027946344220E+00,2.8541592037257337E+00,2.9138131531073479E+00,1.9999999999999962E+00
1.11,2.8445864469595756E+00,2.8135673775631558E+00,2.8732213269447699E+00,2.0999999999999961E+00
1.12,2.7961040436861730E+00,2.7723577294811084E+00,2.8320116788627225E+00,2.1999999999999962E+00
1.13,2.7209832346568947E+00,2.7305288713811229E+00,2.7901828207627370E+00,2.2999999999999963E+00
1.14,2.6551828183474941E+00,2.6729782298170752E+00,2.7326321791986894E+00,2.3999999999999964E+00
1.15,2.5739350645064736E+00,2.6160492809228275E+00,2.6757032303044417E+00,2.4999999999999964E+00
1.16,2.4865473886326628E+00,2.5597431188597328E+00,2.6193970682413470E+00,2.5999999999999965E+00
1.17,2.4028064958348452E+00,2.5040607394438843E+00,2.5637146888254985E+00,2.6999999999999966E+00
1.18,2.3320201953073920E+00,2.5006889398072043E+00,2.5603428891888185E+00,2.6966282003633166E+00
1.19,2.2821061117277810E+00,2.4977341259239929E+00,2.5573880753056071E+00,2.6936733864801052E+00
1.2,2.2588164968814208E+00,2.4951967643936155E+00,2.5548507137752297E+00,2.6911360249497278E+00
1.21,2.2651750223776546E+00,2.4930772558948719E+00,2.5527312052764861E+00,2.6890165164509843E+00
1.22,2.3011806841315958E+00,2.4913759351227243E+00,2.5510298845043384E+00,2.6873151956788366E+00
1.23,2.3638078025226847E+00,2.4900930707354445E+00,2.5497470201170587E+00,2.6860323312915568E+00
1.24,2.4473021182299419E+00,2.4892288653121910E+00,2.5488828146938052E+00,2.6851681258683033E+00
1.25,2.5437439998329765E+00,2.4887834553210184E+00,2.5484374047026326E+00,2.6847227158771307E+00
1.26,2.6436643671619033E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.27,2.7387700187914179E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.28,2.8196717182289111E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.29,2.8784502434581563E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.3,2.9093519428956482E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.31,2.9093519428956451E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.32,2.8784502434581478E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.33,2.8196717182288982E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.34,2.7387700187914015E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.35,2.6436643671618851E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
1.36,2.5436643671618850E+00,2.4888099995447095E+00,2.5484639489263237E+00,2.6847492601008218E+00
