"time","outputs"
0.0274001,2.5948743143351635E+02
0.0276001,2.6106005999221162E+02
0.0278001,2.6278507152913585E+02
0.0280001,2.6449829199858624E+02
0.0282001,2.6601319833059932E+02
0.0284001,2.6712571021473713E+02
0.0286001,2.6762136914820047E+02
0.0288001,2.6735543124243361E+02
0.0290001,2.6627923016978042E+02
0.0292001,2.6450868632823170E+02
0.0294001,2.6281126383493836E+02
0.0296001,2.6139478019661550E+02
0.0298001,2.6035118544457725E+02
0.0300001,2.5973934912437784E+02
0.0302001,2.5958372144878467E+02
0.0304001,2.5987385844318726E+02
0.0306001,2.6056481889662638E+02
0.0308001,2.6157842121533690E+02
0.0310001,2.6280532888982225E+02
0.0312001,2.6410791466068343E+02
0.0314001,2.6532383601409322E+02
0.0316001,2.6627023873907530E+02
0.0318001,2.6674849128386955E+02
0.0320001,2.6656309879588269E+02
0.0322001,2.6562893904026680E+02
0.0324001,2.6391980403630288E+02
0.0326001,2.6198241459876857E+02
0.0328001,2.6029060189105894E+02
0.0330001,2.5895874580604419E+02
0.0332001,2.5806850815821832E+02
0.0334001,2.5766692332342996E+02
0.0336001,2.5776535904881234E+02
0.0338001,2.5833936797825220E+02
0.0340001,2.5932943026144238E+02
0.0342001,2.6064256749638184E+02
0.0344001,2.6215478864310205E+02
0.0346001,2.6371430987433888E+02
0.0348001,2.6514547300882248E+02
0.0350001,2.6625327158520582E+02
0.0352001,2.6682840267238538E+02
0.0354001,2.6669294220775521E+02
0.0356001,2.6578686880382344E+02
0.0358001,2.6410974299581483E+02
0.036,2.6234559812174928E+02
0.0362,2.6084604467309379E+02
0.0364,2.5971398654588637E+02
0.0366,2.5901847532113067E+02
0.0368,2.5879404105998680E+02
0.037,2.5903996205232295E+02
0.0372,2.5972041512336830E+02
0.0374,2.6076550015617806E+02
0.0376,2.6207311276577974E+02
0.0378,2.6351161998396242E+02
0.038,2.6492327580355726E+02
0.0382,2.6612829688453564E+02
0.0384,2.6692950400414253E+02
0.0386,2.6711959256293227E+02
0.0388,2.6656353056025927E+02
0.039,2.6522157791972052E+02
0.0392,2.6330220490183666E+02
0.0394,2.6153171210142341E+02
0.0396,2.6007070043120638E+02
0.0398,2.5901202254001174E+02
0.04,2.5841479563774379E+02
0.0402,2.5830305930956979E+02
0.0404,2.5866531191075467E+02
0.0406,2.5945493305749886E+02
0.0408,2.6059147969747147E+02
0.041,2.6196282355700765E+02
0.0412,2.6342807885655782E+02
0.0414,2.6482125147950626E+02
0.0416,2.6595552466133552E+02
0.0418,2.6662808208956454E+02
0.042,2.6663913761583427E+02
0.0422,2.6589853095382824E+02
0.0424,2.6436864888815711E+02
0.0426,2.6251102051414330E+02
0.0428,2.6088695132723649E+02
0.043,2.5960937348112964E+02
0.0432,2.5875880420519434E+02
0.0434,2.5838146072600296E+02
0.0436,2.5848823802666385E+02
0.0438,2.5905456963873354E+02
0.044,2.6002117165546775E+02
0.0442,2.6129565021175205E+02
0.0444,2.6275493323809314E+02
0.0446,2.6424846879394818E+02
0.0448,2.6560211512737749E+02
0.045,2.6662263217047712E+02
0.0452,2.6710268573731651E+02
0.0454,2.6686539334425555E+02
0.0456,2.6585276937589839E+02
0.0458,2.6408390880858855E+02
0.046,2.6226249507020879E+02
0.0462,2.6070862974425864E+02
0.0464,2.5952548459265341E+02
0.0466,2.5878323166274396E+02
0.0468,2.5851742150594481E+02
0.047,2.5872823066349480E+02
