"time","J1_w","J2_w","J3_w","J4_w"
0.597,4.5629649766787885E+000,3.4572113099093906E+000,1.9700000000000020E+000,-3.1086244689504383E-015
0.6,4.5395058579602825E+000,3.4491353407939411E+000,2.0000000000000022E+000,-2.6645352591003757E-015
0.603,4.5189462339923940E+000,3.4409820170850938E+000,2.0300000000000016E+000,-3.5527136788005009E-015
0.606,4.5013043373479409E+000,3.4327510283105447E+000,2.0600000000000023E+000,-2.6645352591003757E-015
0.609,4.4865570796441760E+000,3.4244420650244392E+000,2.0900000000000016E+000,-3.5527136788005009E-015
0.612,4.4746234611870941E+000,3.4160548190474080E+000,2.1200000000000019E+000,-3.1086244689504383E-015
0.615,4.4653906768649758E+000,3.4075889833197164E+000,2.1500000000000021E+000,-2.6645352591003757E-015
0.618,4.4587716560118560E+000,3.3990442515776218E+000,2.1800000000000024E+000,-2.6645352591003757E-015
0.621,4.4546315038149729E+000,3.3904203187671218E+000,2.2100000000000022E+000,-2.6645352591003757E-015
0.624,4.4528154208169308E+000,3.3817168810118217E+000,2.2400000000000024E+000,-2.6645352591003757E-015
0.627,4.4531781946134625E+000,3.3729336362050892E+000,2.2700000000000027E+000,-2.6645352591003757E-015
0.63,4.4555038098743367E+000,3.3640702823959217E+000,2.3000000000000025E+000,-2.6645352591003757E-015
0.633,4.4595701983099314E+000,3.3551265190890485E+000,2.3300000000000027E+000,-2.6645352591003757E-015
0.636,4.4651319798002884E+000,3.3461020468983929E+000,2.3600000000000021E+000,-3.5527136788005009E-015
0.639,4.4720377614261650E+000,3.3369965681329377E+000,2.3900000000000023E+000,-2.6645352591003757E-015
0.642,4.4800173424550982E+000,3.3278097857338915E+000,2.4200000000000035E+000,-1.7763568394002505E-015
0.645,4.4887763015068618E+000,3.3185414037471173E+000,2.4500000000000037E+000,-1.7763568394002505E-015
0.648,4.4980218438507320E+000,3.3091911274522303E+000,2.4800000000000026E+000,-2.6645352591003757E-015
0.651,4.5075319765312472E+000,3.2997586634778471E+000,2.5100000000000029E+000,-2.6645352591003757E-015
0.654,4.5171261653985910E+000,3.2902437197310048E+000,2.5400000000000031E+000,-2.2204460492503131E-015
0.657,4.5264453868412566E+000,3.2806460048681423E+000,2.5700000000000029E+000,-2.6645352591003757E-015
0.66,4.5351927855017866E+000,3.2709652288739317E+000,2.6000000000000028E+000,-3.1086244689504383E-015
0.663,4.5430806836755835E+000,3.2612011029203689E+000,2.6300000000000026E+000,-3.5527136788005009E-015
0.666,4.5500682331186812E+000,3.2513533397720176E+000,2.6600000000000028E+000,-3.1086244689504383E-015
0.669,4.5557776694233523E+000,3.2414216527905992E+000,2.6900000000000026E+000,-3.5527136788005009E-015
0.672,4.5599508188028652E+000,3.2314057567134373E+000,2.7200000000000029E+000,-3.1086244689504383E-015
0.675,4.5623291702687485E+000,3.2213053674489505E+000,2.7500000000000022E+000,-3.9968028886505635E-015
0.678,4.5628539518418512E+000,3.2111202024195196E+000,2.7800000000000025E+000,-3.9968028886505635E-015
0.681,4.5613337681267181E+000,3.2008499799919279E+000,2.8100000000000023E+000,-3.9968028886505635E-015
0.684,4.5575380638443637E+000,3.1904944196375267E+000,2.8400000000000021E+000,-3.9968028886505635E-015
0.687,4.5512928183430850E+000,3.1800532420962258E+000,2.8700000000000023E+000,-3.9968028886505635E-015
0.69,4.5425102007708418E+000,3.1695261694589831E+000,2.9000000000000017E+000,-4.4408920985006262E-015
0.693,4.5312030014205495E+000,3.1589129251985009E+000,2.9300000000000019E+000,-3.9968028886505635E-015
0.696,4.5172072398816194E+000,3.1482132335793560E+000,2.9600000000000017E+000,-4.4408920985006262E-015
0.699,4.5004560553068407E+000,3.1374268202404227E+000,2.9900000000000015E+000,-4.8849813083506888E-015
0.702,4.4809038791557843E+000,3.1265534120379064E+000,3.0200000000000027E+000,-3.1086244689504383E-015
0.705,4.4586772200029356E+000,3.1155927375453185E+000,3.0500000000000020E+000,-3.9968028886505635E-015
0.708,4.4337319784567208E+000,3.1045445259171975E+000,3.0800000000000018E+000,-4.4408920985006262E-015
0.711,4.4059258865484878E+000,3.1017013894735861E+000,3.1017013894735865E+000,-4.8849813083506888E-015
0.714,4.3754883029000098E+000,3.1110859248569964E+000,3.1110859248569969E+000,-3.9968028886505635E-015
0.717,4.3427454834588639E+000,3.1204289664388769E+000,3.1204289664388773E+000,-3.5527136788005009E-015
0.72,4.3077412597219249E+000,3.1297278542450968E+000,3.1297278542450973E+000,-3.1086244689504383E-015
0.723,4.2705618186140626E+000,3.1389826380251478E+000,3.1389826380251482E+000,-3.1086244689504383E-015
0.726,4.2313564932517203E+000,3.1481929500936086E+000,3.1481929500936090E+000,-3.9968028886505635E-015
0.729,4.1903825944427719E+000,3.1573585563112312E+000,3.1573585563112316E+000,-3.9968028886505635E-015
