"time","out"
2.689,4.4537453710055147E-01
2.695,4.3639897418973767E-01
2.701,4.2737977174516989E-01
2.707,4.2737977174516989E-01
2.713,4.1831783167957587E-01
2.719,4.1831783167957587E-01
2.725,4.0921406017941125E-01
2.731,4.0006936761423889E-01
2.737,4.0006936761423889E-01
2.743,3.9088466844569558E-01
2.749,3.9088466844569558E-01
2.755,3.8166088113604335E-01
2.761,3.7239892805632768E-01
2.767,3.7239892805632768E-01
2.773,3.6309973539413731E-01
2.779,3.6309973539413731E-01
2.785,3.5376423306099009E-01
2.791,3.4439335459933884E-01
2.797,3.4439335459933884E-01
2.803,3.3498803708922165E-01
2.809,3.3498803708922165E-01
2.815,3.2554922105455086E-01
2.821,3.1607785036906511E-01
2.827,3.1607785036906511E-01
2.833,3.0657487216193985E-01
2.839,3.0657487216193985E-01
2.845,2.9704123672307614E-01
2.851,2.8747789740807411E-01
2.857,2.8747789740807411E-01
2.863,2.7788581054289491E-01
2.869,2.7788581054289491E-01
2.875,2.6826593532823262E-01
2.881,2.5861923374359130E-01
2.887,2.5861923374359130E-01
2.893,2.4894667045109134E-01
2.899,2.4894667045109134E-01
2.905,2.3924921269900071E-01
2.911,2.2952783022501430E-01
2.917,2.2952783022501430E-01
2.923,2.1978349515927750E-01
2.929,2.1978349515927750E-01
2.935,2.1001718192717750E-01
2.941,2.0022986715189811E-01
2.947,2.0022986715189811E-01
2.953,1.9042252955676159E-01
2.959,1.9042252955676159E-01
2.965,1.8059614986735389E-01
2.971,1.7075171071345621E-01
2.977,1.7075171071345621E-01
2.983,1.6089019653077932E-01
2.989,1.6089019653077932E-01
2.995,1.5101259346252455E-01
3,1.5101259346252455E-01
