"time","Noise","Noise_Filt","Noise_Filt_Sat","Sine","Sine_Filt","Sine_Filt_Quantized"
1.921,-2.1434791627189853E-001,-1.8348305834254564E-002,-1.8348305834254564E-002,1.8786057085370718E+000,1.9646536670403079E+000,2.0000000000000000E+000
1.941,-2.1434791627189853E-001,-1.8348305834254564E-002,-1.8348305834254564E-002,1.8645073497895506E+000,1.9705150993034983E+000,2.0000000000000000E+000
1.961,1.0667850344608849E+000,1.1591723876506921E-001,1.1591723876506921E-001,1.8496632129618804E+000,1.9755395418063977E+000,2.0000000000000000E+000
1.981,1.0667850344608849E+000,1.1591723876506921E-001,1.1591723876506921E-001,1.8340792355108730E+000,1.9797258102340340E+000,2.0000000000000000E+000
2.001,-3.8134715755403781E-001,6.2452982132561036E-002,6.2452982132561036E-002,1.8177616508197250E+000,1.9830731550187266E+000,2.0000000000000000E+000
2.021,-3.8134715755403781E-001,6.2452982132561036E-002,6.2452982132561036E-002,1.8007169857047480E+000,1.9855812504252315E+000,2.0000000000000000E+000
2.041,-3.8134715755403781E-001,6.2452982132561036E-002,6.2452982132561036E-002,1.7829520578047293E+000,1.9872501840645229E+000,2.0000000000000000E+000
2.061,-1.8208315278209470E+000,-1.6827360795168556E-001,-1.6827360795168556E-001,1.7644739728539658E+000,1.9880804468289255E+000,2.0000000000000000E+000
2.081,-1.8208315278209470E+000,-1.6827360795168556E-001,-1.6827360795168556E-001,1.7452901218400669E+000,1.9880729232400616E+000,2.0000000000000000E+000
2.101,-1.2908124072803380E+000,-3.2121147846414344E-001,-3.2121147846414344E-001,1.7254081780476569E+000,1.9872288821999211E+000,2.0000000000000000E+000
2.121,-1.2908124072803380E+000,-3.2121147846414344E-001,-3.2121147846414344E-001,1.7048360939891636E+000,1.9855499681343685E+000,2.0000000000000000E+000
2.141,-1.2908124072803380E+000,-3.2121147846414344E-001,-3.2121147846414344E-001,1.6835820982239196E+000,1.9830381925175029E+000,2.0000000000000000E+000
2.161,-3.9695972046866042E-002,-3.1011290104679456E-001,-3.1011290104679456E-001,1.6616546920668480E+000,1.9796959257645181E+000,2.0000000000000000E+000
2.181,-3.9695972046866042E-002,-3.1011290104679456E-001,-3.1011290104679456E-001,1.6390626461880504E+000,1.9755258894800511E+000,2.0000000000000000E+000
2.201,1.6441850515728809E+000,-8.9084124547844645E-002,-8.9084124547844645E-002,1.6158149971046551E+000,1.9705311490484516E+000,2.0000000000000000E+000
2.221,1.6441850515728809E+000,-8.9084124547844645E-002,-8.9084124547844645E-002,1.5919210435663307E+000,1.9647151065519295E+000,2.0000000000000000E+000
2.241,1.6441850515728809E+000,-8.9084124547844645E-002,-8.9084124547844645E-002,1.5673903428359108E+000,1.9580814940021845E+000,2.0000000000000000E+000
2.261,-6.9982732208616519E-002,-9.3377759846529490E-002,-9.3377759846529490E-002,1.5422327068666160E+000,1.9506343668708155E+000,2.0000000000000000E+000
2.281,-6.9982732208616519E-002,-9.3377759846529490E-002,-9.3377759846529490E-002,1.5164581983774030E+000,1.9423780979036234E+000,1.9000000000000001E+000
2.301,1.3042489233408796E+000,7.4322243563407220E-002,7.4322243563407220E-002,1.4900771268280126E+000,1.9333173712037541E+000,1.9000000000000001E+000
2.321,1.3042489233408796E+000,7.4322243563407220E-002,7.4322243563407220E-002,1.4631000442953213E+000,1.9234571765685982E+000,1.9000000000000001E+000
2.341,1.3042489233408796E+000,7.4322243563407220E-002,7.4322243563407220E-002,1.4355377412526520E+000,1.9128028040653371E+000,1.9000000000000001E+000
2.361,-7.3889983546046034E-001,-2.1756348047320684E-002,-2.1756348047320684E-002,1.4074012422537301E+000,1.9013598388300856E+000,1.9000000000000001E+000
2.381,-7.3889983546046034E-001,-2.1756348047320684E-002,-2.1756348047320684E-002,1.3787018015230066E+000,1.8891341560756971E+000,1.9000000000000001E+000
2.401,-3.7429006592188591E-002,-2.5347156468978227E-002,-2.5347156468978227E-002,1.3494508984541194E+000,1.8761319162934480E+000,1.9000000000000001E+000
2.421,-3.7429006592188591E-002,-2.5347156468978227E-002,-2.5347156468978227E-002,1.3196602330182896E+000,1.8623595606340191E+000,1.9000000000000001E+000
2.441,-3.7429006592188591E-002,-2.5347156468978227E-002,-2.5347156468978227E-002,1.2893417210844877E+000,1.8478238064534400E+000,1.8000000000000000E+000
2.461,1.9692873210098139E-001,5.3629286709343249E-004,5.3629286709343249E-004,1.2585074896532458E+000,1.8325316430099428E+000,1.8000000000000000E+000
2.481,1.9692873210098139E-001,5.3629286709343249E-004,5.3629286709343249E-004,1.2271698720060189E+000,1.8164903272979707E+000,1.8000000000000000E+000
2.501,-2.3181006131516488E+000,-2.8925309842021685E-001,-2.8925309842021685E-001,1.1953414027720364E+000,1.7997073800059411E+000,1.8000000000000000E+000
2.521,-2.3181006131516488E+000,-2.8925309842021685E-001,-2.8925309842021685E-001,1.1630348129146182E+000,1.7821905815847221E+000,1.8000000000000000E+000
2.541,-2.3181006131516488E+000,-2.8925309842021685E-001,-2.8925309842021685E-001,1.1302630246389582E+000,1.7639479684141741E+000,1.8000000000000000E+000
2.561,-3.2117797286604435E+000,-6.7626290958176183E-001,-5.0000000000000000E-001,1.0970391462234155E+000,1.7449878290555121E+000,1.7000000000000002E+000
2.581,-3.2117797286604435E+000,-6.7626290958176183E-001,-5.0000000000000000E-001,1.0633764667763770E+000,1.7253187005776667E+000,1.7000000000000002E+000
2.601,5.6521721484300969E-001,-5.7179761224729730E-001,-5.0000000000000000E-001,1.0292884509207920E+000,1.7049493649462764E+000,1.7000000000000002E+000
2.621,5.6521721484300969E-001,-5.7179761224729730E-001,-5.0000000000000000E-001,9.9478873340850194E-001,1.6838888454643612E+000,1.7000000000000002E+000
2.641,5.6521721484300969E-001,-5.7179761224729730E-001,-5.0000000000000000E-001,9.5989111366652136E-001,1.6621464032542321E+000,1.7000000000000002E+000
2.661,-2.1674388572880707E-001,-5.7030071735103338E-001,-5.0000000000000000E-001,9.2460955027745184E-001,1.6397315337706022E+000,1.6000000000000001E+000
2.681,-2.1674388572880707E-001,-5.7030071735103338E-001,-5.0000000000000000E-001,8.8895815539623435E-001,1.6166539633353869E+000,1.6000000000000001E+000
2.701,1.6501507776150897E+000,-3.3551683428159507E-001,-3.3551683428159507E-001,8.5295118910547574E-001,1.5929236456851155E+000,1.6000000000000001E+000
2.721,1.6501507776150897E+000,-3.3551683428159507E-001,-3.3551683428159507E-001,8.1660305371160602E-001,1.5685507585223717E+000,1.6000000000000001E+000
2.741,1.6501507776150897E+000,-3.3551683428159507E-001,-3.3551683428159507E-001,7.7992828798414726E-001,1.5435457000631423E+000,1.5000000000000000E+000
2.761,-9.1033121361708047E-002,-3.3012013273772878E-001,-3.3012013273772878E-001,7.4294156134040001E-001,1.5179190855724323E+000,1.5000000000000000E+000
2.781,-9.1033121361708047E-002,-3.3012013273772878E-001,-3.3012013273772878E-001,7.0565766797787211E-001,1.4916817438809651E+000,1.5000000000000000E+000
2.801,-5.6107677848007931E-001,-3.8374872341085220E-001,-3.8374872341085220E-001,6.6809152095679658E-001,1.4648447138762510E+000,1.5000000000000000E+000
2.821,-5.6107677848007931E-001,-3.8374872341085220E-001,-3.8374872341085220E-001,6.3025814623510668E-001,1.4374192409617748E+000,1.4000000000000001E+000
2.841,-5.6107677848007931E-001,-3.8374872341085220E-001,-3.8374872341085220E-001,5.9217267665825257E-001,1.4094167734784795E+000,1.4000000000000001E+000
2.861,-7.5653174696393122E-001,-4.5912775561080116E-001,-4.5912775561080116E-001,5.5385034590626558E-001,1.3808489590831861E+000,1.4000000000000001E+000
2.881,-7.5653174696393122E-001,-4.5912775561080116E-001,-4.5912775561080116E-001,5.1530648240048904E-001,1.3517276410790193E+000,1.4000000000000001E+000
2.901,9.2178530655800983E-001,-3.2094820451050970E-001,-3.2094820451050970E-001,4.7655650317241383E-001,1.3220648546933194E+000,1.3000000000000000E+000
