"time","Out1[1]","Out1[2]","Out2","Out3","Out4","Out5","Out6[1]","Out6[2]","Out6[3]","Out6[4]","Out6[5]","Out6[6]","Out7","Out8.signal1","Out8.signal2","Out9","Out10","Out11"
8.14,1.0000000000000000E+000,9.5937483389286415E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.5937483389286415E-001,1.0000000000000000E+000,9.9782157905307556E-001,1.9397796216901644E-001,6.0000000000000000E+000
8.16,1.0000000000000000E+000,9.5354064965057428E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.5354064965057428E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.9397796216901644E-001,6.0000000000000000E+000
8.18,1.0000000000000000E+000,9.4732506186212995E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.4732506186212995E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.9397796216901644E-001,6.0000000000000000E+000
8.2,1.0000000000000000E+000,9.4073055667977312E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.4073055667977312E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.9397796216901644E-001,6.0000000000000000E+000
8.22,1.0000000000000000E+000,9.3375977181765069E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.3375977181765069E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8814611133595377E-001,6.0000000000000000E+000
8.24,1.0000000000000000E+000,9.2641549549676616E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.2641549549676616E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8814611133595377E-001,6.0000000000000000E+000
8.26,1.0000000000000000E+000,9.1870066532972472E-001,11,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.1870066532972472E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8814611133595377E-001,6.0000000000000000E+000
8.28,1.0000000000000000E+000,9.1061836714573041E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.1061836714573041E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8814611133595377E-001,6.0000000000000000E+000
8.3,1.0000000000000000E+000,9.0217183375629328E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,9.0217183375629328E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8814611133595377E-001,6.0000000000000000E+000
8.32,1.0000000000000000E+000,8.9336444366215195E-001,10,0,12,12,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,9.6988981084508219E-001,8.9336444366215195E-001,1.0000000000000000E+000,9.5937483389286560E-001,1.8043436675125790E-001,6.0000000000000000E+000
