"time","outputs[1]","outputs[2]"
4.661,3.6087499999999551E+01,3.5674524265885168E+01
4.681,3.6170833333332908E+01,3.5643204983208477E+01
4.701,3.6254166666666272E+01,3.5611948279625949E+01
4.721,3.6337499999999636E+01,3.5580754030098092E+01
4.741,3.6420833333332993E+01,3.5549622109835582E+01
4.761,3.6504166666666350E+01,3.5518552394298240E+01
4.781,3.6587499999999721E+01,3.5647629600756488E+01
4.801,3.6670833333333078E+01,3.5804569814385275E+01
4.821,3.6754166666666436E+01,3.5961087543810436E+01
4.841,3.6837499999999800E+01,3.6117184051768334E+01
4.861,3.6920833333333164E+01,3.6272860596369014E+01
4.881,3.7004166666666521E+01,3.6428118431119231E+01
4.901,3.7087499999999885E+01,3.6582958804945235E+01
4.921,3.7170833333333249E+01,3.6737382962216088E+01
4.941,3.7254166666666606E+01,3.6891392142765937E+01
4.961,3.7337499999999963E+01,3.7044987581916530E+01
4.981,3.7420833333333327E+01,3.7198170510500006E+01
5,3.7500000000000021E+01,3.7343313321780101E+01
5.02,3.7583333333333385E+01,3.7495695378038647E+01
5.04,3.7666666666666742E+01,3.7647668528737768E+01
5.06,3.7750000000000099E+01,3.7799233987190178E+01
5.08,3.7833333333333471E+01,3.7950392962327044E+01
5.1,3.7916666666666828E+01,3.8101146658719188E+01
5.12,3.8000000000000185E+01,3.8251496276599255E+01
5.14,3.8083333333333549E+01,3.8401443011881952E+01
5.16,3.8166666666666913E+01,3.8550988056185702E+01
5.18,3.8250000000000270E+01,3.8700132596853337E+01
5.2,3.8333333333333634E+01,3.8848877816972731E+01
5.22,3.8416666666666998E+01,3.8997224895397380E+01
5.24,3.8500000000000355E+01,3.9145175006767147E+01
5.26,3.8583333333333712E+01,3.9292729321528384E+01
5.28,3.8666666666667076E+01,3.9439889005953717E+01
5.3,3.8750000000000441E+01,3.9586655222163017E+01
5.32,3.8833333333333798E+01,3.9733029128142391E+01
5.34,3.8916666666667162E+01,3.9879011877764583E+01
5.36,3.9000000000000526E+01,3.9959714062741455E+01
5.38,3.9083333333333883E+01,3.9919832537482250E+01
5.4,3.9166666666667240E+01,3.9880030699543738E+01
5.42,3.9250000000000604E+01,3.9840308389702500E+01
5.44,3.9333333333333968E+01,3.9800665449053611E+01
5.46,3.9416666666667325E+01,3.9761101719009332E+01
5.48,3.9500000000000689E+01,3.9721617041298828E+01
5.5,3.9583333333334053E+01,3.9682211257967538E+01
5.52,3.9666666666667410E+01,3.9642884211376440E+01
5.54,3.9750000000000774E+01,3.9603635744201711E+01
5.56,3.9833333333334139E+01,3.9564465699433697E+01
5.58,3.9916666666667496E+01,3.9525373920376353E+01
5.6,4.0000000000000853E+01,3.9486360250646953E+01
5.62,4.0083333333334217E+01,3.9447424534175241E+01
5.64,4.0166666666667581E+01,3.9408566615202801E+01
5.66,4.0250000000000938E+01,3.9369786338282040E+01
5.68,4.0333333333334302E+01,3.9331083548276638E+01
5.7,4.0416666666667666E+01,3.9478140672826612E+01
5.72,4.0500000000001023E+01,3.9624804631064876E+01
5.74,4.0583333333334380E+01,3.9771076579904843E+01
5.76,4.0666666666667744E+01,3.9916957672151398E+01
5.78,4.0750000000001108E+01,4.0062449056520279E+01
5.8,4.0833333333334465E+01,4.0207551877658034E+01
