"time","I@variable_resistance","U@resistance","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
6.52e-005,-3.4640949405054675E-002,-3.8474852852287671E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.54e-005,-6.4170589186795288E-002,-4.7388190884760277E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.56e-005,-9.1369150421909962E-002,-5.5081487425610955E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.58e-005,-1.1608381055149386E-001,-6.1474623770184165E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.6e-005,-1.3821176289795428E-001,-6.6513678563836089E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.62e-005,-1.5769977939613503E-001,-7.0170702291096525E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.64e-005,-1.7454290910311271E-001,-7.2443071353865927E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.66e-005,-1.8878269402817449E-001,-7.3352403559332613E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.68e-005,-2.0050388069834335E-001,-7.2943108876741904E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.7e-005,-2.0983149787330255E-001,-7.1280616491099140E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.72e-005,-2.1692675163850797E-001,-6.8449292825726165E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.74e-005,-2.2198240902362004E-001,-6.4550149574007332E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.76e-005,-2.2521848022339150E-001,-5.9698335432459535E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.78e-005,-2.2687677403041817E-001,-5.4020514321996940E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.8e-005,-2.2721589196603345E-001,-4.7652130559556927E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
6.82e-005,-2.2650597306419740E-001,-4.0734681373283035E+000,1.0000000000000000E+030,9.9999999999999995E-008,1.0000000000000000E-013,0,0,0,0,8,0,1
