"time","part5_displacement_output"
8.45,8.1923702562787753E+01
8.451,8.2292735546708599E+01
8.452,8.2661684904025179E+01
8.453,8.3030549718720167E+01
8.454,8.3399329076719269E+01
8.455,8.3768023177594642E+01
8.456,8.4136631110392088E+01
8.457,8.4505151966080376E+01
8.458,8.4873585948466840E+01
8.459,8.5241932151583413E+01
8.46,8.5610189671371060E+01
8.461,8.5978358715780587E+01
8.462,8.6346438383757217E+01
8.463,8.6714427776135878E+01
8.464,8.7082327104930613E+01
8.465,8.7450135473924647E+01
8.466,8.7817851988776738E+01
8.467,8.8185476865473746E+01
8.468,8.8553009212572775E+01
8.469,8.8920448140486826E+01
8.47,8.9287793869092198E+01
8.471,8.9655045511648211E+01
8.472,9.0022202183256098E+01
8.473,9.0389264107601463E+01
8.474,9.0756230402580783E+01
8.475,9.1123100187914417E+01
8.476,9.1489873691020676E+01
8.477,9.1856550034368325E+01
8.478,9.2223128342230794E+01
8.479,9.2589608845683046E+01
8.48,9.2955990671702793E+01
8.481,9.3322272949056327E+01
8.482,9.3688455912396535E+01
8.483,9.4054538693150548E+01
8.484,9.4420520424515814E+01
8.485,9.4786401344650642E+01
8.486,9.5152180589370346E+01
8.487,9.5517857296248295E+01
8.488,9.5883431706870780E+01
8.489,9.6248902961388040E+01
8.49,9.6614270568897552E+01
8.491,9.6979533672717281E+01
8.492,9.7344692518899109E+01
8.493,9.7709746253278013E+01
8.494,9.8074694023412960E+01
8.495,9.8439536078626844E+01
8.496,9.8804271568953467E+01
8.497,9.9168899646138769E+01
8.498,9.9533420562711626E+01
8.499,9.9897833472853733E+01
8.5,1.0026213753244443E+02
8.501,1.0062633299715019E+02
8.502,1.0099041902525124E+02
8.503,1.0135439477670863E+02
8.504,1.0171826051026468E+02
8.505,1.0208201538824298E+02
8.506,1.0244565857463994E+02
8.507,1.0280919033121096E+02
8.508,1.0317260982427463E+02
8.509,1.0353591622181241E+02
8.51,1.0389910978852912E+02
8.511,1.0426218969469508E+02
8.512,1.0462515511222834E+02
8.513,1.0498800630872418E+02
8.514,1.0535074245835376E+02
8.515,1.0571336273693086E+02
8.516,1.0607586741488018E+02
8.517,1.0643825567023237E+02
8.518,1.0680052668264204E+02
8.519,1.0716268072531490E+02
8.52,1.0752471698009323E+02
8.521,1.0788663463043328E+02
8.522,1.0824843395226020E+02
8.523,1.0861011413118695E+02
8.524,1.0897167435443002E+02
8.525,1.0933311490057881E+02
8.526,1.0969443495897312E+02
8.527,1.1005563372054844E+02
8.528,1.1041671146650772E+02
8.529,1.1077766738987418E+02
8.53,1.1113850068526267E+02
8.531,1.1149921163643410E+02
8.532,1.1185979944006100E+02
8.533,1.1222026329439488E+02
8.534,1.1258060348570571E+02
8.535,1.1294081921427231E+02
8.536,1.1330090968194644E+02
8.537,1.1366087517745827E+02
8.538,1.1402071490465438E+02
8.539,1.1438042843046470E+02
8.54,1.1474001496147960E+02
8.541,1.1509947478963070E+02
8.542,1.1545880712346978E+02
8.543,1.1581801117310111E+02
8.544,1.1617708723280180E+02
8.545,1.1653603451461015E+02
8.546,1.1689485223210741E+02
8.547,1.1725354068186972E+02
8.548,1.1761209907938509E+02
8.549,1.1797052664167937E+02
8.55,1.1832882366758180E+02
8.551,1.1868698937599748E+02
8.552,1.1904502298736020E+02
8.553,1.1940292480270969E+02
8.554,1.1976069404433370E+02
8.555,1.2011832993604443E+02
8.556,1.2047583278104355E+02
8.557,1.2083320180497358E+02
8.558,1.2119043623498902E+02
8.559,1.2154753637641507E+02
8.56,1.2190450145821342E+02
8.561,1.2226133071085188E+02
8.562,1.2261802444173753E+02
8.563,1.2297458188312051E+02
8.564,1.2333100226875177E+02
8.565,1.2368728590807655E+02
8.566,1.2404343203660561E+02
8.567,1.2439943989134412E+02
8.568,1.2475530978373503E+02
8.569,1.2511104095251852E+02
8.57,1.2546663263792685E+02
8.571,1.2582208515336062E+02
8.572,1.2617739774076378E+02
8.573,1.2653256964356171E+02
8.574,1.2688760117707713E+02
8.575,1.2724249158642922E+02
8.576,1.2759724011821399E+02
8.577,1.2795184708963352E+02
8.578,1.2830631174895461E+02
8.579,1.2866063334591803E+02
8.58,1.2901481219956906E+02
8.581,1.2936884756129717E+02
8.582,1.2972273868395780E+02
8.583,1.3007648588840578E+02
8.584,1.3043008842912681E+02
8.585,1.3078354556206659E+02
8.586,1.3113685760985203E+02
8.587,1.3149002383004006E+02
8.588,1.3184304383642097E+02
8.589,1.3219591688902602E+02
8.59,1.3254864331278981E+02
8.591,1.3290122236932513E+02
8.592,1.3325365332169756E+02
8.593,1.3360593649653114E+02
8.594,1.3395807115845616E+02
8.595,1.3431005657354595E+02
8.596,1.3466189307008696E+02
8.597,1.3501357991569816E+02
8.598,1.3536511637944253E+02
8.599,1.3571650279122903E+02
8.6,1.3606773842164904E+02
8.601,1.3641882254273068E+02
8.602,1.3676975548597508E+02
8.603,1.3712053652492114E+02
8.604,1.3747116493454305E+02
8.605,1.3782164104790061E+02
8.606,1.3817196414146028E+02
8.607,1.3852213349311833E+02
8.608,1.3887214943746665E+02
8.609,1.3922201125387579E+02
8.61,1.3957171822314507E+02
8.611,1.3992127068136628E+02
8.612,1.4027066791079383E+02
8.613,1.4061990919511047E+02
8.614,1.4096899487187818E+02
8.615,1.4131792422621641E+02
8.616,1.4166669654466932E+02
8.617,1.4201531216624099E+02
8.618,1.4236377037889744E+02
8.619,1.4271207047202606E+02
8.62,1.4306021278604149E+02
8.621,1.4340819661173734E+02
8.622,1.4375602124132590E+02
8.623,1.4410368701660690E+02
8.624,1.4445119323118197E+02
8.625,1.4479853918006867E+02
8.626,1.4514572520642423E+02
8.627,1.4549275060664175E+02
8.628,1.4583961467852762E+02
8.629,1.4618631776656517E+02
8.63,1.4653285916992388E+02
8.631,1.4687923818918105E+02
8.632,1.4722545517012196E+02
8.633,1.4757150941467179E+02
8.634,1.4791740057376791E+02
8.635,1.4826312795165765E+02
8.636,1.4860869189582004E+02
8.637,1.4895409171183147E+02
8.638,1.4929932670667156E+02
8.639,1.4964439722906130E+02
8.64,1.4998930258729587E+02
8.641,1.5033404209107280E+02
8.642,1.5067861609032536E+02
8.643,1.5102302389605580E+02
8.644,1.5136726482066106E+02
8.645,1.5171133921526760E+02
8.646,1.5205524639356292E+02
8.647,1.5239898567063233E+02
8.648,1.5274255739876833E+02
8.649,1.5308596089433226E+02
8.65,1.5342919547508038E+02
8.651,1.5377226149444709E+02
8.652,1.5411515827145465E+02
8.653,1.5445788512651529E+02
8.654,1.5480044241418344E+02
8.655,1.5514282945612504E+02
8.656,1.5548504557539573E+02
8.657,1.5582709112764744E+02
8.658,1.5616896543717613E+02
8.659,1.5651066782966609E+02
8.66,1.5685219866184426E+02
8.661,1.5719355726062381E+02
8.662,1.5753474295430513E+02
8.663,1.5787575610066614E+02
8.664,1.5821659602922523E+02
8.665,1.5855726207088509E+02
8.666,1.5889775458445530E+02
8.667,1.5923807290204130E+02
8.668,1.5957821635714001E+02
8.669,1.5991818530956766E+02
8.67,1.6025797909401132E+02
8.671,1.6059759704654246E+02
8.672,1.6093703952796645E+02
8.673,1.6127630587553665E+02
8.674,1.6161539542789123E+02
8.675,1.6195430854680228E+02
8.676,1.6229304457207576E+02
8.677,1.6263160284490652E+02
8.678,1.6296998372801141E+02
8.679,1.6330818656374157E+02
8.68,1.6364621069583310E+02
8.681,1.6398405648792811E+02
8.682,1.6432172328491220E+02
8.683,1.6465921077219883E+02
8.684,1.6499651829689486E+02
8.685,1.6533364622384937E+02
8.686,1.6567059390130549E+02
8.687,1.6600736067888781E+02
8.688,1.6634394692232530E+02
8.689,1.6668035198236771E+02
8.69,1.6701657521114669E+02
8.691,1.6735261697525416E+02
8.692,1.6768847662793581E+02
8.693,1.6802415352381797E+02
8.694,1.6835964803033835E+02
8.695,1.6869495950322712E+02
8.696,1.6903008729959731E+02
8.697,1.6936503178771153E+02
8.698,1.6969979232577771E+02
8.699,1.7003436827338444E+02
8.7,1.7036875999960256E+02
8.701,1.7070296686510585E+02
8.702,1.7103698823194881E+02
8.703,1.7137082446999270E+02
8.704,1.7170447494237104E+02
8.705,1.7203793901359435E+02
8.706,1.7237121705429522E+02
8.707,1.7270430843005565E+02
8.708,1.7303721250783582E+02
8.709,1.7336992965902346E+02
8.71,1.7370245925163977E+02
8.711,1.7403480065508501E+02
8.712,1.7436695424148400E+02
8.713,1.7469891938129115E+02
8.714,1.7503069544633630E+02
8.715,1.7536228280946636E+02
8.716,1.7569368084355773E+02
8.717,1.7602488892286328E+02
8.718,1.7635590742093666E+02
8.719,1.7668673571306763E+02
8.72,1.7701737317592520E+02
8.721,1.7734782018374955E+02
8.722,1.7767807611423962E+02
8.723,1.7800814034646837E+02
8.724,1.7833801325535350E+02
8.725,1.7866769422099000E+02
8.726,1.7899718262485061E+02
8.727,1.7932647884251108E+02
8.728,1.7965558225645609E+02
8.729,1.7998449258107220E+02
8.73,1.8031320920101723E+02
8.731,1.8064173249272122E+02
8.732,1.8097006184184593E+02
8.733,1.8129819663543481E+02
8.734,1.8162613725053910E+02
8.735,1.8195388307519764E+02
8.736,1.8228143349882347E+02
8.737,1.8260878889908017E+02
8.738,1.8293594866637346E+02
8.739,1.8326291219248324E+02
8.74,1.8358967985566653E+02
8.741,1.8391625104868996E+02
8.742,1.8424262516569692E+02
8.743,1.8456880258552124E+02
8.744,1.8489478270328439E+02
8.745,1.8522056491548372E+02
8.746,1.8554614960152000E+02
8.747,1.8587153615886129E+02
8.748,1.8619672398635475E+02
8.749,1.8652171346395122E+02
8.75,1.8684650399146128E+02
8.751,1.8717109497007351E+02
8.752,1.8749548678027853E+02
8.753,1.8781967882422003E+02
8.754,1.8814367050542413E+02
8.755,1.8846746220490675E+02
8.756,1.8879105332714190E+02
