"time","TRes"
0.7,2.9912207611495251E+002
0.702,2.9912088169993416E+002
0.704,2.9911968752379880E+002
0.706,2.9911849358649869E+002
0.708,2.9911729988798601E+002
0.71,2.9911610642821307E+002
0.712,2.9911491320713208E+002
0.714,2.9911372022469527E+002
0.716,2.9911252748085496E+002
0.718,2.9911133497556341E+002
0.72,2.9911014270877291E+002
0.722,2.9910895068043578E+002
0.724,2.9910775889050433E+002
0.726,2.9910656733893086E+002
0.728,2.9910537602566768E+002
0.73,2.9910418495066716E+002
0.732,2.9910299411388166E+002
0.734,2.9910180351526350E+002
0.736,2.9910061315476509E+002
0.738,2.9909942303233873E+002
0.74,2.9909823314793687E+002
0.742,2.9909704350151191E+002
0.744,2.9909585409301621E+002
0.746,2.9909466492240222E+002
0.748,2.9909347598962233E+002
0.75,2.9909228729462905E+002
0.752,2.9909109883737472E+002
0.754,2.9908991061781188E+002
0.756,2.9908872263589296E+002
0.758,2.9908753489157039E+002
0.76,2.9908634738479668E+002
0.762,2.9908516011552433E+002
0.764,2.9908397308370581E+002
0.766,2.9908278628929367E+002
0.768,2.9908159973224042E+002
0.77,2.9908041341249856E+002
0.772,2.9907922733002067E+002
0.774,2.9907804148475930E+002
0.776,2.9907685587666697E+002
0.778,2.9907567050569622E+002
0.78,2.9907448537179971E+002
0.782,2.9907330047492997E+002
0.784,2.9907211581503958E+002
0.786,2.9907093139208115E+002
0.788,2.9906974720600732E+002
0.79,2.9906856325677074E+002
0.792,2.9906737954432401E+002
0.794,2.9906619606861977E+002
0.796,2.9906501282961062E+002
0.798,2.9906382982724932E+002
0.8,2.9906264706148846E+002
0.802,2.9906146453228075E+002
0.804,2.9906028223957890E+002
0.806,2.9905910018333560E+002
0.808,2.9905791836350352E+002
0.81,2.9905673678003541E+002
0.812,2.9905555543288398E+002
0.814,2.9905437432200199E+002
0.816,2.9905319344734215E+002
0.818,2.9905201280885728E+002
0.82,2.9905083240650009E+002
0.822,2.9904965224022339E+002
0.824,2.9904847230997996E+002
0.826,2.9904729261572254E+002
0.828,2.9904611315740397E+002
0.83,2.9904493393497705E+002
0.832,2.9904375494839462E+002
0.834,2.9904257619760955E+002
0.836,2.9904139768257460E+002
0.838,2.9904021940324265E+002
0.84,2.9903904135956657E+002
0.842,2.9903786355149924E+002
0.844,2.9903668597899355E+002
0.846,2.9903550864200230E+002
0.848,2.9903433154047849E+002
0.85,2.9903315467437494E+002
0.852,2.9903197804364464E+002
0.854,2.9903080164824047E+002
0.856,2.9902962548811541E+002
0.858,2.9902844956322235E+002
0.86,2.9902727387351428E+002
0.862,2.9902609841894412E+002
0.864,2.9902492319946492E+002
0.866,2.9902374821502957E+002
0.868,2.9902257346559111E+002
0.87,2.9902139895110253E+002
0.872,2.9902022467151687E+002
0.874,2.9901905062678713E+002
0.876,2.9901787681686636E+002
0.878,2.9901670324170755E+002
0.88,2.9901552990126379E+002
0.882,2.9901435679548808E+002
0.884,2.9901318392433353E+002
0.886,2.9901201128775324E+002
0.888,2.9901083888570025E+002
0.89,2.9900966671812768E+002
0.892,2.9900849478498861E+002
0.894,2.9900732308623617E+002
0.896,2.9900615162182345E+002
0.898,2.9900498039170361E+002
0.9,2.9900380939582982E+002
0.902,2.9900263863415518E+002
0.904,2.9900146810663290E+002
0.906,2.9900029781321609E+002
0.908,2.9899912775385798E+002
0.91,2.9899795792851177E+002
0.912,2.9899678833713062E+002
0.914,2.9899561897966777E+002
0.916,2.9899444985607636E+002
0.918,2.9899328096630967E+002
0.92,2.9899211231032098E+002
0.922,2.9899094388806344E+002
0.924,2.9898977569949039E+002
0.926,2.9898860774455505E+002
0.928,2.9898744002321070E+002
0.93,2.9898627253541059E+002
0.932,2.9898510528110802E+002
0.934,2.9898393826025631E+002
