"time","J1_w","J2_w","J3_w","J4_w"
0.33,7.3022258516901735E+000,3.2071854074187351E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.331,7.2849800644705862E+000,3.2163410246945729E+000,-3.0623633186132801E-032,-3.1051287011091230E-032
0.332,7.2675587025908861E+000,3.2254915808315276E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.333,7.2499699427877715E+000,3.2346370613796220E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.334,7.2322221320004587E+000,3.2437774518968943E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.335,7.2143237791474943E+000,3.2529127379494200E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.336,7.1962835467436950E+000,3.2620429051113358E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.337,7.1781102423655092E+000,3.2711679389648616E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.338,7.1598128099732072E+000,3.2802878251003231E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.339,7.1414003210984731E+000,3.2894025491161751E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.34,7.1228819659060818E+000,3.2985120966190244E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.341,7.1042670441385019E+000,3.3076164532236523E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.342,7.0855649559523481E+000,3.3167156045530368E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.343,7.0667851926557219E+000,3.3258095362383759E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.344,7.0479373273555996E+000,3.3348982339191102E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.345,7.0290310055244767E+000,3.3439816832429456E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.346,7.0100759354955953E+000,3.3530598698658758E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.347,6.9910818788961215E+000,3.3621327794522049E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.348,6.9720586410277248E+000,3.3712003976745701E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.349,6.9530160612040479E+000,3.3802627102139651E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.35,6.9339640030545944E+000,3.3893197027597610E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.351,6.9149123448046250E+000,3.3983713610097301E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.352,6.8958709695406295E+000,3.4074176706700690E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.353,6.8768497554709960E+000,3.4164586174554197E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.354,6.8578585661914921E+000,3.4254941870888929E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.355,6.8389072409651490E+000,3.4345243653020909E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.356,6.8200055850261592E+000,3.4435491378351304E+000,-2.4831270083818683E-032,-2.4737318281412113E-032
0.357,6.8011633599173393E+000,3.4525684904366631E+000,-2.4989626068934022E-032,-2.4738859025367624E-032
0.358,6.7823902738707140E+000,3.4615824088639000E+000,-2.4989626068929178E-032,-2.4738859025372463E-032
0.359,6.7636959722406935E+000,3.4705908788826338E+000,-2.4989626068929178E-032,-2.4738859025372463E-032
0.36,6.7450900279992974E+000,3.4795938862672608E+000,-2.3162761855412574E-032,-2.2763625274408911E-032
0.361,6.7265819323028033E+000,3.4885914168008036E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.362,6.7081810851391319E+000,3.4975834562749331E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.363,6.6898967860651908E+000,3.5065699904899916E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.364,6.6717382250433284E+000,3.5155510052550150E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.365,6.6537144733859286E+000,3.5245264863877548E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.366,6.6358344748170977E+000,3.5334964197147016E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.367,6.6181070366602546E+000,3.5424607910711061E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.368,6.6005408211603189E+000,3.5514195863010025E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.369,6.5831443369490712E+000,3.5603727912572301E+000,-2.2400233280894473E-032,-2.1852727162443864E-032
0.37,6.5659259306620994E+000,3.5693203918014564E+000,-2.1717059696920688E-032,-2.1852727162443864E-032
0.371,6.5488937787156081E+000,3.5782623738041988E+000,-2.1717059696920688E-032,-2.1852727162443864E-032
0.372,6.5320558792512031E+000,3.5871987231448470E+000,-2.1717059696920688E-032,-2.1852727162443864E-032
0.373,6.5154200442566061E+000,3.5961294257116854E+000,-2.1717059696920688E-032,-2.1852727162443864E-032
0.374,6.4989938918700716E+000,3.6050544674019158E+000,-2.1717059696920688E-032,-2.1852727162443864E-032
