"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
3.426,2.4989747034663303E+001,2.8330875677340643E+001,3.6618793044279471E+001,4.5696249483778839E-001,2.7250296156152598E-001
3.436,2.4989940639531905E+001,2.8627317726552107E+001,3.7204411181300728E+001,4.4838981901753694E-001,2.6266040086785836E-001
3.446,2.4990159128406560E+001,2.8915128843281373E+001,3.7775282886750553E+001,4.3914449010979983E-001,2.5404251259215238E-001
3.456,2.4990392765473022E+001,2.9194900284233189E+001,3.8332145651635685E+001,4.2942015189717364E-001,2.4641856678767549E-001
3.466,2.4990633741984936E+001,2.9467164914227890E+001,3.8875590491787655E+001,4.1940513218154596E-001,2.3956807731481566E-001
3.476,2.4990876211632248E+001,2.9732376983741382E+001,3.9406085220905943E+001,4.0926380225450143E-001,2.3329967477415048E-001
3.486,2.4991116065228940E+001,2.9990915329284501E+001,3.9924010725714169E+001,3.9912945864621541E-001,2.2745748695238199E-001
3.496,2.4991350641484154E+001,3.0243091041130448E+001,4.0429688385979219E+001,3.8910289407371224E-001,2.2192182172750718E-001
3.506,2.4991578403068218E+001,3.0489159000808417E+001,4.0923401757635773E+001,3.7925515247933983E-001,2.1660562979964360E-001
3.516,2.4991798635898746E+001,3.0729329741955585E+001,4.1405411996290994E+001,3.6963213757772462E-001,2.1144920538935097E-001
3.526,2.4992011190809322E+001,3.0963780427938278E+001,4.1875968255490783E+001,3.6025986619576067E-001,2.0641435556109333E-001
3.536,2.4992216276261868E+001,3.1192664247528189E+001,4.2335314219246158E+001,3.5114955391664815E-001,2.0147885657122810E-001
3.546,2.4992414300962611E+001,3.1416117772828578E+001,4.2783691427493913E+001,3.4230208941720397E-001,1.9663164510075248E-001
3.556,2.4992605762693266E+001,3.1634266794718915E+001,4.3221341135719413E+001,3.3371169836398940E-001,1.9186890052674632E-001
3.566,2.4992791173978034E+001,3.1847230281267898E+001,4.3648504450478853E+001,3.2536875497029538E-001,1.8719107334111917E-001
3.576,2.4992971017065020E+001,3.2055123073658848E+001,4.4065421817129561E+001,3.1726182738285602E-001,1.8260073655751052E-001
3.586,2.4993145720542124E+001,3.2258057563759678E+001,4.4472332188386005E+001,3.0937906260915049E-001,1.7810114013858069E-001
3.596,2.4993315650768029E+001,3.2456144609442596E+001,4.4869472086470026E+001,3.0170904883830041E-001,1.7369531786573833E-001
3.606,2.4993481112744991E+001,3.2649493925260167E+001,4.5257074715447935E+001,2.9424128769387403E-001,1.6938560308263362E-001
3.616,2.4993642356370714E+001,3.2838214134176596E+001,4.5635369200215706E+001,2.8696639253865330E-001,1.6517342926980216E-001
3.626,2.4993799585248283E+001,3.3022412655542546E+001,4.6004580054284638E+001,2.7987610498172832E-001,1.6105931560686604E-001
3.636,2.4993952966001636E+001,3.3202195481833058E+001,4.6364926773315020E+001,2.7296320722907841E-001,1.5704295927079082E-001
3.646,2.4994102637020667E+001,3.3377666947824991E+001,4.6716623613683240E+001,2.6622138014589158E-001,1.5312338018829164E-001
3.656,2.4994248715984593E+001,3.3548929522204105E+001,4.7059879505904256E+001,2.5964504442944691E-001,1.4929908047201457E-001
3.666,2.4994391305962555E+001,3.3716083671890885E+001,4.7394898132283153E+001,2.5322920626068945E-001,1.4556819508614771E-001
3.676,2.4994530499892569E+001,3.3879227570362538E+001,4.7721877664250322E+001,2.4696933002846844E-001,1.4192862567582210E-001
3.686,2.4994666384133897E+001,3.4038457229892131E+001,4.8041011307827254E+001,2.4086121799868687E-001,1.3837814269069948E-001
3.696,2.4994799040731248E+001,3.4193866455427553E+001,4.8352487430524818E+001,2.3490092512063265E-001,1.3491446447113042E-001
3.706,2.4994928548691639E+001,3.4345546627070732E+001,4.8656489291704574E+001,2.2908470339236098E-001,1.3153531831803444E-001
3.716,2.4995054985055852E+001,3.4493586976019877E+001,4.8953195714814377E+001,2.2340894662423871E-001,1.2823847231484220E-001
3.726,2.4995178425200780E+001,3.4638074479196092E+001,4.9242780954864145E+001,2.1787016610445809E-001,1.2502176034182455E-001
3.736,2.4995298943017595E+001,3.4779093935979084E+001,4.9525414900243348E+001,2.1246497073847359E-001,1.2188309239310213E-001
3.746,2.4995416610938840E+001,3.4916728058816609E+001,4.9801263279929167E+001,2.0719005490594378E-001,1.1882045701812871E-001
3.756,2.4995531499853008E+001,3.5051057526938827E+001,5.0070487781456791E+001,2.0204219310728277E-001,1.1583191976523632E-001
3.766,2.4995643678984976E+001,3.5182161029181692E+001,5.0333246137376349E+001,1.9701823824458531E-001,1.1291561909978409E-001
3.776,2.4995753215850804E+001,3.5310115381356148E+001,5.0589692355675261E+001,1.9211511866599140E-001,1.1006975940763186E-001
