"time","J1_w","J2_w","J3_w","J4_w"
0.348,6.9720586410277203E+000,3.3712003976745666E+000,-3.5527136788005009E-015,-3.5508509644389747E-015
0.351,6.9149123448046206E+000,3.3983713610097261E+000,-3.9968028886505635E-015,-3.9949349056621102E-015
0.354,6.8578585661914868E+000,3.4254941870888884E+000,-4.4408920985006262E-015,-4.4390358200984108E-015
0.357,6.8011633599173331E+000,3.4525684904366578E+000,-5.3290705182007514E-015,-5.3272302901771138E-015
0.36,6.7450900279992920E+000,3.4795938862672564E+000,-4.4408920985006262E-015,-4.4390658801055059E-015
0.363,6.6898967860651855E+000,3.5065699904899867E+000,-4.8849813083506888E-015,-4.8831925699993688E-015
0.366,6.6358344748170923E+000,3.5334964197146972E+000,-4.4408920985006262E-015,-4.4391846517382184E-015
0.369,6.5831443369490659E+000,3.5603727912572256E+000,-4.4408920985006262E-015,-4.4392667963728387E-015
0.372,6.5320558792511978E+000,3.5871987231448426E+000,-4.4408920985006262E-015,-4.4393726848385798E-015
0.375,6.4827848388760883E+000,3.6139738341216754E+000,-3.9968028886505635E-015,-3.9953935645180902E-015
0.378,6.4355312718192446E+000,3.6406977436541319E+000,-3.1086244689504383E-015,-3.1073088879523062E-015
0.381,6.3904777805801327E+000,3.6673700719363014E+000,-3.9968028886505635E-015,-3.9956078947428943E-015
0.384,6.3477878967352579E+000,3.6939904398953622E+000,-3.5527136788005009E-015,-3.5516548134563483E-015
0.387,6.3076046327795963E+000,3.7205584691969600E+000,-3.9968028886505635E-015,-3.9958380434943290E-015
0.39,6.2700492160903183E+000,3.7470737822505908E+000,-3.5527136788005009E-015,-3.5519314684949061E-015
0.393,6.2352200162501550E+000,3.7735360022149633E+000,-3.9968028886505635E-015,-3.9960771805629341E-015
0.396,6.2031916752515341E+000,3.7999447530033574E+000,-5.3290705182007514E-015,-5.3285125276063679E-015
0.399,6.1740144483018007E+000,3.8262996592889706E+000,-4.8849813083506888E-015,-4.8845514116489944E-015
0.402,6.1477137610805279E+000,3.8326003465102438E+000,1.9999999999995133E-002,-4.8849813083506888E-015
0.405,6.1242899873786936E+000,3.8288464408762000E+000,4.9999999999995381E-002,-4.6629367034256575E-015
0.408,6.1037184490933791E+000,3.8250375693717400E+000,7.9999999999996074E-002,-3.9968028886505635E-015
0.411,6.0859496385779561E+000,3.8211733597629531E+000,1.0999999999999588E-001,-4.2188474935755949E-015
0.414,6.0709096613741496E+000,3.8172534406024066E+000,1.3999999999999568E-001,-4.4408920985006262E-015
0.417,6.0585008953961959E+000,3.8132774412344235E+000,1.6999999999999504E-001,-5.1070259132757201E-015
0.42,6.0486028607160840E+000,3.8092449918003513E+000,1.9999999999999529E-001,-4.8849813083506888E-015
0.423,6.0410732922295614E+000,3.8051557232438160E+000,2.2999999999999554E-001,-4.6629367034256575E-015
0.426,6.0357494056817957E+000,3.8010092673159699E+000,2.5999999999999535E-001,-4.8849813083506888E-015
0.429,6.0324493458153166E+000,3.7968052565807260E+000,2.8999999999999559E-001,-4.6629367034256575E-015
0.432,6.0309738037863179E+000,3.7925433244199760E+000,3.1999999999999496E-001,-5.3290705182007514E-015
0.435,6.0311077894929861E+000,3.7882231050388055E+000,3.4999999999999476E-001,-5.5511151231257827E-015
0.438,6.0326225430844858E+000,3.7838442334706897E+000,3.7999999999999456E-001,-5.7731597280508140E-015
0.441,6.0352775686838704E+000,3.7794063455826796E+000,4.0999999999999392E-001,-6.4392935428259079E-015
0.444,6.0388227722734111E+000,3.7749090780805825E+000,4.3999999999999373E-001,-6.6613381477509392E-015
0.447,6.0430006847662581E+000,3.7703520685141170E+000,4.6999999999999265E-001,-7.7715611723760958E-015
0.45,6.0475487505322736E+000,3.7657349552820731E+000,4.9999999999999334E-001,-7.1054273576010019E-015
0.453,6.0522016610648439E+000,3.7610573776374432E+000,5.2999999999999359E-001,-6.8833827526759706E-015
0.456,6.0566937130748597E+000,3.7563189756925541E+000,5.5999999999999339E-001,-7.1054273576010019E-015
0.459,6.0607611700811921E+000,3.7515193904241810E+000,5.8999999999999275E-001,-7.7715611723760958E-015
0.462,6.0641446065359856E+000,3.7466582636786496E+000,6.1999999999999211E-001,-8.4376949871511897E-015
0.465,6.0665912136780911E+000,3.7417352381769264E+000,6.4999999999999192E-001,-8.6597395920762210E-015
0.468,6.0678570466476849E+000,3.7367499575196961E+000,6.7999999999999261E-001,-7.9936057773011271E-015
