"time","valves_mv1","valves_mv2","valves_mv3","valves_eds","valves_eds1","valves_eds2","valves_eds3","valves_eds4","valves_eds5","egsCarSpeed","egsGear","egsTargetGear","tShiftStart"
2.09,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.0847999999999999E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.15,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.2206000000000003E+001,0.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.22,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.3750000000000000E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.29,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.5250999999999998E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.35,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.6505000000000003E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.42,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.7932000000000002E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.49,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.8729999999999997E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.56,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.8753999999999998E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.62,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.8746000000000002E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.69,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.7039000000000001E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.76,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.9063000000000002E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.82,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.9316000000000003E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.89,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000000E+000,3.9896999999999998E+001,1.0000000000000000E+000,1.0000000000000000E+000,1.1899999999999999E+000
2.96,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,9.0000000000000002E-001,0.0000000000000000E+000,9.0000000000000002E-001,4.0790999999999997E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
3.03,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,7.6000000000000001E-001,0.0000000000000000E+000,7.6000000000000001E-001,4.1670999999999999E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
3.09,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,6.4000000000000001E-001,0.0000000000000000E+000,6.4000000000000001E-001,4.2585999999999999E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
3.16,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,5.0000000000000000E-001,0.0000000000000000E+000,5.0000000000000000E-001,4.3634999999999998E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
3.23,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,3.5999999999999999E-001,0.0000000000000000E+000,3.5999999999999999E-001,4.4667999999999999E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
3.29,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,2.3999999999999999E-001,0.0000000000000000E+000,2.3999999999999999E-001,4.5551000000000002E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
3.36,1.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000,1.0000000000000001E-001,0.0000000000000000E+000,1.0000000000000001E-001,4.6563000000000002E+001,1.0000000000000000E+000,2.0000000000000000E+000,2.8999999999999999E+000
