"time","Capacitor1.i","IdealDiode3.v"
0.0230001,-1.9088377133569844E+002,-2.1051158859058427E+002
0.0232001,-1.2909527053490450E+002,-2.4013410927273506E+002
0.0234001,-6.2187594887647627E+001,-2.7026950405180128E+002
0.0236001,4.6335716819094781E+000,-3.0081311868917226E+002
0.0238001,6.6186845804959958E+001,-3.3162576260291718E+002
0.0240001,1.1744440874084580E+002,-3.6253478180913766E+002
0.0242001,1.5365735853262865E+002,-3.9333597966507870E+002
0.0244001,1.7047433026018732E+002,-4.2379634798398416E+002
0.0246001,1.6405072348607618E+002,-4.5365755280570272E+002
0.0248001,1.3114609367802169E+002,-4.8264010208672607E+002
0.0250001,6.9207535674041978E+001,-5.1044810719328609E+002
0.0252001,-2.3308387196025993E+001,-5.3336001702922897E+002
0.0254001,-1.2989219424993826E+002,-5.3237903476791359E+002
0.0256001,-2.4082242551150040E+002,-5.3000528432446004E+002
0.0258001,-2.9076381043040152E+002,-5.2631331425732242E+002
0.0260001,-2.5312367496517513E+002,-5.2270274234209069E+002
0.0262001,-1.9773891767510835E+002,-5.1973535305592122E+002
0.0264001,-1.2954414043864560E+002,-5.1761031536852897E+002
0.0266001,-5.3775032006139739E+001,-5.1645855173455857E+002
0.0268001,2.4163115442221265E+001,-5.1633972658510174E+002
0.0270001,9.8830280354281271E+001,-5.1724101674335543E+002
0.0272001,1.6488692079580935E+002,-5.1907768615967598E+002
0.0274001,2.1722646546639854E+002,-5.2169544644323196E+002
0.0276001,2.5110210443625931E+002,-5.2487454280174006E+002
0.0278001,2.6224503392505591E+002,-5.2833546876252058E+002
0.0280001,2.4697150885633562E+002,-5.3174617383285749E+002
0.0282001,2.0227631447973286E+002,-5.3473059746352192E+002
0.0284001,1.2591057816620960E+002,-5.3687833093056270E+002
0.0286001,1.8638022728430059E+001,-5.3776123707234547E+002
0.0288001,-9.9645274318891936E+001,-5.3710988524591130E+002
0.0290001,-2.2454106115296284E+002,-5.3483142097644532E+002
0.0292001,-2.6989612265231267E+002,-5.3124439042738913E+002
0.0294001,-2.3621437641761582E+002,-5.2788344461674797E+002
0.0296001,-1.8636064698702506E+002,-5.2510073911491872E+002
0.0298001,-1.2515471658697413E+002,-5.2307531221742920E+002
0.0300001,-5.7680726189105030E+001,-5.2191977195252548E+002
0.0302001,1.0840860654738094E+001,-5.2167774823027457E+002
0.0304001,7.5183940016268423E+001,-5.2232307571716774E+002
0.0306001,1.3024713542552212E+002,-5.2376072024912901E+002
0.0308001,1.7118090784089605E+002,-5.2582942154958801E+002
0.0310001,1.9350854652057268E+002,-5.2830598707203080E+002
0.0312001,1.9323832513383849E+002,-5.3091113402092560E+002
0.0314001,1.6696431289137860E+002,-5.3331674278331320E+002
0.0316001,1.1195359103930440E+002,-5.3515435238659848E+002
0.0318001,2.6217934775234539E+001,-5.3602470173541406E+002
0.0320001,-8.3261573507239007E+001,-5.3552720330850434E+002
0.0322001,-1.9787166419168508E+002,-5.3347214783278218E+002
0.0324001,-3.0212603554222699E+002,-4.0552664000364564E+002
0.0326001,-2.7539385841215778E+002,-3.7386228454839431E+002
0.0328001,-2.2918112476715379E+002,-3.4200204253762058E+002
0.0330001,-1.6821062279163090E+002,-3.1017933276875493E+002
0.0332001,-9.7554887478897754E+001,-2.7859612632086532E+002
0.0334001,-2.2508204879086474E+001,-2.4742056328905213E+002
0.0336001,5.1545959902057838E+001,-2.1678543658227815E+002
0.0338001,1.1926910233695749E+002,-1.8678756518344434E+002
0.0340001,1.7550035237490525E+002,-1.5748805909797326E+002
0.0342001,2.1538469196325406E+002,-1.2891345809732607E+002
0.0344001,2.3449383458814606E+002,-1.0105770674356074E+002
0.0346001,2.2893705793588788E+002,-7.3884909494259460E+001
0.0348001,1.9545951311198434E+002,-4.7332792345802730E+001
0.0350001,1.3152582047174266E+002,-2.1316781857567968E+001
0.0352001,3.5501542124381004E+001,2.0002289024410853E+000
0.0354001,-7.7223602876166126E+001,2.0333668616108920E+000
0.0356001,-1.9582856976177575E+002,2.1219200593834353E+000
0.0358001,-2.7840636263809415E+002,2.2222544323736098E+000
0.036,-2.4778593350151240E+002,2.2528994721498723E+000
0.0362,-1.9950354898545396E+002,2.3012076958645209E+000
0.0364,-1.3834636377223609E+002,2.3623921183454337E+000
0.0366,-6.9394431744126450E+001,2.4313727670725327E+000
0.0368,2.0971785618297645E+000,2.5028945504885409E+000
0.037,7.0829949648603360E+001,2.5716588221157868E+000
0.0372,1.3159401991893867E+002,2.6324554864812133E+000
0.0374,1.7939784284604008E+002,2.6802926619709879E+000
0.0376,2.0959247994113076E+002,2.7105209800178613E+000
0.0378,2.1798773602779158E+002,2.7189497289908204E+000
0.038,2.0095753596207840E+002,2.7019522417323647E+000
0.0382,1.5553218974386851E+002,2.6565581734448487E+000
0.0384,7.9475492261176157E+001,2.5805306158817349E+000
0.0386,-2.6267376993285325E+001,2.4748035721270267E+000
0.0388,-1.4151681882231765E+002,2.3595517890393629E+000
0.039,-2.6215135739293896E+002,2.2389117603483379E+000
