"time","Resistor_1.R","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0306,1,-58.27558884,-235.4254623,293.7010511
0.0307,1,-67.84254807,-228.9261941,296.7687422
0.0308,1,-77.34255491,-222.2010034,299.5435583
0.0309,1,-86.76623398,-215.2565271,302.0227611
0.031,1,-96.10428525,-208.0996186,304.2039038
0.0311,1,-105.3474932,-200.7373409,306.0848341
0.0312,1,-114.4867359,-193.1769597,307.6636956
0.0313,1,-123.512994,-185.4259361,308.9389301
0.0314,1,-132.4173597,-177.4919195,309.9092792
0.0315,1,-141.1910454,-169.3827399,310.5737853
0.0316,1,-149.8253926,-161.1063999,310.9317926
0.0317,1,-158.3118803,-152.6710674,310.9829477
0.0318,1,-166.6421332,-144.0850669,310.7272002
0.0319,1,-174.8079305,-135.3568719,310.1648024
0.032,1,-182.8012135,-126.495096,309.2963095
0.0321,1,-190.6140937,-117.5084847,308.1225784
0.0322,1,-198.2388608,-108.4059067,306.6447675
0.0323,1,-205.6679901,-99.19634519,304.8643353
0.0324,1,-212.8941499,-89.88888885,302.7830388
0.0325,1,-219.9102089,-80.49272303,300.402932
0.0326,1,-226.7092431,-71.0171206,297.7263637
0.0327,1,-233.2845427,-61.47143286,294.7559755
0.0328,1,-239.6296185,-51.86508023,291.4946987
0.0329,1,-245.7382088,-42.20754303,287.9457519
0.033,1,-251.6042853,-32.50835208,284.1126373
0.0331,1,-257.2220586,-22.77707931,279.9991379
0.0332,1,-262.5859848,-13.02332831,275.6093131
0.0333,1,-267.6907704,-3.25672486,270.9474953
0.0334,1,-272.5313775,6.513092584,266.0182849
0.0335,1,-277.103029,16.27648239,260.8265466
0.0336,1,-281.4012133,26.02380928,255.377404
0.0337,1,-285.4216886,35.7454538,249.6762348
0.0338,1,-289.1604871,45.43182188,243.7286652
0.0339,1,-292.6139191,55.07335424,237.5405649
0.034,1,-295.7785766,64.66053584,231.1180407
0.0341,1,-298.6513362,74.18390531,224.4674309
0.0342,1,-301.2293631,83.63406421,217.5952989
0.0343,1,-303.510113,93.00168639,210.5084266
0.0344,1,-305.491335,102.2775271,203.2138078
0.0345,1,-307.1710739,111.4524323,195.7186416
0.0346,1,-308.5476721,120.5173474,188.0303247
0.0347,1,-309.619771,129.4633264,180.1564446
0.0348,1,-310.3863125,138.2815407,172.1047718
0.0349,1,-310.8465403,146.9632879,163.8832524
0.035,1,-311,155.5,155.5
0.0351,1,-310.8465403,163.8832524,146.9632879
0.0352,1,-310.3863125,172.1047718,138.2815407
0.0353,1,-309.619771,180.1564446,129.4633264
0.0354,1,-308.5476721,188.0303247,120.5173474
0.0355,1,-307.1710739,195.7186416,111.4524323
0.0356,1,-305.491335,203.2138078,102.2775271
0.0357,1,-303.510113,210.5084266,93.00168639
0.0358,1,-301.2293631,217.5952989,83.63406421
0.0359,1,-298.6513362,224.4674309,74.18390531
0.036,1,-295.7785766,231.1180407,64.66053584
0.0361,1,-292.6139191,237.5405649,55.07335424
0.0362,1,-289.1604871,243.7286652,45.43182188
0.0363,1,-285.4216886,249.6762348,35.7454538
0.0364,1,-281.4012133,255.377404,26.02380928
0.0365,1,-277.103029,260.8265466,16.27648239
0.0366,1,-272.5313775,266.0182849,6.513092584
0.0367,1,-267.6907704,270.9474953,-3.25672486
0.0368,1,-262.5859848,275.6093131,-13.02332831
0.0369,1,-257.2220586,279.9991379,-22.77707931
0.037,1,-251.6042853,284.1126373,-32.50835208
0.0371,1,-245.7382088,287.9457519,-42.20754303
0.0372,1,-239.6296185,291.4946987,-51.86508023
0.0373,1,-233.2845427,294.7559755,-61.47143286
0.0374,1,-226.7092431,297.7263637,-71.0171206
0.0375,1,-219.9102089,300.402932,-80.49272303
0.0376,1,-212.8941499,302.7830388,-89.88888885
0.0377,1,-205.6679901,304.8643353,-99.19634519
