"time","TRes","heatCapacitor_T","switch_Controll"
0.84,2.9902909278203180E+002,2.5879092782031819E+001,1
0.86,2.9901734576208855E+002,2.5867345762088576E+001,1
0.88,2.9900562221387901E+002,2.5855622213879030E+001,1
0.9,2.9899392209050433E+002,2.5843922090504350E+001,1
0.92,2.9898224534515953E+002,2.5832245345159549E+001,1
0.94,2.9897059193113279E+002,2.5820591931132810E+001,1
0.96,2.9895896180180580E+002,2.5808961801805822E+001,1
0.98,2.9894735491065330E+002,2.5797354910653326E+001,1
1,2.9893577121124332E+002,2.5785771211243343E+001,1
1.021,2.9892363323627268E+002,2.5773633236272701E+001,1
1.041,2.9891209693516703E+002,2.5762096935167051E+001,1
1.061,2.9890058368475769E+002,2.5750583684757714E+001,1
1.081,2.9888909343898700E+002,2.5739093438987027E+001,1
1.101,2.9887762615188939E+002,2.5727626151889410E+001,1
1.121,2.9886618177759107E+002,2.5716181777591089E+001,1
1.141,2.9885476027031012E+002,2.5704760270310146E+001,1
1.161,2.9884336158435565E+002,2.5693361584355671E+001,1
1.181,2.9883198567412848E+002,2.5681985674128498E+001,1
1.201,2.9882063249412045E+002,2.5670632494120468E+001,1
1.221,2.9880930199891418E+002,2.5659301998914202E+001,1
1.241,2.9879799414318336E+002,2.5647994143183382E+001,1
1.261,2.9878670888169177E+002,2.5636708881691789E+001,1
1.281,2.9877544616929379E+002,2.5625446169293809E+001,1
1.301,2.9876420596093436E+002,2.5614205960934385E+001,1
1.321,2.9875298821164813E+002,2.5602988211648153E+001,1
1.341,2.9874179287655926E+002,2.5591792876559282E+001,1
1.361,2.9873061991088201E+002,2.5580619910882035E+001,1
1.381,2.9871946926992024E+002,2.5569469269920262E+001,1
1.401,2.9870834090906686E+002,2.5558340909066885E+001,1
1.421,2.9869723478380376E+002,2.5547234783803788E+001,1
1.441,2.9868615084970219E+002,2.5536150849702210E+001,1
1.461,2.9867508906242182E+002,2.5525089062421841E+001,1
1.481,2.9866404937771108E+002,2.5514049377711103E+001,1
1.501,2.9865303175140696E+002,2.5503031751406979E+001,1
1.521,2.9864203613943437E+002,2.5492036139434390E+001,1
1.541,2.9863106249780657E+002,2.5481062497806590E+001,1
1.561,2.9862011078262452E+002,2.5470110782624545E+001,1
1.581,2.9860918095007702E+002,2.5459180950077041E+001,1
1.601,2.9859827295644016E+002,2.5448272956440178E+001,1
1.621,2.9858738675807791E+002,2.5437386758077935E+001,1
1.641,2.9857652231144090E+002,2.5426522311440920E+001,1
1.661,2.9856567957306703E+002,2.5415679573067052E+001,1
1.681,2.9855485849958103E+002,2.5404858499581053E+001,1
1.701,2.9854405904769402E+002,2.5394059047694043E+001,1
1.721,2.9853328117420409E+002,2.5383281174204114E+001,1
1.741,2.9852252483599540E+002,2.5372524835995421E+001,1
1.761,2.9851178999003821E+002,2.5361789990038233E+001,1
1.781,2.9850107659338897E+002,2.5351076593388996E+001,1
1.801,2.9849038460318968E+002,2.5340384603189705E+001,1
1.821,2.9847971397666817E+002,2.5329713976668188E+001,1
1.841,2.9846906467113763E+002,2.5319064671137653E+001,1
1.861,2.9845843664399638E+002,2.5308436643996401E+001,1
1.881,2.9844782985272815E+002,2.5297829852728171E+001,1
1.901,2.9843724425490154E+002,2.5287244254901566E+001,1
1.921,2.9842667980817004E+002,2.5276679808170059E+001,1
1.941,2.9841613647027151E+002,2.5266136470271533E+001,1
1.961,2.9840561419902838E+002,2.5255614199028400E+001,1
1.981,2.9839511295234729E+002,2.5245112952347313E+001,1
2,2.9838515620373732E+002,2.5235156203737347E+001,1
2.021,2.9837417336471839E+002,2.5224173364718411E+001,1
2.041,2.9836373494000378E+002,2.5213734940003803E+001,1
2.061,2.9835331737231758E+002,2.5203317372317599E+001,1
2.081,2.9834292061998508E+002,2.5192920619985102E+001,1
2.101,2.9833254464141527E+002,2.5182544641415291E+001,1
2.121,2.9832218939510000E+002,2.5172189395100020E+001,1
2.141,2.9831185483961389E+002,2.5161854839613909E+001,1
2.161,2.9830154093361489E+002,2.5151540933614911E+001,1
2.181,2.9829124763584321E+002,2.5141247635843229E+001,1
