"time","V","X"
0.178,-2.1930736513331398E-001,1.9771148748750182E+000
0.179,-2.2000660443129624E-001,1.9768952179114965E+000
0.18,-2.2070194981544852E-001,1.9766748634967573E+000
0.181,-2.2139342718864596E-001,1.9764538155784246E+000
0.182,-2.2208106289531918E-001,1.9762320781702587E+000
0.183,-2.2276488116037435E-001,1.9760096549621837E+000
0.184,-2.2344490748268389E-001,1.9757865498372100E+000
0.185,-2.2412116630417472E-001,1.9755627665164792E+000
0.186,-2.2479368338284833E-001,1.9753383089204475E+000
0.187,-2.2546248211217737E-001,1.9751131806088325E+000
0.188,-2.2612758707934955E-001,1.9748873853221451E+000
0.189,-2.2678902223815742E-001,1.9746609267036728E+000
0.19,-2.2744681212072748E-001,1.9744338084837552E+000
0.191,-2.2810098056581088E-001,1.9742060342863887E+000
0.192,-2.2875155132452432E-001,1.9739776077214164E+000
0.193,-2.2939854799683904E-001,1.9737485323748714E+000
0.194,-2.3004199402932340E-001,1.9735188118086275E+000
0.195,-2.3068191272579164E-001,1.9732884495620866E+000
0.196,-2.3131832723973683E-001,1.9730574491510020E+000
0.197,-2.3195126057680759E-001,1.9728258140678763E+000
0.198,-2.3258073559675285E-001,1.9725935477822816E+000
0.199,-2.3320677501784448E-001,1.9723606537415632E+000
0.2,-2.3382940140939293E-001,1.9721271353696754E+000
0.201,-2.3444863719736833E-001,1.9718929960680744E+000
0.202,-2.3506450467228465E-001,1.9716582392169664E+000
0.203,-2.3567702597834017E-001,1.9714228681736126E+000
0.204,-2.3628622311466724E-001,1.9711868862725364E+000
0.205,-2.3689211794740911E-001,1.9709502968274260E+000
0.206,-2.3749473219605252E-001,1.9707131031290035E+000
0.207,-2.3809408745428917E-001,1.9704753084482982E+000
0.208,-2.3869020516619124E-001,1.9702369160329292E+000
0.209,-2.3928310664277289E-001,1.9699979291097043E+000
0.21,-2.3987281306073205E-001,1.9697583508844323E+000
0.211,-2.4045934545909081E-001,1.9695181845414083E+000
0.212,-2.4104272474367447E-001,1.9692774332441183E+000
0.213,-2.4162297168463664E-001,1.9690361001348653E+000
0.214,-2.4220010693035424E-001,1.9687941883369433E+000
0.215,-2.4277415126945992E-001,1.9685517009941460E+000
0.216,-2.4334512525403532E-001,1.9683086412138275E+000
0.217,-2.4391304843726164E-001,1.9680650119517811E+000
0.218,-2.4447794156851807E-001,1.9678208163440032E+000
0.219,-2.4503982504788432E-001,1.9675760574729764E+000
0.22,-2.4559871716031192E-001,1.9673307381011653E+000
0.221,-2.4615463794191500E-001,1.9670848612550831E+000
0.222,-2.4670760792649843E-001,1.9668384300356967E+000
0.223,-2.4725764591974744E-001,1.9665914472824517E+000
0.224,-2.4780477228243111E-001,1.9663439160689362E+000
0.225,-2.4834900503735913E-001,1.9660958391153243E+000
0.226,-2.4889036367845008E-001,1.9658472193633123E+000
0.227,-2.4942886802463629E-001,1.9655980598029543E+000
0.228,-2.4996453493448692E-001,1.9653483629773345E+000
0.229,-2.5049738405638738E-001,1.9650981318498424E+000
0.23,-2.5102743505375458E-001,1.9648473693854189E+000
0.231,-2.5155470537388475E-001,1.9645960782143568E+000
0.232,-2.5207921329275207E-001,1.9643442610914785E+000
0.233,-2.5260097781293672E-001,1.9640919208805068E+000
0.234,-2.5312001641293996E-001,1.9638390602150098E+000
0.235,-2.5363634757405057E-001,1.9635856818791393E+000
0.236,-2.5414998968421909E-001,1.9633317886424049E+000
0.237,-2.5466096073488176E-001,1.9630773832140138E+000
0.238,-2.5516927657709787E-001,1.9628224679806008E+000
0.239,-2.5567495574576410E-001,1.9625670457324047E+000
0.24,-2.5617801580647376E-001,1.9623111191131957E+000
0.241,-2.5667847438615299E-001,1.9620546907754461E+000
0.242,-2.5717634806637085E-001,1.9617977632139267E+000
0.243,-2.5767165469972408E-001,1.9615403391141100E+000
0.244,-2.5816441063420331E-001,1.9612824209347124E+000
0.245,-2.5865463347185225E-001,1.9610240113225545E+000
0.246,-2.5914233937060449E-001,1.9607651127068841E+000
0.247,-2.5962754595062726E-001,1.9605057277362627E+000
0.248,-2.6011026816418625E-001,1.9602458586578824E+000
0.249,-2.6059052358683088E-001,1.9599855081127699E+000
0.25,-2.6106832871481972E-001,1.9597246785792091E+000
0.251,-2.6154369925322740E-001,1.9594633724162418E+000
0.252,-2.6201665163033333E-001,1.9592015920911234E+000
0.253,-2.6248720210142407E-001,1.9589393400446469E+000
0.254,-2.6295536614828768E-001,1.9586766186010680E+000
0.255,-2.6342116059000947E-001,1.9584134302849201E+000
0.256,-2.6388460114198620E-001,1.9581497774545451E+000
0.257,-2.6434570170000138E-001,1.9578856621950202E+000
0.258,-2.6480447851678307E-001,1.9576210869447073E+000
0.259,-2.6526094753931007E-001,1.9573560540955834E+000
0.26,-2.6571512425865640E-001,1.9570905659707536E+000
0.261,-2.6616702330748299E-001,1.9568246247642498E+000
0.262,-2.6661666042595461E-001,1.9565582328357303E+000
0.263,-2.6706405006610395E-001,1.9562913923513692E+000
0.264,-2.6750920779265436E-001,1.9560241056436847E+000
0.265,-2.6795214789435112E-001,1.9557563748536029E+000
0.266,-2.6839288597515920E-001,1.9554882023186582E+000
0.267,-2.6883143551769073E-001,1.9552195900582532E+000
0.268,-2.6926781228683117E-001,1.9549505404332128E+000
0.269,-2.6970202970225565E-001,1.9546810554527807E+000
0.27,-2.7013410233900464E-001,1.9544111372988717E+000
0.271,-2.7056404525770694E-001,1.9541407882255968E+000
0.272,-2.7099187167184674E-001,1.9538700102102595E+000
0.273,-2.7141759589315673E-001,1.9535988053941942E+000
0.274,-2.7184123267237686E-001,1.9533271759839288E+000
0.275,-2.7226279490058464E-001,1.9530551239074752E+000
0.276,-2.7268229659475868E-001,1.9527826512609363E+000
0.277,-2.7309975234303907E-001,1.9525097602253323E+000
0.278,-2.7351517519670610E-001,1.9522364527515210E+000
0.279,-2.7392857778720531E-001,1.9519627307273737E+000
0.28,-2.7433997489993583E-001,1.9516885963622868E+000
0.281,-2.7474938008607580E-001,1.9514140516806833E+000
0.282,-2.7515680582250535E-001,1.9511390985462027E+000
0.283,-2.7556226561275710E-001,1.9508637389755117E+000
0.284,-2.7596577312028181E-001,1.9505879750087052E+000
0.285,-2.7636733977709410E-001,1.9503118083524609E+000
0.286,-2.7676698020135665E-001,1.9500352411887063E+000
0.287,-2.7716470727713444E-001,1.9497582754400100E+000
0.288,-2.7756053172413686E-001,1.9494809127058228E+000
0.289,-2.7795446763925918E-001,1.9492031550891691E+000
0.29,-2.7834652744549337E-001,1.9489250044429001E+000
0.291,-2.7873672419439915E-001,1.9486464627132054E+000
0.292,-2.7912507064317427E-001,1.9483675318019340E+000
0.293,-2.7951157792339004E-001,1.9480882133683306E+000
0.294,-2.7989625900840620E-001,1.9478085093458730E+000
0.295,-2.8027912638121277E-001,1.9475284215944888E+000
0.296,-2.8066019175941609E-001,1.9472479518597401E+000
0.297,-2.8103946781421363E-001,1.9469671020288526E+000
0.298,-2.8141696573410058E-001,1.9466858737678905E+000
0.299,-2.8179269762381609E-001,1.9464042688790646E+000
0.3,-2.8216667588246375E-001,1.9461222892079701E+000
0.301,-2.8253891120869012E-001,1.9458399363467904E+000
0.302,-2.8290941557177823E-001,1.9455572120765330E+000
0.303,-2.8327820081808186E-001,1.9452741181595046E+000
0.304,-2.8364527826667485E-001,1.9449906562792179E+000
0.305,-2.8401065980256640E-001,1.9447068282029716E+000
0.306,-2.8437435669890737E-001,1.9444226356066876E+000
0.307,-2.8473638021721842E-001,1.9441380801642216E+000
0.308,-2.8509674138240060E-001,1.9438531635139404E+000
0.309,-2.8545545197795130E-001,1.9435678874065336E+000
0.31,-2.8581252309576588E-001,1.9432822534895116E+000
0.311,-2.8616796406929801E-001,1.9429962631490141E+000
0.312,-2.8652178694295216E-001,1.9427099181735181E+000
0.313,-2.8687400274671898E-001,1.9424232202003746E+000
0.314,-2.8722462189163050E-001,1.9421361707747244E+000
0.315,-2.8757365551914399E-001,1.9418487715497563E+000
0.316,-2.8792111455544328E-001,1.9415610241462800E+000
0.317,-2.8826700879215106E-001,1.9412729300165090E+000
0.318,-2.8861134895186985E-001,1.9409844907504556E+000
0.319,-2.8895414590665103E-001,1.9406957079598628E+000
0.32,-2.8929541017579907E-001,1.9404065832037516E+000
0.321,-2.8963515105134763E-001,1.9401171178589987E+000
0.322,-2.8997337921810412E-001,1.9398273135085840E+000
0.323,-2.9031010527606549E-001,1.9395371717224736E+000
0.324,-2.9064533948135024E-001,1.9392466940192659E+000
0.325,-2.9097909091068047E-001,1.9389558817426635E+000
0.326,-2.9131136992346873E-001,1.9386647364259852E+000
0.327,-2.9164218671985348E-001,1.9383732595785519E+000
0.328,-2.9197155145906073E-001,1.9380814527031871E+000
0.329,-2.9229947342874113E-001,1.9377893171734453E+000
0.33,-2.9262596211844244E-001,1.9374968543924656E+000
0.331,-2.9295102741142853E-001,1.9372040658212839E+000
0.332,-2.9327467946231950E-001,1.9369109529605710E+000
0.333,-2.9359692781330260E-001,1.9366175172200659E+000
0.334,-2.9391778047100209E-001,1.9363237597824303E+000
0.335,-2.9423724782363436E-001,1.9360296821818597E+000
0.336,-2.9455533927475819E-001,1.9357352858066372E+000
0.337,-2.9487206420214396E-001,1.9354405720408616E+000
0.338,-2.9518743211211956E-001,1.9351455422871915E+000
0.339,-2.9550145169416181E-001,1.9348501978274144E+000
0.34,-2.9581413192083933E-001,1.9345545399847881E+000
0.341,-2.9612548186337168E-001,1.9342585700968131E+000
0.342,-2.9643551084961656E-001,1.9339622895383941E+000
0.343,-2.9674422768586262E-001,1.9336656996071662E+000
0.344,-2.9705164121717592E-001,1.9333688016061359E+000
0.345,-2.9735776070590092E-001,1.9330715968993664E+000
0.346,-2.9766259439994303E-001,1.9327740867011500E+000
0.347,-2.9796615118103681E-001,1.9324762723187707E+000
0.348,-2.9826843918756268E-001,1.9321781549498049E+000
0.349,-2.9856946753146668E-001,1.9318797359347142E+000
0.35,-2.9886924504077578E-001,1.9315810165717038E+000
0.351,-2.9916777982088921E-001,1.9312819980523417E+000
0.352,-2.9946507976130010E-001,1.9309826815361959E+000
0.353,-2.9976115378760682E-001,1.9306830683347875E+000
0.354,-3.0005601028067880E-001,1.9303831596791179E+000
0.355,-3.0034965757001975E-001,1.9300829567922457E+000
0.356,-3.0064210358485166E-001,1.9297824608381087E+000
0.357,-3.0093335662041532E-001,1.9294816730340256E+000
