"time","outputs"
0.0260001,2.6022750362975006E+002
0.0262001,2.5871593968190916E+002
0.0264001,2.5761910900028920E+002
0.0266001,2.5700511257146695E+002
0.0268001,2.5690650799604776E+002
0.0270001,2.5731962638721797E+002
0.0272001,2.5820479125356627E+002
0.0274001,2.5948743143341346E+002
0.0276001,2.6106005999208429E+002
0.0278001,2.6278507152898430E+002
0.0280001,2.6449829199841486E+002
0.0282001,2.6601319833041219E+002
0.0284001,2.6712571021454573E+002
0.0286001,2.6762136914801692E+002
0.0288001,2.6735543124227320E+002
0.0290001,2.6627923016965752E+002
0.0292001,2.6450868632814547E+002
0.0294001,2.6281126383487873E+002
0.0296001,2.6139478019658225E+002
0.0298001,2.6035118544456594E+002
0.0300001,2.5973934912438449E+002
0.0302001,2.5958372144880309E+002
0.0304001,2.5987385844321142E+002
0.0306001,2.6056481889665184E+002
0.0308001,2.6157842121535901E+002
0.0310001,2.6280532888983942E+002
0.0312001,2.6410791466069219E+002
0.0314001,2.6532383601412471E+002
0.0316001,2.6627023873912594E+002
0.0318001,2.6674849128391048E+002
0.0320001,2.6656309879587548E+002
0.0322001,2.6562893904016812E+002
0.0324001,2.6391980403607784E+002
0.0326001,2.6198241459846895E+002
0.0328001,2.6029060189070617E+002
0.0330001,2.5895874580566664E+002
0.0332001,2.5806850815784799E+002
0.0334001,2.5766692332310373E+002
0.0336001,2.5776535904856570E+002
0.0338001,2.5833936797811896E+002
0.0340001,2.5932943026144591E+002
0.0342001,2.6064256749654152E+002
0.0344001,2.6215478864342703E+002
0.0346001,2.6371430987482267E+002
0.0348001,2.6514547300944707E+002
0.0350001,2.6625327158593819E+002
0.0352001,2.6682840267317789E+002
0.0354001,2.6669294220854800E+002
0.0356001,2.6578686880454887E+002
0.0358001,2.6410974299642305E+002
0.036,2.6234559812225558E+002
0.0362,2.6084604467350465E+002
0.0364,2.5971398654621447E+002
0.0366,2.5901847532139323E+002
0.0368,2.5879404106020513E+002
0.037,2.5903996205251815E+002
0.0372,2.5972041512356168E+002
0.0374,2.6076550015638634E+002
0.0376,2.6207311276601484E+002
0.0378,2.6351161998422526E+002
0.038,2.6492327580383972E+002
0.0382,2.6612829688482049E+002
0.0384,2.6692950400440145E+002
0.0386,2.6711959256312349E+002
0.0388,2.6656353056033663E+002
0.039,2.6522157791963548E+002
0.0392,2.6330220490162219E+002
0.0394,2.6153171210111822E+002
0.0396,2.6007070043083388E+002
0.0398,2.5901202253960491E+002
0.04,2.5841479563733657E+002
0.0402,2.5830305930920065E+002
0.0404,2.5866531191045760E+002
0.0406,2.5945493305730514E+002
0.0408,2.6059147969740553E+002
0.041,2.6196282355708149E+002
0.0412,2.6342807885677735E+002
0.0414,2.6482125147986295E+002
0.0416,2.6595552466180516E+002
0.0418,2.6662808209010967E+002
0.042,2.6663913761640441E+002
0.0422,2.6589853095436285E+002
0.0424,2.6436864888859446E+002
0.0426,2.6251102051449607E+002
0.0428,2.6088695132751138E+002
0.043,2.5960937348134144E+002
0.0432,2.5875880420536043E+002
0.0434,2.5838146072614944E+002
0.0436,2.5848823802681585E+002
0.0438,2.5905456963891356E+002
0.044,2.6002117165569678E+002
0.0442,2.6129565021204235E+002
0.0444,2.6275493323844762E+002
0.0446,2.6424846879436177E+002
0.0448,2.6560211512783081E+002
0.045,2.6662263217094198E+002
0.0452,2.6710268573775249E+002
0.0454,2.6686539334460866E+002
0.0456,2.6585276937611445E+002
