"time","TRes","heatCapacitor_T","switch_Controll"
0.76,2.9907024325033041E+002,2.5920243250330429E+001,1
0.78,2.9905841957012404E+002,2.5908419570124067E+001,1
0.8,2.9904661704137152E+002,2.5896617041371542E+001,1
0.82,2.9903484414805399E+002,2.5884844148054015E+001,1
0.84,2.9902310272165971E+002,2.5873102721659734E+001,1
0.86,2.9901138355539035E+002,2.5861383555390375E+001,1
0.88,2.9899968664924586E+002,2.5849686649245882E+001,1
0.9,2.9898801200322629E+002,2.5838012003226311E+001,1
0.92,2.9897635961733158E+002,2.5826359617331605E+001,1
0.94,2.9896472949156180E+002,2.5814729491561820E+001,1
0.96,2.9895312162591694E+002,2.5803121625916958E+001,1
0.98,2.9894153602039694E+002,2.5791536020396961E+001,1
1,2.9892997267500186E+002,2.5779972675001886E+001,1
1.021,2.9891785511979646E+002,2.5767855119796479E+001,1
1.041,2.9890633740765747E+002,2.5756337407657497E+001,1
1.061,2.9889484195564330E+002,2.5744841955643324E+001,1
1.081,2.9888336876375411E+002,2.5733368763754129E+001,1
1.101,2.9887191783198978E+002,2.5721917831989799E+001,1
1.121,2.9886048916035037E+002,2.5710489160350392E+001,1
1.141,2.9884908274883583E+002,2.5699082748835849E+001,1
1.161,2.9883769859744621E+002,2.5687698597446229E+001,1
1.181,2.9882633670618151E+002,2.5676336706181530E+001,1
1.201,2.9881499707504167E+002,2.5664997075041697E+001,1
1.221,2.9880367970402676E+002,2.5653679704026786E+001,1
1.241,2.9879238459313672E+002,2.5642384593136740E+001,1
1.261,2.9878111174237165E+002,2.5631111742371672E+001,1
1.281,2.9876986115173139E+002,2.5619861151731413E+001,1
1.301,2.9875863282121611E+002,2.5608632821216133E+001,1
1.321,2.9874742675082570E+002,2.5597426750825718E+001,1
1.341,2.9873624294056015E+002,2.5586242940560169E+001,1
1.361,2.9872508139041958E+002,2.5575081390419598E+001,1
1.381,2.9871394210040387E+002,2.5563942100403892E+001,1
1.401,2.9870282507051303E+002,2.5552825070513052E+001,1
1.421,2.9869173030074717E+002,2.5541730300747190E+001,1
1.441,2.9868065779110611E+002,2.5530657791106137E+001,1
1.461,2.9866957898578909E+002,2.5519578985789110E+001,1
1.481,2.9865849829992226E+002,2.5508498299922280E+001,1
1.501,2.9864743865488310E+002,2.5497438654883126E+001,1
1.521,2.9863640005067151E+002,2.5486400050671534E+001,1
1.541,2.9862538248728754E+002,2.5475382487287561E+001,1
1.561,2.9861438596473118E+002,2.5464385964731207E+001,1
1.581,2.9860341048300245E+002,2.5453410483002472E+001,1
1.601,2.9859245604210128E+002,2.5442456042101298E+001,1
1.621,2.9858152264202778E+002,2.5431522642027801E+001,1
1.641,2.9857061028278184E+002,2.5420610282781865E+001,1
1.661,2.9855971896436353E+002,2.5409718964363549E+001,1
1.681,2.9854884868677277E+002,2.5398848686772794E+001,1
1.701,2.9853799945000969E+002,2.5387999450009715E+001,1
1.721,2.9852717125407423E+002,2.5377171254074256E+001,1
1.741,2.9851636409896633E+002,2.5366364098966358E+001,1
1.761,2.9850557798468606E+002,2.5355577984686079E+001,1
1.781,2.9849481291123340E+002,2.5344812911233419E+001,1
1.801,2.9848406887860830E+002,2.5334068878608321E+001,1
1.821,2.9847334588681088E+002,2.5323345886810898E+001,1
1.841,2.9846264393584102E+002,2.5312643935841038E+001,1
1.861,2.9845196302569883E+002,2.5301963025698853E+001,1
1.881,2.9844130315638421E+002,2.5291303156384231E+001,1
1.901,2.9843066432789715E+002,2.5280664327897171E+001,1
1.921,2.9842004654023776E+002,2.5270046540237786E+001,1
1.941,2.9840944979340594E+002,2.5259449793405963E+001,1
1.961,2.9839887408740179E+002,2.5248874087401816E+001,1
1.981,2.9838831942222521E+002,2.5238319422225231E+001,1
2.001,2.9837778926825496E+002,2.5227789268254980E+001,1
2.021,2.9836734860250579E+002,2.5217348602505808E+001,1
2.041,2.9835694385056473E+002,2.5206943850564755E+001,1
2.061,2.9834656280323458E+002,2.5196562803234599E+001,1
2.081,2.9833620012747986E+002,2.5186200127479879E+001,1
2.101,2.9832585582330057E+002,2.5175855823300594E+001,1
2.121,2.9831552989069678E+002,2.5165529890696803E+001,1
2.141,2.9830522232966842E+002,2.5155222329668447E+001,1
2.161,2.9829493314021556E+002,2.5144933140215585E+001,1
2.181,2.9828466232233814E+002,2.5134662322338158E+001,1
2.201,2.9827440987603615E+002,2.5124409876036168E+001,1
2.221,2.9826417580130965E+002,2.5114175801309671E+001,1
2.241,2.9825396009815859E+002,2.5103960098158609E+001,1
2.261,2.9824376769115338E+002,2.5093767691153403E+001,1
2.281,2.9841623398257065E+002,2.5266233982570668E+001,0
2.301,2.9860122477688941E+002,2.5451224776889433E+001,0
2.321,2.9878575986715379E+002,2.5635759867153809E+001,0
2.341,2.9896984331609548E+002,2.5819843316095501E+001,0
2.361,2.9915343919175194E+002,2.6003439191751966E+001,0
2.381,2.9933646116225458E+002,2.6186461162254602E+001,0
2.401,2.9951900097202196E+002,2.6369000972021979E+001,0
2.421,2.9970105862105407E+002,2.6551058621054096E+001,0
2.441,2.9988263410935093E+002,2.6732634109350954E+001,0
2.461,3.0006372743691253E+002,2.6913727436912552E+001,0
2.481,3.0024433860373887E+002,2.7094338603738890E+001,0
2.501,3.0042446760982989E+002,2.7274467609829912E+001,0
2.521,3.0060411445518565E+002,2.7454114455185675E+001,0
2.541,3.0078329165793843E+002,2.7633291657938457E+001,0
2.561,3.0096200711653626E+002,2.7812007116536279E+001,0
2.581,3.0114024368387288E+002,2.7990243683872905E+001,0
2.601,3.0131800135994837E+002,2.8168001359948391E+001,0
2.621,3.0149528014476266E+002,2.8345280144762683E+001,0
2.641,3.0167208003831576E+002,2.8522080038315778E+001,0
2.661,3.0184840104060765E+002,2.8698401040607678E+001,0
2.681,3.0194735116588356E+002,2.8797351165883583E+001,1
2.701,3.0192978218152990E+002,2.8779782181529924E+001,1
2.721,3.0191227597445612E+002,2.8762275974456145E+001,1
2.741,3.0189480073545081E+002,2.8744800735450838E+001,1
2.761,3.0187735646451398E+002,2.8727356464514003E+001,1
2.781,3.0185994316164556E+002,2.8709943161645583E+001,1
2.801,3.0184256082684567E+002,2.8692560826845693E+001,1
2.821,3.0182520946011419E+002,2.8675209460114218E+001,1
2.841,3.0180788906145119E+002,2.8657889061451215E+001,1
2.861,3.0179059963085672E+002,2.8640599630856741E+001,1
2.881,3.0177334116833066E+002,2.8623341168330683E+001,1
2.901,3.0175611367387307E+002,2.8606113673873097E+001,1
2.921,3.0173894072520653E+002,2.8588940725206555E+001,1
2.941,3.0172180186998202E+002,2.8571801869982039E+001,1
2.961,3.0170469559438902E+002,2.8554695594389045E+001,1
2.981,3.0168762189842755E+002,2.8537621898427574E+001,1
3.001,3.0167058078209760E+002,2.8520580782097625E+001,1
3.021,3.0165357224539912E+002,2.8503572245399141E+001,1
3.041,3.0163659628833216E+002,2.8486596288332180E+001,1
3.061,3.0161965291089666E+002,2.8469652910896684E+001,1
3.081,3.0170196150564141E+002,2.8551961505641430E+001,0
3.101,3.0187799070501387E+002,2.8727990705013895E+001,0
3.121,3.0205359278735619E+002,2.8903592787356217E+001,0
3.141,3.0222876775266838E+002,2.9078767752668398E+001,0
3.161,3.0240339053844991E+002,2.9253390538449935E+001,0
3.181,3.0257754475436946E+002,2.9427544754369478E+001,0
3.201,3.0275124231527474E+002,2.9601242315274760E+001,0
3.221,3.0292448322116570E+002,2.9774483221165724E+001,0
3.241,3.0309726747204235E+002,2.9947267472042370E+001,0
3.261,3.0326959506790467E+002,3.0119595067904697E+001,0
3.281,3.0344146600875268E+002,3.0291466008752707E+001,0
3.301,3.0361288029458643E+002,3.0462880294586455E+001,0
3.321,3.0378384825204603E+002,3.0633848252046050E+001,0
3.341,3.0395437471723056E+002,3.0804374717230587E+001,0
3.361,3.0412444705684931E+002,3.0974447056849328E+001,0
3.381,3.0429406527090214E+002,3.1144065270902161E+001,0
3.401,3.0446322935938912E+002,3.1313229359389140E+001,0
3.421,3.0463193932231025E+002,3.1481939322310268E+001,0
3.441,3.0480019515966546E+002,3.1650195159665486E+001,0
3.461,3.0496799687145483E+002,3.1817996871454852E+001,0
3.481,3.0513534445767834E+002,3.1985344457678366E+001,0
3.501,3.0530223791833595E+002,3.2152237918335970E+001,0
3.521,3.0546867725342770E+002,3.2318677253427722E+001,0
3.541,3.0548736021453004E+002,3.2337360214530065E+001,1
3.561,3.0546274535368934E+002,3.2312745353689365E+001,1
3.581,3.0543817538523945E+002,3.2288175385239470E+001,1
3.601,3.0541364902026038E+002,3.2263649020260402E+001,1
3.621,3.0538916625875225E+002,3.2239166258752277E+001,1
3.641,3.0536472710071496E+002,3.2214727100714981E+001,1
3.661,3.0534033154614849E+002,3.2190331546148514E+001,1
3.681,3.0531597959505297E+002,3.2165979595052988E+001,1
3.701,3.0529169169328674E+002,3.2141691693286759E+001,1
3.721,3.0526746092930904E+002,3.2117460929309061E+001,1
3.741,3.0524327633198271E+002,3.2093276331982736E+001,1
3.761,3.0521913790130782E+002,3.2069137901307840E+001,1
3.781,3.0519504563728430E+002,3.2045045637284318E+001,1
3.801,3.0517099953991215E+002,3.2020999539912168E+001,1
3.821,3.0514699960919143E+002,3.1996999609191448E+001,1
3.841,3.0512304584512214E+002,3.1973045845122158E+001,1
3.861,3.0509913824770416E+002,3.1949138247704184E+001,1
3.881,3.0507527681693767E+002,3.1925276816937696E+001,1
3.901,3.0508598943680147E+002,3.1935989436801492E+001,0
3.921,3.0525286431139125E+002,3.2102864311391272E+001,0
3.941,3.0541920538288150E+002,3.2269205382881523E+001,0
3.961,3.0558514583292083E+002,3.2435145832920853E+001,0
3.981,3.0575068566150929E+002,3.2600685661509317E+001,0
4.001,3.0591580832745205E+002,3.2765808327452078E+001,0
4.021,3.0608040248802746E+002,3.2930402488027482E+001,0
4.041,3.0624456922460053E+002,3.3094569224600548E+001,0
4.061,3.0640830853717137E+002,3.3258308537171388E+001,0
4.081,3.0657162042573992E+002,3.3421620425739945E+001,0
4.101,3.0673450489030620E+002,3.3584504890306221E+001,0
4.121,3.0689696193087019E+002,3.3746961930870214E+001,0
4.141,3.0705899154743190E+002,3.3908991547431924E+001,0
4.161,3.0722059373999133E+002,3.4070593739991352E+001,0
4.181,3.0738176850854848E+002,3.4231768508548498E+001,0
4.201,3.0754253742842508E+002,3.4392537428425101E+001,0
4.221,3.0770289571053536E+002,3.4552895710535381E+001,0
4.241,3.0786283006020989E+002,3.4712830060209910E+001,0
4.261,3.0802234047744867E+002,3.4872340477448688E+001,0
4.281,3.0818142696225175E+002,3.5031426962251771E+001,0
4.301,3.0834008951461908E+002,3.5190089514619103E+001,0
4.321,3.0849832813455072E+002,3.5348328134550741E+001,0
4.341,3.0865614282204660E+002,3.5506142822046627E+001,0
4.361,3.0881353357710680E+002,3.5663533577106818E+001,0
4.381,3.0897050039973124E+002,3.5820500399731259E+001,0
4.401,3.0912704328991998E+002,3.5977043289920005E+001,0
4.421,3.0916504292101945E+002,3.6015042921019472E+001,1
4.441,3.0913307820947000E+002,3.5983078209470023E+001,1
4.461,3.0910118860888196E+002,3.5951188608881978E+001,1
4.481,3.0906935555875702E+002,3.5919355558757047E+001,1
4.501,3.0903757905909526E+002,3.5887579059095287E+001,1
4.521,3.0900585910989662E+002,3.5855859109896642E+001,1
4.541,3.0897419571116109E+002,3.5824195711161110E+001,1
4.561,3.0894258886288873E+002,3.5792588862888749E+001,1
4.581,3.0891103856507948E+002,3.5761038565079502E+001,1
4.601,3.0887958436595721E+002,3.5729584365957237E+001,1
4.621,3.0884819039823293E+002,3.5698190398232953E+001,1
4.641,3.0881685635358764E+002,3.5666856353587661E+001,1
4.661,3.0878558223202123E+002,3.5635582232021250E+001,1
4.681,3.0875436803353375E+002,3.5604368033533774E+001,1
4.701,3.0872321375812521E+002,3.5573213758125235E+001,1
4.721,3.0869211940579561E+002,3.5542119405795631E+001,1
4.741,3.0866108497654494E+002,3.5511084976544964E+001,1
