"time","headlight"
4.26,0.0000000000000000E+000
4.28,0.0000000000000000E+000
4.29,0.0000000000000000E+000
4.3,0.0000000000000000E+000
4.32,0.0000000000000000E+000
4.33,0.0000000000000000E+000
4.35,0.0000000000000000E+000
4.36,0.0000000000000000E+000
4.37,0.0000000000000000E+000
4.39,0.0000000000000000E+000
4.4,0.0000000000000000E+000
4.42,0.0000000000000000E+000
4.43,0.0000000000000000E+000
4.44,0.0000000000000000E+000
4.46,0.0000000000000000E+000
4.47,0.0000000000000000E+000
4.49,0.0000000000000000E+000
4.5,0.0000000000000000E+000
4.51,0.0000000000000000E+000
4.53,0.0000000000000000E+000
4.54,0.0000000000000000E+000
4.56,0.0000000000000000E+000
4.57,0.0000000000000000E+000
4.58,0.0000000000000000E+000
4.6,0.0000000000000000E+000
4.61,0.0000000000000000E+000
4.63,0.0000000000000000E+000
4.64,0.0000000000000000E+000
4.65,0.0000000000000000E+000
4.67,0.0000000000000000E+000
4.68,0.0000000000000000E+000
4.7,0.0000000000000000E+000
4.71,0.0000000000000000E+000
4.72,0.0000000000000000E+000
4.74,0.0000000000000000E+000
4.75,0.0000000000000000E+000
4.77,0.0000000000000000E+000
4.78,0.0000000000000000E+000
4.79,0.0000000000000000E+000
4.81,0.0000000000000000E+000
4.82,0.0000000000000000E+000
4.84,0.0000000000000000E+000
4.85,0.0000000000000000E+000
4.86,0.0000000000000000E+000
4.88,0.0000000000000000E+000
4.89,0.0000000000000000E+000
4.91,0.0000000000000000E+000
4.92,0.0000000000000000E+000
4.93,0.0000000000000000E+000
4.95,0.0000000000000000E+000
4.96,0.0000000000000000E+000
4.98,0.0000000000000000E+000
4.99,0.0000000000000000E+000
5,0.0000000000000000E+000
5.02,0.0000000000000000E+000
5.03,0.0000000000000000E+000
5.05,0.0000000000000000E+000
5.06,0.0000000000000000E+000
5.07,0.0000000000000000E+000
5.09,0.0000000000000000E+000
5.1,0.0000000000000000E+000
5.12,0.0000000000000000E+000
5.13,0.0000000000000000E+000
5.14,0.0000000000000000E+000
5.16,0.0000000000000000E+000
5.17,0.0000000000000000E+000
5.19,0.0000000000000000E+000
5.2,0.0000000000000000E+000
5.21,0.0000000000000000E+000
5.23,0.0000000000000000E+000
5.24,0.0000000000000000E+000
5.26,0.0000000000000000E+000
5.27,0.0000000000000000E+000
5.28,0.0000000000000000E+000
5.3,0.0000000000000000E+000
5.31,0.0000000000000000E+000
5.33,0.0000000000000000E+000
5.34,0.0000000000000000E+000
5.35,0.0000000000000000E+000
5.37,0.0000000000000000E+000
5.38,0.0000000000000000E+000
5.4,0.0000000000000000E+000
5.41,0.0000000000000000E+000
5.42,0.0000000000000000E+000
5.44,0.0000000000000000E+000
5.45,0.0000000000000000E+000
5.47,0.0000000000000000E+000
5.48,0.0000000000000000E+000
5.49,0.0000000000000000E+000
5.51,0.0000000000000000E+000
5.52,0.0000000000000000E+000
5.54,0.0000000000000000E+000
5.55,0.0000000000000000E+000
5.56,0.0000000000000000E+000
5.58,0.0000000000000000E+000
5.59,0.0000000000000000E+000
5.61,0.0000000000000000E+000
5.62,0.0000000000000000E+000
5.63,0.0000000000000000E+000
5.65,0.0000000000000000E+000
5.66,1.0000000000000000E+000
5.68,1.0000000000000000E+000
5.69,1.0000000000000000E+000
5.7,1.0000000000000000E+000
5.72,1.0000000000000000E+000
5.73,1.0000000000000000E+000
5.75,1.0000000000000000E+000
5.76,1.0000000000000000E+000
5.77,1.0000000000000000E+000
5.79,1.0000000000000000E+000
5.8,1.0000000000000000E+000
5.82,1.0000000000000000E+000
5.83,1.0000000000000000E+000
5.84,1.0000000000000000E+000
5.86,1.0000000000000000E+000
5.87,1.0000000000000000E+000
5.89,1.0000000000000000E+000
5.9,1.0000000000000000E+000
5.91,1.0000000000000000E+000
5.93,1.0000000000000000E+000
5.94,1.0000000000000000E+000
5.96,1.0000000000000000E+000
5.97,1.0000000000000000E+000
5.98,1.0000000000000000E+000
6,1.0000000000000000E+000
6.01,1.0000000000000000E+000
6.03,1.0000000000000000E+000
6.04,1.0000000000000000E+000
6.05,1.0000000000000000E+000
6.07,1.0000000000000000E+000
6.08,1.0000000000000000E+000
6.1,1.0000000000000000E+000
6.11,1.0000000000000000E+000
6.12,1.0000000000000000E+000
6.14,1.0000000000000000E+000
6.15,1.0000000000000000E+000
6.17,1.0000000000000000E+000
6.18,1.0000000000000000E+000
6.19,1.0000000000000000E+000
6.21,1.0000000000000000E+000
6.22,1.0000000000000000E+000
6.24,1.0000000000000000E+000
6.25,1.0000000000000000E+000
6.26,1.0000000000000000E+000
6.28,1.0000000000000000E+000
6.29,1.0000000000000000E+000
6.31,1.0000000000000000E+000
6.32,1.0000000000000000E+000
6.33,1.0000000000000000E+000
6.35,1.0000000000000000E+000
6.36,1.0000000000000000E+000
6.38,1.0000000000000000E+000
6.39,1.0000000000000000E+000
6.4,1.0000000000000000E+000
6.42,1.0000000000000000E+000
6.43,1.0000000000000000E+000
6.45,1.0000000000000000E+000
6.46,1.0000000000000000E+000
6.47,1.0000000000000000E+000
6.49,1.0000000000000000E+000
6.5,1.0000000000000000E+000
6.52,1.0000000000000000E+000
6.53,1.0000000000000000E+000
6.54,1.0000000000000000E+000
6.56,1.0000000000000000E+000
6.57,1.0000000000000000E+000
6.59,1.0000000000000000E+000
6.6,1.0000000000000000E+000
6.61,1.0000000000000000E+000
6.63,1.0000000000000000E+000
6.64,1.0000000000000000E+000
6.66,1.0000000000000000E+000
6.67,1.0000000000000000E+000
6.68,1.0000000000000000E+000
6.7,1.0000000000000000E+000
6.71,1.0000000000000000E+000
6.73,1.0000000000000000E+000
6.74,1.0000000000000000E+000
6.75,1.0000000000000000E+000
6.77,1.0000000000000000E+000
6.78,1.0000000000000000E+000
6.8,1.0000000000000000E+000
6.81,1.0000000000000000E+000
6.82,1.0000000000000000E+000
6.84,1.0000000000000000E+000
6.85,1.0000000000000000E+000
6.87,1.0000000000000000E+000
6.88,1.0000000000000000E+000
6.89,1.0000000000000000E+000
6.91,1.0000000000000000E+000
6.92,1.0000000000000000E+000
6.94,1.0000000000000000E+000
6.95,1.0000000000000000E+000
6.96,1.0000000000000000E+000
6.98,1.0000000000000000E+000
6.99,1.0000000000000000E+000
7,1.0000000000000000E+000
