"time","Var_disp"
3.175,-1.0281259684163935E-005
3.176,-9.7041702653566375E-006
3.177,-9.1279915317432625E-006
3.178,-8.6383701631831400E-006
3.179,-8.3201865227477967E-006
3.18,-8.2575425572883887E-006
3.181,-8.5337397386364700E-006
3.182,-9.2312584740739112E-006
3.183,-1.0431739643435023E-005
3.184,-1.2214319374037608E-005
3.185,-1.4527557983146089E-005
3.186,-1.7091238201261127E-005
3.187,-1.9588873678921814E-005
3.188,-2.1687855572549708E-005
3.189,-2.3038301854461096E-005
3.19,-2.3271665808288766E-005
3.191,-2.1999158416941000E-005
3.192,-1.8809878588266216E-005
3.193,-1.3268637708452324E-005
3.194,-4.9133304879100947E-006
3.195,6.6996995874424314E-006
3.196,2.1853223523327081E-005
3.197,4.0795925819736567E-005
3.198,6.3785292041429464E-005
3.199,9.1087940598311157E-005
3.2,1.2298055969062194E-004
3.201,1.5975027354675486E-004
3.202,2.0169584988172229E-004
3.203,2.4912812175270638E-004
3.204,3.0236514322756758E-004
3.205,3.6151389404281975E-004
3.206,4.2641189488501485E-004
3.207,4.9688383863499830E-004
3.208,5.7275929678957116E-004
3.209,6.5387164697638944E-004
3.21,7.4005808585164701E-004
3.211,8.3115981407155815E-004
3.212,9.2702081269269154E-004
3.213,1.0274887774273100E-003
3.214,1.1324174582074686E-003
3.215,1.2417261565031978E-003
3.216,1.3553859705626170E-003
3.217,1.4733707328253853E-003
3.218,1.5956539983859042E-003
3.219,1.7222105234591112E-003
3.22,1.8530146856936547E-003
3.221,1.9880420728259907E-003
3.222,2.1272677954913277E-003
3.223,2.2706681850531707E-003
3.224,2.4182188035092311E-003
3.225,2.5698758355029439E-003
3.226,2.7255692933914055E-003
3.227,2.8852266072713073E-003
3.228,3.0487765678222090E-003
3.229,3.2161472462596263E-003
3.23,3.3872680311035630E-003
3.231,3.5620674558688448E-003
3.232,3.7404753381737876E-003
3.233,3.9224205185682814E-003
3.234,4.1078331607518059E-003
3.235,4.2966624697609035E-003
3.236,4.4889078181702402E-003
3.237,4.6845748000027276E-003
3.238,4.8836704084624927E-003
3.239,5.0862005420950762E-003
3.24,5.2921725375572048E-003
3.241,5.5015929243822370E-003
3.242,5.7144683649803518E-003
3.243,5.9308066932062253E-003
3.244,6.1506145265725065E-003
3.245,6.3738730833571289E-003
3.246,6.6004518242488430E-003
3.247,6.8301939810185841E-003
3.248,7.0629421202238474E-003
3.249,7.2985410026759068E-003
3.25,7.5368345689561522E-003
3.251,7.7776688986345155E-003
3.252,8.0208891493546153E-003
3.253,8.2663426050501032E-003
3.254,8.5138755740405969E-003
3.255,8.7633478019315536E-003
3.256,9.0147568502814135E-003
3.257,9.2681967760849249E-003
3.258,9.5237644930616927E-003
3.259,9.7815592949214158E-003
3.26,1.0041684159316611E-002
3.261,1.0304242929056517E-002
3.262,1.0569343692347632E-002
3.263,1.0837095511748274E-002
3.264,1.1107611878880763E-002
3.265,1.1381004109643267E-002
3.266,1.1657251014481229E-002
3.267,1.1936147927738339E-002
3.268,1.2217480482427878E-002
3.269,1.2501033857275412E-002
3.27,1.2786596326755828E-002
3.271,1.3073955642439850E-002
3.272,1.3362902675779220E-002
3.273,1.3653228249306482E-002
3.274,1.3944724539965092E-002
3.275,1.4237186550995262E-002
3.276,1.4530468953309117E-002
3.277,1.4824626900181936E-002
3.278,1.5119756303339837E-002
3.279,1.5415957426480387E-002
3.28,1.5713331160417621E-002
3.281,1.6011982832529137E-002
3.282,1.6312018461322020E-002
3.283,1.6613548605869166E-002
3.284,1.6916684595763676E-002
3.285,1.7221542427495407E-002
3.286,1.7528217902159859E-002
3.287,1.7836637135907440E-002
3.288,1.8146638845499941E-002
3.289,1.8458062752516380E-002
3.29,1.8770746786121006E-002
3.291,1.9084528616453822E-002
3.292,1.9399247232476324E-002
3.293,1.9714739520691693E-002
3.294,2.0030844356932809E-002
3.295,2.0347398683350337E-002
3.296,2.0664245031721706E-002
