"time","level","level2","level3"
9.25,2.7250020980834961E+001,2.7250020980834961E+001,0.0000000000000000E+000
9.37,2.7750019073486328E+001,2.7750019073486328E+001,0.0000000000000000E+000
9.49,2.8083349227905273E+001,2.8083349227905273E+001,0.0000000000000000E+000
9.61,2.8583347320556641E+001,2.8583347320556641E+001,0.0000000000000000E+000
9.73,2.8916677474975586E+001,2.8916677474975586E+001,0.0000000000000000E+000
9.85,2.9250009536743164E+001,2.9250009536743164E+001,0.0000000000000000E+000
9.97,2.9750005722045898E+001,2.9750005722045898E+001,0.0000000000000000E+000
10.09,3.0083337783813477E+001,3.0083337783813477E+001,0.0000000000000000E+000
10.21,3.0583333969116211E+001,3.0583333969116211E+001,0.0000000000000000E+000
10.33,3.0916666030883789E+001,3.0916666030883789E+001,0.0000000000000000E+000
10.45,3.1249996185302734E+001,3.1249996185302734E+001,0.0000000000000000E+000
10.57,3.1749994277954102E+001,3.1749994277954102E+001,0.0000000000000000E+000
10.69,3.2083324432373047E+001,3.2083324432373047E+001,0.0000000000000000E+000
10.81,3.2583320617675781E+001,3.2583320617675781E+001,0.0000000000000000E+000
10.93,3.2916652679443359E+001,3.2916652679443359E+001,0.0000000000000000E+000
11.05,3.3249984741210938E+001,3.3249984741210938E+001,0.0000000000000000E+000
11.17,3.3749980926513672E+001,3.3749980926513672E+001,0.0000000000000000E+000
11.29,3.4083312988281250E+001,3.4083312988281250E+001,0.0000000000000000E+000
11.41,3.4583309173583984E+001,3.4583309173583984E+001,0.0000000000000000E+000
11.53,3.4916641235351562E+001,3.4916641235351562E+001,0.0000000000000000E+000
11.65,3.5249973297119141E+001,3.5249973297119141E+001,0.0000000000000000E+000
11.77,3.5749969482421875E+001,3.5749969482421875E+001,0.0000000000000000E+000
11.89,3.6083301544189453E+001,3.6083301544189453E+001,0.0000000000000000E+000
12.01,3.6583297729492188E+001,3.6583297729492188E+001,0.0000000000000000E+000
12.13,3.6916629791259766E+001,3.6916629791259766E+001,0.0000000000000000E+000
12.25,3.7249961853027344E+001,3.7249961853027344E+001,0.0000000000000000E+000
