"time","PistonPosition","ExtendPressure","RetractPressure","ExtendFlow","RetractFlow"
1.129,3.7227558161566376E-001,3.6882159893826795E+001,5.7056579931782750E+001,1.0220444872630498E+001,-9.6246024263436318E+000
1.139,4.4245573050408948E-001,3.6857751013291129E+001,5.5895191010397859E+001,1.0655573917497739E+001,-9.9288944928170277E+000
1.149,5.1682607679143422E-001,3.6778552237331184E+001,5.4743873899237315E+001,1.1038490648327047E+001,-1.0171733632572735E+001
1.159,5.9488705420769783E-001,3.6650953544070575E+001,5.3607869092389450E+001,1.1374897405696258E+001,-1.0360646995280643E+001
1.169,6.7617462151570051E-001,3.6481398480444462E+001,5.2491215897954511E+001,1.1670148968347815E+001,-1.0502743862815620E+001
1.179,7.6026432583835646E-001,3.6276135262716636E+001,5.1396955005072542E+001,1.1929187242425618E+001,-1.0604588652848300E+001
1.189,8.4677278626445751E-001,3.6041053390248500E+001,5.0327305969032750E+001,1.2156513531238424E+001,-1.0672135943216205E+001
1.199,9.3535734949906713E-001,3.5781585319848737E+001,4.9283820391650359E+001,1.2356185752546429E+001,-1.0710710098345189E+001
1.2085,1.0211588074549049E+000,3.5516994839827255E+001,4.8317671780127682E+001,1.2523568701582224E+001,-1.0724810973093065E+001
1.2185,1.1129523097459038E+000,3.5223663482083673E+001,4.7327731276878161E+001,1.2679378756596829E+001,-1.0719881958604965E+001
1.2285,1.2060297048382644E+000,3.4918978469516439E+001,4.6365799512251520E+001,1.2817091754584839E+001,-1.0698202573970757E+001
1.2385,1.3001875551044795E+000,3.4606360269282440E+001,4.5431877696641635E+001,1.2939219217354252E+001,-1.0662868265121411E+001
1.2485,1.3952503363839523E+000,3.4288770192167760E+001,4.4525765237751450E+001,1.3047955823971563E+001,-1.0616526155354130E+001
1.2585,1.4910674032033713E+000,3.3968748962032137E+001,4.3647110149344364E+001,1.3145210942151554E+001,-1.0561426066603943E+001
1.2685,1.5875101020888209E+000,3.3648457477543204E+001,4.2795449464150572E+001,1.3232638876616669E+001,-1.0499469283170688E+001
1.2785,1.6844690813468743E+000,3.3329717557258412E+001,4.1970241310645527E+001,1.3311667337726654E+001,-1.0432253936310273E+001
1.2885,1.7818518232894249E+000,3.3014051206472018E+001,4.1170890102057754E+001,1.3383523853644689E+001,-1.0361116413382076E+001
1.2985,1.8795804089327248E+000,3.2702717494674829E+001,4.0396766084558706E+001,1.3449259999760576E+001,-1.0287168561422178E+001
1.3085,1.9775895141568289E+000,3.2396746529932848E+001,3.9647220305891409E+001,1.3509773421483485E+001,-1.0211330701862629E+001
1.3185,2.0758246289352362E+000,3.2096970297191675E+001,3.8921595898568569E+001,1.3565827695458502E+001,-1.0134360632185835E+001
1.3285,2.1742404865758740E+000,3.1804050320501016E+001,3.8219236424122784E+001,1.3618070119721127E+001,-1.0056878886040543E+001
1.3385,2.2727996872152927E+000,3.1518502237233889E+001,3.7539491896369512E+001,1.3667047552129779E+001,-9.9793905743395577E+000
1.3485,2.3714714985163576E+000,3.1240717453143574E+001,3.6881722991130843E+001,1.3713220433365642E+001,-9.9023041500021840E+000
1.3585,2.4702308162129079E+000,3.0970982093942776E+001,3.6245303855824524E+001,1.3756975139216076E+001,-9.8259474385158079E+000
1.3685,2.5690572675077519E+000,3.0709493492046157E+001,3.5629623853022274E+001,1.3798634809171075E+001,-9.7505812627745829E+000
1.3785,2.6679344411303600E+000,3.0456374453640656E+001,3.5034088505761382E+001,1.3838468796319134E+001,-9.6764109689861879E+000
1.3885,2.7668492289281068E+000,3.0211685546801128E+001,3.4458119857352635E+001,1.3876700878433923E+001,-9.6035961345133458E+000
1.3985,2.8657912650779274E+000,2.9975435639907293E+001,3.3901156413081608E+001,1.3913516362977154E+001,-9.5322587108675698E+000
1.4085,2.9647524502772353E+000,2.9747590903973286E+001,3.3362652794107944E+001,1.3949068210247162E+001,-9.4624898273841485E+000
1.4185,3.0637265495440493E+000,2.9528082474664451E+001,3.2842079203747659E+001,1.3983482289642694E+001,-9.3943554544614898E+000
1.4285,3.1627088534862948E+000,2.9316812951125865E+001,3.2338920782045967E+001,1.4016861874412735E+001,-9.3279011002969536E+000
1.4385,3.2616958940632963E+000,2.9113661890209734E+001,3.1852676905136960E+001,1.4049291470648033E+001,-9.2631556921493363E+000
1.4485,3.3606852069431654E+000,2.8918490436869000E+001,3.1382860470496666E+001,1.4080840066872540E+001,-9.2001347724542768E+000
1.4585,3.4596751335503444E+000,2.8731145214751894E+001,3.0928997197111102E+001,1.4111563881584637E+001,-9.1388431216271133E+000
1.4685,3.5586646567953713E+000,2.8551461585594563E+001,3.0490624960192360E+001,1.4141508677592746E+001,-9.0792769030323122E+000
1.4785,3.6576532652851901E+000,2.8379266371957563E+001,3.0067293172872834E+001,1.4170711704063889E+001,-9.0214254112525119E+000
1.4885,3.7566408415305448E+000,2.8214380125202428E+001,2.9658562221863111E+001,1.4199203319896014E+001,-8.9652724922939111E+000
1.4985,3.8556275703024729E+000,2.8056619009318375E+001,2.9264002960018448E+001,1.4227008345352960E+001,-8.9107976935482238E+000
1.5085,3.9546138638485315E+000,2.7905796361216645E+001,2.8883196255830359E+001,1.4254147182859276E+001,-8.8579771920195594E+000
1.5185,4.0536003011678874E+000,2.7761723979321076E+001,2.8515732597802696E+001,1.4280636742423352E+001,-8.8067845413486960E+000
1.5285,4.1525875789692233E+000,2.7624213184598872E+001,2.8161211750291560E+001,1.4306491202313225E+001,-8.7571912713679936E+000
1.5385,4.2515764723031939E+000,2.7493075691491175E+001,2.7819242456526904E+001,1.4331722631313450E+001,-8.7091673681483286E+000
1.5485,4.3505678031780750E+000,2.7368124320418001E+001,2.7489442184063360E+001,1.4356341495105298E+001,-8.6626816576212899E+000
1.5585,4.4495624157392353E+000,2.7249173578547321E+001,2.7171436907728339E+001,1.4380357065993245E+001,-8.6177021117529851E+000
1.5685,4.5485611568253841E+000,2.7136040131241202E+001,2.6864860925165726E+001,1.4403777752305952E+001,-8.5741960928017686E+000
1.5785,4.6475648609124116E+000,2.7028543182938076E+001,2.6569356700251852E+001,1.4426611361288638E+001,-8.5321305483162426E+000
1.5885,4.7465743386232955E+000,2.6926504783120304E+001,2.6284574729937258E+001,1.4448865307134469E+001,-8.4914721671363615E+000
1.5985,4.8455903681242187E+000,2.6829750070380072E+001,2.6010173430406866E+001,1.4470546773937841E+001,-8.4521875046775659E+000
1.608,4.9396623387118970E+000,2.6742570793037906E+001,2.5758803208549498E+001,1.4490620357573246E+001,-8.4161089908209554E+000
1.618,5.0386932317282040E+000,2.6655628890256249E+001,2.5503691277675806E+001,1.4511205846070954E+001,-8.3794068371644332E+000
1.628,5.1377327310713587E+000,2.6573474494998575E+001,2.5257997594898800E+001,1.4531239784023496E+001,-8.3439798520552895E+000
1.638,5.2367814415465030E+000,2.6495946461738491E+001,2.5021411000853391E+001,1.4550729415735255E+001,-8.3097948917082114E+000
1.648,5.3358399193442185E+000,2.6422887341261422E+001,2.4793627861868824E+001,1.4569682135584424E+001,-8.2768190326433242E+000
1.658,5.4349086719191479E+000,2.6354143424932612E+001,2.4574352006760531E+001,1.4588105512033501E+001,-8.2450196131410287E+000
1.668,5.5339881584395592E+000,2.6289564772280283E+001,2.4363294664602186E+001,1.4606007301492406E+001,-8.2143642694360466E+000
