"time","Piston.body.r_0[1]","Piston.body.r_0[2]","Piston.body.r_0[3]","Inertia.w"
0.181,1.4999999999999999E-001,3.9807588760591994E-001,0.0000000000000000E+000,1.4816767706622164E+002
0.182,1.4999999999999999E-001,3.9303634259766096E-001,0.0000000000000000E+000,1.4428154455919767E+002
0.183,1.4999999999999999E-001,3.8533287053162579E-001,0.0000000000000000E+000,1.3971585952001959E+002
0.184,1.4999999999999999E-001,3.7548416447788779E-001,0.0000000000000000E+000,1.3565771832623159E+002
0.185,1.4999999999999999E-001,3.6395110508497108E-001,0.0000000000000000E+000,1.3273563570890306E+002
0.186,1.4999999999999999E-001,3.5111077156843284E-001,0.0000000000000000E+000,1.3120471491520763E+002
0.187,1.4999999999999999E-001,3.3727330697931646E-001,0.0000000000000000E+000,1.3115153587397748E+002
0.188,1.4999999999999999E-001,3.2270985568560340E-001,0.0000000000000000E+000,1.3260933544062064E+002
0.189,1.4999999999999999E-001,3.0767990388810956E-001,0.0000000000000000E+000,1.3560222701839103E+002
0.19,1.4999999999999999E-001,2.9245504200462336E-001,0.0000000000000000E+000,1.4014416357338655E+002
0.191,1.4999999999999999E-001,2.7733773712410076E-001,0.0000000000000000E+000,1.4620221118144542E+002
0.192,1.4999999999999999E-001,2.6267207687616001E-001,0.0000000000000000E+000,1.5362669864474881E+002
0.193,1.4999999999999999E-001,2.4884057687333669E-001,0.0000000000000000E+000,1.6206480511151057E+002
0.194,1.4999999999999999E-001,2.3623988543306831E-001,0.0000000000000000E+000,1.7091218846841866E+002
0.195,1.4999999999999999E-001,2.2523405301079952E-001,0.0000000000000000E+000,1.7938499727291102E+002
0.196,1.4999999999999999E-001,2.1609992702268915E-001,0.0000000000000000E+000,1.8673363757160598E+002
0.197,1.4999999999999999E-001,2.0899371937207029E-001,0.0000000000000000E+000,1.9247250228587376E+002
0.198,1.4999999999999999E-001,2.0395988169552634E-001,0.0000000000000000E+000,1.9645160714465493E+002
0.199,1.4999999999999999E-001,2.0097502403074355E-001,0.0000000000000000E+000,1.9874546320197931E+002
0.2,1.4999999999999999E-001,2.0000011556504527E-001,0.0000000000000000E+000,1.9948077227043564E+002
0.201,1.4999999999999999E-001,2.0101805241886411E-001,0.0000000000000000E+000,1.9871479197797939E+002
0.202,1.4999999999999999E-001,2.0404689396625936E-001,0.0000000000000000E+000,1.9641595729585376E+002
0.203,1.4999999999999999E-001,2.0912803625628318E-001,0.0000000000000000E+000,1.9252173453397978E+002
0.204,1.4999999999999999E-001,2.1629242467932336E-001,0.0000000000000000E+000,1.8704557458684542E+002
0.205,1.4999999999999999E-001,2.2551384930159360E-001,0.0000000000000000E+000,1.8021604883689611E+002
0.206,1.4999999999999999E-001,2.3666887606549161E-001,0.0000000000000000E+000,1.7255547731543214E+002
0.207,1.4999999999999999E-001,2.4952576612097552E-001,0.0000000000000000E+000,1.6480215283581171E+002
0.208,1.4999999999999999E-001,2.6376852094360537E-001,0.0000000000000000E+000,1.5770678179968886E+002
0.209,1.4999999999999999E-001,2.7903903327067664E-001,0.0000000000000000E+000,1.5185394926224254E+002
0.21,1.4999999999999999E-001,2.9497366164031835E-001,0.0000000000000000E+000,1.4761289370464075E+002
0.211,1.4999999999999999E-001,3.1122159197247945E-001,0.0000000000000000E+000,1.4519546600540096E+002
0.212,1.4999999999999999E-001,3.2744418751153437E-001,0.0000000000000000E+000,1.4474669766028930E+002
0.213,1.4999999999999999E-001,3.4329796246769773E-001,0.0000000000000000E+000,1.4641505669682556E+002
0.214,1.4999999999999999E-001,3.5840122838946453E-001,0.0000000000000000E+000,1.5037334257051194E+002
0.215,1.4999999999999999E-001,3.7228073031468956E-001,0.0000000000000000E+000,1.5674431149526743E+002
0.216,1.4999999999999999E-001,3.8429583709110982E-001,0.0000000000000000E+000,1.6530928922084416E+002
0.217,1.4999999999999999E-001,3.9356275872484670E-001,0.0000000000000000E+000,1.7480252308504521E+002
0.218,1.4999999999999999E-001,3.9899207644948809E-001,0.0000000000000000E+000,1.8205248352784480E+002
0.219,1.4999999999999999E-001,3.9966199394115587E-001,0.0000000000000000E+000,1.8313336462893923E+002
0.22,1.4999999999999999E-001,3.9542242489436596E-001,0.0000000000000000E+000,1.7809982192660942E+002
0.221,1.4999999999999999E-001,3.8696300831559360E-001,0.0000000000000000E+000,1.7025637739575561E+002
0.222,1.4999999999999999E-001,3.7529198146323883E-001,0.0000000000000000E+000,1.6284432812900369E+002
