"time","revolute1.w","revolute2.w"
0.7621,-3.0459525680636652E+000,6.5964430904458338E-001
0.7681,-2.8630329125998362E+000,3.3905447087846685E-001
0.7741,-2.6819446330145014E+000,2.8938075598122254E-002
0.7801,-2.5025327829707460E+000,-2.7145665513472422E-001
0.7861,-2.3246454966086181E+000,-5.6290493170746303E-001
0.7921,-2.1481343639638424E+000,-8.4619669543689402E-001
0.7981,-1.9728542694877040E+000,-1.1221302234407664E+000
0.8041,-1.7986630110152693E+000,-1.3915070852614808E+000
0.8101,-1.6254209526549876E+000,-1.6551276784327560E+000
0.8161,-1.4529909247182085E+000,-1.9137866820733966E+000
0.8221,-1.2812385621627329E+000,-2.1682678241337494E+000
0.8281,-1.1100332661551044E+000,-2.4193373707455064E+000
0.8341,-9.3924997770537588E-001,-2.6677357257356182E+000
0.8401,-7.6877196407319415E-001,-2.9141664860138521E+000
0.8461,-5.9849483287542882E-001,-3.1592822486797214E+000
0.8521,-4.2833199850387177E-001,-3.4036664290834255E+000
0.8581,-2.5822182015183942E-001,-3.6478103566186850E+000
0.8641,-8.8136595234614312E-002,-3.8920850119760693E+000
0.8701,8.1906494894464901E-002,-4.1367070191677060E+000
0.8761,2.5183255559351347E-001,-4.3816989898388430E+000
0.8821,4.2149461015984269E-001,-4.6268451308496852E+000
0.8881,5.9065845008767104E-001,-4.8716442567851663E+000
0.8941,7.5898802818151123E-001,-5.1152640378327376E+000
0.9001,9.2603340850996962E-001,-5.3565023871474482E+000
0.9061,1.0912240070714989E+000,-5.5937640735439942E+000
0.9121,1.2538704148052451E+000,-5.8250623696072283E+000
0.9181,1.4131781961545020E+000,-6.0480559392317454E+000
0.9241,1.5682763538738984E+000,-6.2601291923564970E+000
0.9301,1.7182613712196302E+000,-6.4585191612975326E+000
0.9361,1.8622548878000462E+000,-6.6404835616372955E+000
0.9421,1.9994696019106022E+000,-6.8034944461149811E+000
0.9481,2.1292748842565437E+000,-6.9454325796017464E+000
0.9541,2.2512520367678448E+000,-7.0647529156841422E+000
0.9601,2.3652300420135428E+000,-7.1605940496563258E+000
0.9661,2.4712960894990408E+000,-7.2328144977000859E+000
0.9721,2.5697801764522881E+000,-7.2819533172972504E+000
0.9781,2.6612180544513269E+000,-7.3091272134135448E+000
0.9841,2.7463002156735996E+000,-7.3158863999056898E+000
0.9901,2.8258157172570755E+000,-7.3040548268160697E+000
0.9961,2.9005986015754401E+000,-7.2755774259655128E+000
1.0021,2.9714822834460439E+000,-7.2323901202710630E+000
1.0081,3.0392646598233775E+000,-7.1763206749862265E+000
1.0141,3.1046843131100457E+000,-7.1090215542752571E+000
1.0201,3.1684063702378129E+000,-7.0319308613966980E+000
1.0261,3.2310164099084200E+000,-6.9462565426510006E+000
1.0321,3.2930200125463585E+000,-6.8529771044056469E+000
1.0381,3.3548460152939503E+000,-6.7528532892462474E+000
1.0441,3.4168518485771848E+000,-6.6464461090300473E+000
1.0501,3.4793297386211446E+000,-6.5341378225269313E+000
