"Time [s]","clutch1.phi_rel [rad]","clutch1.w_rel [rad/s]","clutch2.phi_rel [rad]","clutch2.w_rel [rad/s]","clutch3.phi_rel [rad]","clutch3.w_rel [rad/s]","freqHz [Hz]","J1_phi [rad]","J1.w [rad/s]","T2 [s]"
0.0783100000000001,-0.740367072286088,-9.00175611892918,-0.0306383399338651,-0.781866998619479,0,0,0.2,0.771005412219953,9.78362311754866,0.4
0.0793100000000001,-0.749361964304782,-8.9880279184432,-0.0314251828235298,-0.791818780709865,0,0,0.2,0.780787147128312,9.77984669915306,0.4
0.0803100000000001,-0.758343004334965,-8.97405214190758,-0.0322219768750933,-0.801769322417251,0,0,0.2,0.790564981210059,9.77582146432483,0.4
0.0813100000000001,-0.767309941892515,-8.95982297318634,-0.0330287208403161,-0.811718608028373,0,0,0.2,0.800338662732831,9.77154158121471,0.4
0.0823100000000001,-0.77626252080345,-8.94533484868624,-0.0338454134552462,-0.82166662183195,0,0,0.2,0.810107934258696,9.76700147051819,0.4
0.0833100000000001,-0.78520047945923,-8.93058246287836,-0.0346720534402216,-0.831613348118712,0,0,0.2,0.819872532899452,9.76219581099708,0.4
0.0843100000000001,-0.79412355107745,-8.91556077356498,-0.0355086394998716,-0.841558771181419,0,0,0.2,0.829632190577321,9.7571195447464,0.4
0.0853100000000001,-0.803031463967673,-8.90026500688653,-0.0363551703231198,-0.851502875314892,0,0,0.2,0.839386634290793,9.75176788220142,0.4
0.0863100000000001,-0.811923941802147,-8.88469066206382,-0.0372116445831852,-0.861445644816032,0,0,0.2,0.849135586385332,9.74613630687985,0.4
0.0873100000000001,-0.820800703891112,-8.86883351587068,-0.0380780609375852,-0.871387063983849,0,0,0.2,0.858878764828697,9.74022057985453,0.4
0.0883100000000001,-0.829661465462461,-8.85268962683269,-0.0389544180281368,-0.881327117119486,0,0,0.2,0.868615883490598,9.73401674395218,0.4
0.0893100000000001,-0.838505937945449,-8.83625533914793,-0.0398407144809597,-0.891265788526242,0,0,0.2,0.878346652426409,9.72752112767417,0.4
