"time","q@INJ01","volume@INJ01","maxTimeStep","tolerance","fixedh","errCtrl","writeLevel","extraDisconPrints","runStats","runType","theSolverType","fixedorder"
0.00865,-9.8153713708065841E-09,-1.4179396555549348E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00868,-9.8052724477805792E-09,-1.4228450594236264E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00871,-9.7869323565846250E-09,-1.4277435208264876E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00874,-9.7548686251685962E-09,-1.4326296462336616E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00877,-9.7008889736322181E-09,-1.4374946442648386E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00881,-9.5740518081136974E-09,-1.4439237978038556E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00884,-9.4158772512013602E-09,-1.4486739283065503E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00887,-9.1787481122171613E-09,-1.4533262722633732E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0089,-8.8347142591047788E-09,-1.4578345420265066E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00893,-8.3522776664634462E-09,-1.4621375536445356E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00897,-7.4391981231060239E-09,-1.4674196690095901E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.009,-6.5184291436273678E-09,-1.4709179579685869E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00903,-5.3783403152661513E-09,-1.4739013336794373E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00906,-4.0170599087234589E-09,-1.4762591363475772E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00909,-2.4440163721388547E-09,-1.4778828790988241E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00913,-4.6709268825466284E-11,-1.4787310553173776E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00916,1.9530592233709390E-09,-1.4782604723946972E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00919,4.1118752514375710E-09,-1.4767506129677267E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00922,6.4275458178674144E-09,-1.4741223237048411E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00925,8.9082841456195938E-09,-1.4702951632270501E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00929,1.2502250572624776E-08,-1.4631774698839487E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00932,1.5440401523243708E-08,-1.4562009678804336E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00935,1.8608746370433230E-08,-1.4476980766071611E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00938,2.2019821447899555E-08,-1.4375505328865655E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00941,2.5676371462560127E-08,-1.4256358103602752E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00945,3.0919876755384573E-08,-1.4067921329257798E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00948,3.5109343621323205E-08,-1.3902931800185980E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00951,3.9502360159924632E-08,-1.3716481844271261E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00954,4.4091984214182052E-08,-1.3507574771878945E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00957,4.8883816960378301E-08,-1.3275219025560857E-12,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00961,-3.1521569327075654E-03,-8.0171297673559029E-10,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00964,6.7464528105201552E-02,1.0829603297187469E-08,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00967,2.6786462272614703E-01,8.8653292745065116E-08,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0097,5.7881821400397937E-01,2.9747084671481632E-07,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00973,9.3212543972405459E-01,6.7425803661521260E-07,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00977,1.4377673631745740E+00,1.4625183576436124E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0098,1.8358506578785061E+00,2.2802921680217903E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00983,2.2358422943133966E+00,3.2988634269306389E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00986,2.5999489909068823E+00,4.5101567897905997E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00989,2.8968636267891834E+00,5.8874500191539051E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00993,3.3889629564741854E+00,7.9481693105267929E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00996,3.7999801328192024E+00,9.7542102194125258E-06,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.00999,3.9860182106944291E+00,1.1709984068821679E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01002,3.9804480526171777E+00,1.3707773061589562E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01005,3.8832725364040184E+00,1.5675031837523318E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01009,3.7956804218557663E+00,1.8227745912503107E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01012,3.8256765564931512E+00,2.0129774363283653E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01015,3.9135765562225520E+00,2.2063277843110676E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01018,4.0087295288384528E+00,2.4044453027979272E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01021,4.0803100129670860E+00,2.6067838678780307E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01025,4.1500899723274500E+00,2.8811648426607295E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01028,4.2135727392908295E+00,3.0901716619926629E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01031,4.2959215711551382E+00,3.3028567117343805E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01034,4.3756012432304603E+00,3.5197269258929032E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01037,4.4180575176545291E+00,3.7397805867278027E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01041,4.3868975686344491E+00,4.0338060223183319E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01044,4.3215820469678157E+00,4.2515627980764410E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01047,4.2708431524698209E+00,4.4662136761714163E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0105,4.2758859036924468E+00,4.6796065258228492E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01053,4.3448750987034295E+00,4.8948992194922332E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01057,4.4798117088659835E+00,5.1890529738443222E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.0106,4.5503126723938436E+00,5.4150214454647849E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01063,4.5599167537381193E+00,5.6430449601035133E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01066,4.5144955377662059E+00,5.8700747922475990E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01069,4.4489372151480744E+00,6.0941525229843198E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01073,4.4009753048146862E+00,6.3887292374123061E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
0.01076,4.4221002238461713E+00,6.6091036359278694E-05,1.0000000000000000E+30,1.0000000000000001E-05,1.0000000000000000E-03,0,0,0,0,8,0,1
