"time","der_p","der_T"
0.416,3.2079970574504802E+002,-3.8446449533532299E+000
0.418,3.3705672994991170E+002,-3.8671616147567107E+000
0.42,3.5352697130650211E+002,-3.8883826342204446E+000
0.422,3.7020291177931392E+002,-3.9083174039387791E+000
0.424,3.8707703338259574E+002,-3.9269753152750546E+000
0.426,4.0414181818024883E+002,-3.9443657587611520E+000
0.428,4.2138974828587311E+002,-3.9604981240981090E+000
0.43,4.3881330586280183E+002,-3.9753818001560481E+000
0.432,4.5640497312400743E+002,-3.9890261749740641E+000
0.434,4.7415723233218631E+002,-4.0014406357608880E+000
0.436,4.9206256579966021E+002,-4.0126345688946010E+000
0.438,5.1011345588841698E+002,-4.0226173599223358E+000
0.44,5.2830238501015322E+002,-4.0313983935609476E+000
0.442,5.4662183562622204E+002,-4.0389870536968990E+000
0.444,5.6506429024752686E+002,-4.0453927233863576E+000
0.446,5.8362223143471181E+002,-4.0506247848552910E+000
0.448,6.0228814179801066E+002,-4.0546926194995461E+000
0.45,6.2105450399733786E+002,-4.0576056078851437E+000
0.452,6.3991380074223639E+002,-4.0593731297475690E+000
0.454,6.5885851479181804E+002,-4.0600045639932585E+000
0.456,6.7788112895475626E+002,-4.0595092886982931E+000
0.458,6.9697412608948912E+002,-4.0578966811094874E+000
0.46,7.1612998910395368E+002,-4.0551761176434669E+000
0.462,7.3534120095568414E+002,-4.0513569738881836E+000
0.464,7.5460024465186052E+002,-4.0464486246017790E+000
0.466,7.7389960324919275E+002,-4.0404604437128882E+000
0.468,7.9323175985402668E+002,-4.0334018043213282E+000
0.47,8.1258919762217488E+002,-4.0252820786975816E+000
0.472,8.3196439975912313E+002,-4.0161106382830969E+000
0.474,8.5134984951992237E+002,-4.0058968536905697E+000
0.476,8.7073803020907371E+002,-3.9946500947034163E+000
0.478,8.9012142518078895E+002,-3.9823797302767030E+000
0.48,9.0949251783866293E+002,-3.9690951285363969E+000
0.482,9.2884379163599442E+002,-3.9548056567802816E+000
0.484,9.4816773007545248E+002,-3.9395206814774326E+000
0.486,9.6745681670934323E+002,-3.9232495682685067E+000
0.488,9.8670353513944292E+002,-3.9060016819658303E+000
0.49,1.0059003690170925E+003,-3.8877863865537230E+000
0.492,1.0250398020430430E+003,-3.8686130451879110E+000
0.494,1.0441143179676528E+003,-3.8484910201967195E+000
0.496,1.0631164005907847E+003,-3.8274296730798505E+000
0.498,1.0820385337617349E+003,-3.8054383645091465E+000
0.5,1.1008732013793485E+003,-3.7825264543292803E+000
0.502,1.1196128873918385E+003,-3.7587033015568121E+000
0.504,1.1382500757970070E+003,-3.7339782643806840E+000
0.506,1.1567772506421240E+003,-3.7083607001625336E+000
0.508,1.1751868960238171E+003,-3.6818599654361361E+000
0.51,1.1934714960882807E+003,-3.6544854159083533E+000
0.512,1.2116235350311094E+003,-3.6262464064585829E+000
0.514,1.2296354970973962E+003,-3.5971522911390594E+000
0.516,1.2474998665816288E+003,-3.5672124231751390E+000
0.518,1.2652091278277235E+003,-3.5364361549650019E+000
0.52,1.2827557652290325E+003,-3.5048328380799161E+000
0.522,1.3001322632284355E+003,-3.4724118232645682E+000
0.524,1.3173311063180749E+003,-3.4391824604366947E+000
0.526,1.3343447790396099E+003,-3.4051540986874240E+000
0.528,1.3511657659840541E+003,-3.3703360862815455E+000
0.53,1.3677865517918246E+003,-3.3347377706571830E+000
0.532,1.3841996211527849E+003,-3.2983684984259067E+000
0.534,1.4003974588060862E+003,-3.2612376153736209E+000
0.536,1.4163725495404196E+003,-3.2233544664596447E+000
0.538,1.4321173781936968E+003,-3.1847283958174106E+000
0.54,1.4476244296533600E+003,-3.1453687467539275E+000
0.542,1.4628861888560655E+003,-3.1052848617506958E+000
0.544,1.4778951407878781E+003,-3.0644860824634002E+000
0.546,1.4926437704842738E+003,-3.0229817497217750E+000
0.548,1.5071245630300245E+003,-2.9807812035299133E+000
0.55,1.5213300035592495E+003,-2.9378937830665461E+000
0.552,1.5352525772554520E+003,-2.8943288266847431E+000
0.554,1.5488847693514244E+003,-2.8500956719123742E+000
0.556,1.5622190651293324E+003,-2.8052036554518316E+000
0.558,1.5752479499205633E+003,-2.7596621131804970E+000
0.56,1.5879639091059171E+003,-2.7134803801502563E+000
0.562,1.6003594281154603E+003,-2.6666677905885416E+000
0.564,1.6124269924285600E+003,-2.6192336778974656E+000
0.566,1.6241590875739296E+003,-2.5711873746543015E+000
0.568,1.6355481991295756E+003,-2.5225382126117482E+000
