"Time [s]","Inertia.w [rad/s]","Piston.r_0[2] [m]"
0.173425775000033,122.113973596694,0.347877486734415
0.173435775000033,122.133893269952,0.348004327828277
0.173445775000033,122.15394347151,0.348131104814244
0.173455775000033,122.174124272733,0.34825781744624
0.173465775000033,122.194435744729,0.348384465477742
0.173475775000033,122.214877958345,0.348511048661782
0.173485775000033,122.235450984158,0.348637566750941
0.173495775000033,122.256154892473,0.348764019497346
0.173505775000033,122.276989753315,0.348890406652669
0.173515775000033,122.297955636421,0.349016727968124
0.173525775000033,122.319052611239,0.349142983194464
0.173535775000033,122.340280746915,0.349269172081977
0.173545775000033,122.361640112294,0.349395294380486
0.173555775000033,122.383130775907,0.349521349839343
0.173565775000033,122.40475280597,0.349647338207428
0.173575775000033,122.426506270374,0.349773259233148
0.173585775000033,122.44839123668,0.34989911266443
0.173595775000033,122.470407772112,0.350024898248722
0.173605775000033,122.49255594355,0.350150615732987
0.173615775000033,122.514835817525,0.350276264863704
0.173625775000033,122.53724746021,0.350401845386861
0.173635775000033,122.559790937414,0.350527357047957
0.173645775000033,122.582466314575,0.350652799591993
0.173655775000033,122.605273656756,0.350778172763474
0.173665775000033,122.628213028631,0.350903476306406
0.173675775000033,122.651284494485,0.351028709964291
0.173685775000033,122.674488118202,0.351153873480123
0.173695775000033,122.69782396326,0.351278966596391
0.173705775000033,122.721292092726,0.351403989055069
0.173715775000033,122.744892569242,0.351528940597617
0.173725775000033,122.768625455023,0.351653820964979
0.173735775000033,122.792490811848,0.351778629897577
0.173745775000033,122.816488701052,0.351903367135311
0.173755775000033,122.84061918352,0.352028032417553
0.173765775000033,122.864882319675,0.352152625483147
0.173775775000033,122.889278169475,0.352277146070405
0.173785775000033,122.913806792403,0.352401593917103
0.173795775000033,122.938468247458,0.352525968760479
0.173805775000033,122.963262593149,0.352650270337233
0.173815775000033,122.988189887485,0.352774498383515
0.173825775000033,123.013250187969,0.352898652634935
0.173835775000033,123.038443551587,0.353022732826549
0.173845775000033,123.063770034803,0.353146738692859
0.173855775000033,123.089229693545,0.353270669967816
0.173865775000033,123.114822583205,0.353394526384807
0.173875775000033,123.14054875862,0.353518307676661
0.173885775000033,123.166408274074,0.353642013575639
0.173895775000033,123.19240118328,0.353765643813438
0.173905775000033,123.218527539377,0.353889198121179
0.173915775000033,123.244787394919,0.354012676229413
0.173925775000033,123.271180801868,0.354136077868112
0.173935775000033,123.297707811579,0.35425940276667
0.173945775000033,123.324368474798,0.354382650653895
0.173955775000033,123.351162841651,0.354505821258011
0.173965775000033,123.37809096163,0.354628914306652
0.173975775000033,123.405152883589,0.354751929526859
0.173985775000033,123.432348655731,0.354874866645079
0.173995775000033,123.459678325603,0.354997725387158
0.174005775000033,123.487141940081,0.355120505478345
0.174015775000033,123.514739545361,0.355243206643278
0.174025775000033,123.542471186953,0.355365828605993
0.174035775000033,123.570336909668,0.35548837108991
0.174045775000033,123.598336757609,0.35561083381784
0.174055775000033,123.626470774158,0.355733216511972
0.174065775000033,123.654739001973,0.355855518893876
0.174075775000033,123.683141482968,0.355977740684501
0.174085775000033,123.711678258311,0.356099881604167
0.174095775000033,123.740349368409,0.356221941372563
0.174105775000033,123.769154852897,0.356343919708748
0.174115775000033,123.798094750632,0.356465816331143
0.174125775000033,123.827169099676,0.356587630957529
0.174135775000033,123.85637793729,0.356709363305046
0.174145775000033,123.885721299921,0.356831013090186
0.174155775000033,123.915199223191,0.356952580028795
0.174165775000033,123.944811741886,0.357074063836065
0.174175775000033,123.974558889945,0.357195464226532
0.174185775000033,124.004440700449,0.357316780914075
0.174195775000033,124.034457205607,0.357438013611909
0.174205775000033,124.06460843675,0.357559162032587
0.174215775000033,124.094894424312,0.357680225887991
0.174225775000033,124.125315197825,0.357801204889332
0.174235775000033,124.155870785904,0.357922098747146
0.174245775000033,124.186561216234,0.358042907171293
0.174255775000033,124.217386515559,0.358163629870948
0.174265775000033,124.248346709674,0.358284266554604
0.174275775000033,124.279441823403,0.358404816930067
0.174285775000034,124.310671880598,0.358525280704448
0.174295775000034,124.342036904119,0.358645657584167
0.174305775000034,124.373536915822,0.358765947274945
0.174315775000034,124.40517193655,0.358886149481801
0.174325775000034,124.436941986118,0.359006263909052
0.174335775000034,124.468847083299,0.359126290260305
0.174345775000034,124.500887245815,0.359246228238458
0.174355775000034,124.533062490317,0.359366077545693
0.174365775000034,124.56537283238,0.359485837883474
0.174375775000034,124.597818286483,0.359605508952546
0.174385775000034,124.630398866,0.35972509045293
0.174395775000034,124.663114583184,0.359844582083916
0.174405775000034,124.695965449153,0.359963983544067
0.174415775000034,124.728951473879,0.36008329453121
0.174425775000034,124.762072666173,0.360202514742433
0.174435775000034,124.795329033667,0.360321643874085
0.174445775000034,124.828720582807,0.36044068162177
0.174455775000034,124.862247318834,0.360559627680344
0.174465775000034,124.89590924577,0.360678481743912
0.174475775000034,124.929706366406,0.360797243505824
0.174485775000034,124.963638682283,0.360915912658675
0.174495775000034,124.997706193684,0.361034488894294
0.174505775000034,125.031908899613,0.36115297190375
0.174515775000034,125.066246797782,0.36127136137734
0.174525775000034,125.100719884597,0.361389657004593
0.174535775000034,125.135328155144,0.36150785847426
0.174545775000034,125.170071603169,0.361625965474318
0.174555775000034,125.204950221067,0.361743977691959
0.174565775000034,125.239963999866,0.36186189481359
0.174575775000034,125.275112929209,0.361979716524832
0.174585775000034,125.31039699734,0.362097442510512
0.174595775000034,125.345816191088,0.362215072454663
0.174605775000034,125.381370495851,0.362332606040518
0.174615775000034,125.417059895578,0.362450042950511
0.174625775000034,125.452884372757,0.362567382866266
0.174635775000034,125.488843908394,0.362684625468602
0.174645775000034,125.524938482,0.362801770437524
0.174655775000034,125.56116807157,0.362918817452222
0.174665775000034,125.597532653572,0.363035766191065
0.174675775000034,125.634032202926,0.363152616331601
0.174685775000034,125.670666692987,0.363269367550553
0.174695775000034,125.707436095531,0.363386019523812
0.174705775000034,125.744340380734,0.363502571926438
0.174715775000034,125.781379517158,0.363619024432653
0.174725775000034,125.818553471729,0.363735376715841
0.174735775000034,125.855862209724,0.363851628448542
