"time","yRising","yFalling","yEither"
3.081,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.101,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.121,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.141,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.161,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.181,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.201,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.221,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.241,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.261,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.281,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.301,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.321,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.341,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.361,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.381,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.401,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.421,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.441,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.461,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.481,9.1618065830650219E-001,-9.0215598779214567E-001,-9.0215598779214567E-001
3.501,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.521,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.541,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.561,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
3.581,2.6319635458259255E-001,-9.0215598779214567E-001,2.6319635458259255E-001
