"time","Ball1_pos","Ball2_pos","Ball1_vel","Ball2_vel"
4.541,1.0956930053998345E+001,1.0013492924998378E+001,7.4100659999957177E+000,6.3834749999959151E+000
4.561,1.1103267473998310E+001,1.0139298524998338E+001,7.2138659999956491E+000,6.1872749999958465E+000
4.581,1.1245680893998266E+001,1.0261180124998296E+001,7.0176659999955806E+000,5.9910749999957780E+000
4.601,1.1384170313998222E+001,1.0379137724998248E+001,6.8214659999955121E+000,5.7948749999957094E+000
4.621,1.1518735733998179E+001,1.0493171324998201E+001,6.6252659999954435E+000,5.5986749999956409E+000
4.641,1.1649377153998127E+001,1.0603280924998151E+001,6.4290659999953750E+000,5.4024749999955723E+000
4.661,1.1776094573998076E+001,1.0709466524998096E+001,6.2328659999953064E+000,5.2062749999955038E+000
4.681,1.1898887993998025E+001,1.0811728124998041E+001,6.0366659999952379E+000,5.0100749999954353E+000
4.701,1.2017757413997966E+001,1.0910065724997983E+001,5.8404659999951694E+000,4.8138749999953667E+000
4.721,1.2132702833997907E+001,1.1004479324997920E+001,5.6442659999951008E+000,4.6176749999952982E+000
4.741,1.2243724253997849E+001,1.1094968924997858E+001,5.4480659999950323E+000,4.4214749999952296E+000
4.761,1.2350821673997782E+001,1.1181534524997792E+001,5.2518659999949637E+000,4.2252749999951611E+000
4.781,1.2453995093997715E+001,1.1264176124997721E+001,5.0556659999948952E+000,4.0290749999950926E+000
4.801,1.2553244513997649E+001,1.1342893724997650E+001,4.8594659999948266E+000,3.8328749999950240E+000
4.821,1.2648569933997575E+001,1.1417687324997573E+001,4.6632659999947581E+000,3.6366749999949555E+000
4.841,1.2739971353997500E+001,1.1488556924997493E+001,4.4670659999946896E+000,3.4404749999948869E+000
4.861,1.2827448773997427E+001,1.1555502524997413E+001,4.2708659999946210E+000,3.2442749999948184E+000
4.881,1.2911002193997344E+001,1.1618524124997329E+001,4.0746659999945525E+000,3.0480749999947498E+000
4.901,1.2990631613997262E+001,1.1677621724997241E+001,3.8784659999944839E+000,2.8518749999946813E+000
4.921,1.3066337033997177E+001,1.1732795324997154E+001,3.6822659999944154E+000,2.6556749999946128E+000
4.941,1.3138118453997086E+001,1.1784044924997062E+001,3.4860659999943469E+000,2.4594749999945442E+000
4.961,1.3205975873996994E+001,1.1831370524996967E+001,3.2898659999942783E+000,2.2632749999944757E+000
4.981,1.3269909293996902E+001,1.1874772124996872E+001,3.0936659999942098E+000,2.0670749999944071E+000
5,1.3327011437996807E+001,1.1912369039996777E+001,2.9072759999941447E+000,1.8806849999943449E+000
5.02,1.3383293057996708E+001,1.1948118839996674E+001,2.7110759999940761E+000,1.6844849999942808E+000
5.04,1.3435650677996609E+001,1.1979944639996571E+001,2.5148759999940076E+000,1.4882849999942167E+000
5.06,1.3484084297996501E+001,1.2007846439996465E+001,2.3186759999939390E+000,1.2920849999941526E+000
5.08,1.3528593917996394E+001,1.2031824239996354E+001,2.1224759999938705E+000,1.0958849999940885E+000
5.1,1.3569179537996288E+001,1.2051878039996243E+001,1.9262759999938037E+000,8.9968499999402318E-001
5.12,1.3605841157996172E+001,1.2068007839996129E+001,1.7300759999937396E+000,7.0348499999395686E-001
5.14,1.3638578777996058E+001,1.2080213639996010E+001,1.5338759999936755E+000,5.0728499999389054E-001
5.16,1.3667392397995943E+001,1.2088495439995892E+001,1.3376759999936114E+000,3.1108499999382533E-001
