"time","Out1","Out2[1]","Out2[2]","Out3","Out4","Out5"
2.881,1.9661084582411408E+000,2.6213803887868625E+000,1.9661084582411408E+000,9.5114418542218928E+000,6.4019991265248100E-001,-6.8570863293617512E-001
2.901,1.9710776255676319E+000,2.6607504091814871E+000,1.9710776255676319E+000,9.6839142221655301E+000,6.3243842955280760E-001,-7.0620076646201313E-001
2.921,1.9756583747580931E+000,2.7002161261258233E+000,1.9756583747580931E+000,9.8597722838835562E+000,6.2444595688721172E-001,-7.2676646098366537E-001
2.941,1.9798488735739235E+000,2.7397697535919665E+000,1.9798488735739235E+000,1.0039092268648405E+001,6.1622525614147750E-001,-7.4739836129096460E-001
2.961,1.9836474458714697E+000,2.7794034703889761E+000,1.9836474458714697E+000,1.0221951980428626E+001,6.0777918871528147E-001,-7.6808906844090341E-001
2.981,1.9870525722724599E+000,2.8191094232912444E+000,1.9870525722724599E+000,1.0408430826522407E+001,5.9911071460678622E-001,-7.8883114305888413E-001
3.001,1.9900628907717346E+000,2.8588797301796869E+000,1.9900628907717346E+000,1.0598609846756267E+001,5.9022289106117953E-001,-8.0961710864937220E-001
3.021,1.9926771972820307E+000,2.8987064831944824E+000,1.9926771972820307E+000,1.0792571743261641E+001,5.8111887118363770E-001,-8.3043945491475180E-001
3.041,1.9948944461156013E+000,2.9385817518981119E+000,1.9948944461156013E+000,1.0990400910842251E+001,5.7180190251719587E-001,-8.5129064108120622E-001
3.061,1.9967137504024763E+000,2.9784975864474252E+000,1.9967137504024763E+000,1.1192183467945563E+001,5.6227532558603432E-001,-8.7216309923040403E-001
3.081,1.9981343824451974E+000,3.0184460207734798E+000,1.9981343824451974E+000,1.1398007288251673E+001,5.5254257240469695E-001,-8.9304923763579980E-001
3.101,1.9991557740098893E+000,3.0584190757678527E+000,1.9991557740098893E+000,1.1607962032893512E+001,5.4260716495378059E-001,-9.1394144410232447E-001
3.121,1.9997775165535441E+000,3.0984087624741834E+000,1.9997775165535441E+000,1.1822139183322280E+001,5.3247271362263826E-001,-9.3483208930826434E-001
3.141,1.9999993613874349E+000,3.1384070852836476E+000,1.9999993613874349E+000,1.2040632074832546E+001,5.2214291561966519E-001,-9.5571353014810112E-001
3.161,1.9998212197765857E+000,3.1784060451330989E+000,1.9998212197765857E+000,1.2263535930761531E+001,5.1162155335074289E-001,-9.7657811307509612E-001
