"time","h","v","der(h)","der(v)","v_new","e","g","_D_whenCondition1"
0.2682,6.4747326002499417E-01,-2.6310420000000438E+00,-2.6310420000000438E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.268425,6.4688127557499420E-01,-2.6332492500000435E+00,-2.6332492500000435E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.26865,6.4628879449374421E-01,-2.6354565000000432E+00,-2.6354565000000432E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.268875,6.4569581678124421E-01,-2.6376637500000428E+00,-2.6376637500000428E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2691,6.4510234243749431E-01,-2.6398710000000425E+00,-2.6398710000000425E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.269325,6.4450837146249440E-01,-2.6420782500000421E+00,-2.6420782500000421E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.26955,6.4391390385624447E-01,-2.6442855000000418E+00,-2.6442855000000418E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.269775,6.4331893961874453E-01,-2.6464927500000415E+00,-2.6464927500000415E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27,6.4272347874999458E-01,-2.6487000000000411E+00,-2.6487000000000411E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.270225,6.4212752124999462E-01,-2.6509072500000408E+00,-2.6509072500000408E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27045,6.4153106711874464E-01,-2.6531145000000405E+00,-2.6531145000000405E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.270675,6.4093411635624464E-01,-2.6553217500000401E+00,-2.6553217500000401E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2709,6.4033666896249475E-01,-2.6575290000000398E+00,-2.6575290000000398E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.271125,6.3973872493749484E-01,-2.6597362500000394E+00,-2.6597362500000394E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27135,6.3914028428124492E-01,-2.6619435000000391E+00,-2.6619435000000391E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.271575,6.3854134699374498E-01,-2.6641507500000388E+00,-2.6641507500000388E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2718,6.3794191307499504E-01,-2.6663580000000384E+00,-2.6663580000000384E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.272025,6.3734198252499508E-01,-2.6685652500000381E+00,-2.6685652500000381E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27225,6.3674155534374510E-01,-2.6707725000000377E+00,-2.6707725000000377E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.272475,6.3614063153124512E-01,-2.6729797500000374E+00,-2.6729797500000374E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2727,6.3553921108749523E-01,-2.6751870000000371E+00,-2.6751870000000371E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.272925,6.3493729401249532E-01,-2.6773942500000367E+00,-2.6773942500000367E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.27315,6.3433488030624541E-01,-2.6796015000000364E+00,-2.6796015000000364E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.273375,6.3373196996874548E-01,-2.6818087500000360E+00,-2.6818087500000360E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.2736,6.3312856299999554E-01,-2.6840160000000357E+00,-2.6840160000000357E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
0.273825,6.3252465939999558E-01,-2.6862232500000354E+00,-2.6862232500000354E+00,-9.8100000000000005E+00,0.0000000000000000E+00,6.9999999999999996E-01,9.8100000000000005E+00,0
