"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0129,1.2799999999999977E+002,5.3112423405250036E+002,-2.3962961849999857E+002,-5.1865080230002164E+001,2.9149469870000075E+002
0.013,1.2899999999999977E+002,5.3368387779820762E+002,-2.4573820879999860E+002,-4.2207543030002178E+001,2.8794575190000080E+002
0.0131,1.2999999999999977E+002,5.3571684002130917E+002,-2.5160428529999868E+002,-3.2508352080002183E+001,2.8411263730000087E+002
0.0132,1.3099999999999977E+002,5.3722111432034274E+002,-2.5722205859999866E+002,-2.2777079310002364E+001,2.7999913790000102E+002
0.0133,1.3199999999999977E+002,5.3819521619381146E+002,-2.6258598479999870E+002,-1.3023328310002370E+001,2.7560931310000109E+002
0.0134,1.3299999999999974E+002,5.3863818454018519E+002,-2.6769077039999877E+002,-3.2567248600023726E+000,2.7094749530000115E+002
0.0135,1.3399999999999974E+002,5.3854958185790053E+002,-2.7253137749999877E+002,6.5130925839974578E+000,2.6601828490000128E+002
0.0136,1.3499999999999974E+002,5.3792949574536271E+002,-2.7710302899999880E+002,1.6276482389997462E+001,2.6082654660000134E+002
0.0137,1.3599999999999974E+002,5.3677853820094651E+002,-2.8140121329999891E+002,2.6023809279997462E+001,2.5537740400000143E+002
0.0138,1.3699999999999972E+002,5.3509784512299746E+002,-2.8542168859999884E+002,3.5745453799997307E+001,2.4967623480000159E+002
0.0139,1.3799999999999972E+002,5.3288907490983308E+002,-2.8916048709999899E+002,4.5431821879997308E+001,2.4372866520000164E+002
0.014,1.3899999999999974E+002,5.3015440755974464E+002,-2.9261391909999901E+002,5.5073354239997329E+001,2.3754056490000170E+002
0.0141,1.3999999999999972E+002,5.2689654187099745E+002,-2.9577857659999910E+002,6.4660535839997166E+001,2.3111804070000187E+002
0.0142,1.4099999999999972E+002,5.2311869274183243E+002,-2.9865133619999915E+002,7.4183905309997201E+001,2.2446743090000197E+002
0.0143,1.4199999999999969E+002,5.1882458877046815E+002,-3.0122936309999920E+002,8.3634064209997064E+001,2.1759529890000215E+002
0.0144,1.4299999999999969E+002,5.1401846755510121E+002,-3.0351011299999925E+002,9.3001686389997076E+001,2.1050842660000222E+002
0.0145,1.4399999999999969E+002,5.0870507199390795E+002,-3.0549133499999942E+002,1.0227752709999710E+002,2.0321380780000229E+002
0.0146,1.4499999999999966E+002,5.0288964598504589E+002,-3.0717107389999944E+002,1.1145243229999697E+002,1.9571864160000248E+002
0.0147,1.4599999999999969E+002,4.9657792862665491E+002,-3.0854767209999955E+002,1.2051734739999702E+002,1.8803032470000252E+002
0.0148,1.4699999999999966E+002,4.8977614881685867E+002,-3.0961977099999967E+002,1.2946332639999707E+002,1.8015644460000260E+002
0.0149,1.4799999999999963E+002,4.8249101895376617E+002,-3.1038631249999975E+002,1.3828154069999692E+002,1.7210477180000279E+002
0.015,1.4899999999999966E+002,4.7472972883547249E+002,-3.1084654029999984E+002,1.4696328789999700E+002,1.6388325240000285E+002
0.0151,1.4999999999999966E+002,4.6649995323337959E+002,-3.1099999999999994E+002,1.5549999999999704E+002,1.5550000000000293E+002
0.0152,1.5099999999999963E+002,4.7472972967946822E+002,-3.1084654030000007E+002,1.6388325239999696E+002,1.4696328790000311E+002
0.0153,1.5199999999999963E+002,4.8249102066958926E+002,-3.1038631250000014E+002,1.7210477179999700E+002,1.3828154070000318E+002
0.0154,1.5299999999999963E+002,4.8977615143003811E+002,-3.0961977100000030E+002,1.8015644459999706E+002,1.2946332640000321E+002
0.0155,1.5399999999999960E+002,4.9657793216038351E+002,-3.0854767210000040E+002,1.8803032469999701E+002,1.2051734740000342E+002
0.0156,1.5499999999999960E+002,5.0288965046014357E+002,-3.0717107390000052E+002,1.9571864159999708E+002,1.1145243230000345E+002
0.0157,1.5599999999999963E+002,5.0870507742878658E+002,-3.0549133500000067E+002,2.0321380779999714E+002,1.0227752710000351E+002
0.0158,1.5699999999999963E+002,5.1401847396573203E+002,-3.0351011300000073E+002,2.1050842659999722E+002,9.3001686390003542E+001
0.0159,1.5799999999999960E+002,5.1882459617035113E+002,-3.0122936310000097E+002,2.1759529889999706E+002,8.3634064210003913E+001
0.016,1.5899999999999957E+002,5.2311870114196813E+002,-2.9865133620000108E+002,2.2446743089999714E+002,7.4183905310003937E+001
0.0161,1.5999999999999957E+002,5.2689655127986055E+002,-2.9577857660000120E+002,2.3111804069999721E+002,6.4660535840003959E+001
0.0162,1.6099999999999960E+002,5.3015441798326060E+002,-2.9261391910000128E+002,2.3754056489999732E+002,5.5073354240003994E+001
0.0163,1.6199999999999957E+002,5.3288908635135601E+002,-2.8916048710000143E+002,2.4372866519999744E+002,4.5431821880004016E+001
0.0164,1.6299999999999957E+002,5.3509785758329087E+002,-2.8542168860000157E+002,2.4967623479999753E+002,3.5745453800004036E+001
0.0165,1.6399999999999955E+002,5.3677855167816665E+002,-2.8140121330000176E+002,2.5537740399999745E+002,2.6023809280004382E+001
0.0166,1.6499999999999955E+002,5.3792951023504361E+002,-2.7710302900000192E+002,2.6082654659999753E+002,1.6276482390004396E+001
0.0167,1.6599999999999955E+002,5.3854959735294130E+002,-2.7253137750000207E+002,2.6601828489999770E+002,6.5130925840044034E+000
0.0168,1.6699999999999957E+002,5.3863820103083958E+002,-2.6769077040000224E+002,2.7094749529999780E+002,-3.2567248599955927E+000
0.0169,1.6799999999999955E+002,5.3819523366768044E+002,-2.6258598480000228E+002,2.7560931309999791E+002,-1.3023328309995595E+001
0.017,1.6899999999999955E+002,5.3722113276236871E+002,-2.5722205860000247E+002,2.7999913789999800E+002,-2.2777079309995603E+001
0.0171,1.6999999999999952E+002,5.3571685941377291E+002,-2.5160428530000272E+002,2.8411263729999803E+002,-3.2508352079995277E+001
0.0172,1.7099999999999952E+002,5.3368389812072644E+002,-2.4573820880000284E+002,2.8794575189999819E+002,-4.2207543029995286E+001
0.0173,1.7199999999999952E+002,5.3112425528202948E+002,-2.3962961850000298E+002,2.9149469869999825E+002,-5.1865080229995307E+001
0.0174,1.7299999999999949E+002,5.2804045699644973E+002,-2.3328454270000307E+002,2.9475597549999839E+002,-6.1471432859995332E+001
0.0175,1.7399999999999952E+002,5.2443554636272324E+002,-2.2670924310000322E+002,2.9772636369999856E+002,-7.1017120599995366E+001
0.0176,1.7499999999999949E+002,5.2031308127955617E+002,-2.1991020890000354E+002,3.0040293199999860E+002,-8.0492723029995062E+001
0.0177,1.7599999999999949E+002,5.1567712994562544E+002,-2.1289414990000364E+002,3.0278303879999879E+002,-8.9888888849995112E+001
0.0178,1.7699999999999949E+002,5.1053226755958110E+002,-2.0566799010000378E+002,3.0486433529999891E+002,-9.9196345189995156E+001
0.0179,1.7799999999999946E+002,5.0488357142004668E+002,-1.9823886080000386E+002,3.0664476749999903E+002,-1.0840590669999521E+002
0.018,1.7899999999999949E+002,4.9873661622562059E+002,-1.9061409370000396E+002,3.0812257839999927E+002,-1.1750848469999525E+002
0.0181,1.7999999999999949E+002,4.9209746817487775E+002,-1.8280121350000405E+002,3.0929630949999938E+002,-1.2649509599999533E+002
0.0182,1.8099999999999946E+002,4.8497267916637071E+002,-1.7480793050000443E+002,3.1016480239999947E+002,-1.3535687189999507E+002
0.0183,1.8199999999999943E+002,4.7736928079863065E+002,-1.6664213320000451E+002,3.1072720019999974E+002,-1.4408506689999516E+002
0.0184,1.8299999999999946E+002,4.6929477657016946E+002,-1.5831188030000465E+002,3.1098294769999984E+002,-1.5267106739999522E+002
0.0185,1.8399999999999943E+002,4.7203814104989038E+002,-1.4982539260000470E+002,3.1093179260000005E+002,-1.6110639989999532E+002
0.0186,1.8499999999999946E+002,4.7995647316882230E+002,-1.4119104540000478E+002,3.1057378530000017E+002,-1.6938273989999541E+002
0.0187,1.8599999999999943E+002,4.8740114614505023E+002,-1.3241735970000488E+002,3.0990927920000041E+002,-1.7749191949999548E+002
0.0188,1.8699999999999943E+002,4.9436481317844431E+002,-1.2351299400000525E+002,3.0893893010000056E+002,-1.8542593609999531E+002
0.0189,1.8799999999999940E+002,5.0084060186882880E+002,-1.1448673590000533E+002,3.0766369560000072E+002,-1.9317695969999542E+002
0.019,1.8899999999999943E+002,5.0682212121597934E+002,-1.0534749320000539E+002,3.0608483410000099E+002,-2.0073734089999553E+002
0.0191,1.8999999999999940E+002,5.1230346831962481E+002,-9.6104285250005461E+001,3.0420390380000106E+002,-2.0809961859999567E+002
0.0192,1.9099999999999940E+002,5.1727923387944873E+002,-8.6766233980005509E+001,3.0202276110000133E+002,-2.1525652709999579E+002
0.0193,1.9199999999999940E+002,5.2174450719508775E+002,-7.7342554910005560E+001,2.9954355830000145E+002,-2.2220100339999587E+002
0.0194,1.9299999999999937E+002,5.2569488166613553E+002,-6.7842548070005947E+001,2.9676874220000178E+002,-2.2892619409999580E+002
0.0195,1.9399999999999937E+002,5.2912645869214032E+002,-5.8275588840005973E+001,2.9370105110000185E+002,-2.3542546229999593E+002
0.0196,1.9499999999999937E+002,5.3203585187260774E+002,-4.8651118630006010E+001,2.9034351260000210E+002,-2.4169239399999609E+002
0.0197,1.9599999999999937E+002,5.3442018990700012E+002,-3.8978635640006040E+001,2.8669944010000228E+002,-2.4772080449999626E+002
0.0198,1.9699999999999937E+002,5.3627711979473793E+002,-2.9267685440006066E+001,2.8277242990000246E+002,-2.5350474449999638E+002
0.0199,1.9799999999999935E+002,5.3760480883520165E+002,-1.9527851570006419E+001,2.7856635740000280E+002,-2.5903850589999638E+002
0.02,1.9899999999999935E+002,5.3840194682773051E+002,-9.7687460730064348E+000,2.7408537360000298E+002,-2.6431662749999651E+002
0.0201,1.9999999999999935E+002,5.3866774717162480E+002,-1.2869390068938311E-011,2.6933390060000312E+002,-2.6933390059999664E+002
0.0202,2.0099999999999935E+002,5.3840194736614660E+002,9.7687460729935616E+000,2.6431662750000334E+002,-2.7408537359999690E+002
0.0203,2.0199999999999935E+002,5.3760480991051998E+002,1.9527851569993565E+001,2.5903850590000349E+002,-2.7856635739999706E+002
0.0204,2.0299999999999932E+002,5.3627712140393339E+002,2.9267685439993581E+001,2.5350474450000362E+002,-2.8277242989999729E+002
0.0205,2.0399999999999932E+002,5.3442019204553856E+002,3.8978635639993257E+001,2.4772080450000402E+002,-2.8669944009999728E+002
0.0206,2.0499999999999929E+002,5.3203585453445396E+002,4.8651118629993292E+001,2.4169239400000419E+002,-2.9034351259999750E+002
0.0207,2.0599999999999932E+002,5.2912646186976292E+002,5.8275588839993318E+001,2.3542546230000434E+002,-2.9370105109999764E+002
0.0208,2.0699999999999929E+002,5.2569488535051755E+002,6.7842548069993356E+001,2.2892619410000452E+002,-2.9676874219999786E+002
0.0209,2.0799999999999932E+002,5.2174451137573783E+002,7.7342554909993424E+001,2.2220100340000465E+002,-2.9954355829999804E+002
0.021,2.0899999999999929E+002,5.1727923854441360E+002,8.6766233979993444E+001,2.1525652710000483E+002,-3.0202276109999832E+002
0.0211,2.0999999999999926E+002,5.1230347345550558E+002,9.6104285249993197E+001,2.0809961860000524E+002,-3.0420390379999839E+002
0.0212,2.1099999999999929E+002,5.0682212680794527E+002,1.0534749319999327E+002,2.0073734090000536E+002,-3.0608483409999860E+002
0.0213,2.1199999999999926E+002,5.0084060790063819E+002,1.1448673589999335E+002,1.9317695970000551E+002,-3.0766369559999885E+002
0.0214,2.1299999999999926E+002,4.9436481963246337E+002,1.2351299399999343E+002,1.8542593610000563E+002,-3.0893893009999908E+002
0.0215,2.1399999999999929E+002,4.8740115300227501E+002,1.3241735969999348E+002,1.7749191950000579E+002,-3.0990927919999928E+002
0.0216,2.1499999999999926E+002,4.7995648040890399E+002,1.4119104539999361E+002,1.6938273990000590E+002,-3.1057378529999954E+002
0.0217,2.1599999999999923E+002,4.7203814865115862E+002,1.4982539259999339E+002,1.6110639990000632E+002,-3.1093179259999971E+002
0.0218,2.1699999999999923E+002,4.6929478460622954E+002,1.5831188029999353E+002,1.5267106740000645E+002,-3.1098294769999995E+002
0.0219,2.1799999999999926E+002,4.7736928946143547E+002,1.6664213319999365E+002,1.4408506690000655E+002,-3.1072720020000025E+002
0.022,2.1899999999999923E+002,4.8497268846475907E+002,1.7480793049999374E+002,1.3535687190000664E+002,-3.1016480240000038E+002
0.0221,2.1999999999999923E+002,4.9209747811623095E+002,1.8280121349999391E+002,1.2649509600000677E+002,-3.0929630950000069E+002
0.0222,2.2099999999999920E+002,4.9873662681583733E+002,1.9061409369999379E+002,1.1750848470000717E+002,-3.0812257840000098E+002
0.0223,2.2199999999999920E+002,5.0488358266352259E+002,1.9823886079999392E+002,1.0840590670000726E+002,-3.0664476750000119E+002
0.0224,2.2299999999999920E+002,5.1053227945918741E+002,2.0566799009999406E+002,9.9196345190007364E+001,-3.0486433530000141E+002
0.0225,2.2399999999999918E+002,5.1567714250269069E+002,2.1289414989999423E+002,8.9888888850007419E+001,-3.0278303880000163E+002
0.0226,2.2499999999999920E+002,5.2031309449384969E+002,2.1991020889999439E+002,8.0492723030007497E+001,-3.0040293200000195E+002
0.0227,2.2599999999999920E+002,5.2443556023243934E+002,2.2670924309999458E+002,7.1017120600007559E+001,-2.9772636370000208E+002
0.0228,2.2699999999999918E+002,5.2804047151819543E+002,2.3328454269999452E+002,6.1471432860007944E+001,-2.9475597550000242E+002
0.0229,2.2799999999999915E+002,5.3112427045081188E+002,2.3962961849999473E+002,5.1865080230007997E+001,-2.9149469870000274E+002
0.023,2.2899999999999918E+002,5.3368391392994386E+002,2.4573820879999491E+002,4.2207543030008040E+001,-2.8794575190000296E+002
0.0231,2.2999999999999918E+002,5.3571687585520715E+002,2.5160428529999510E+002,3.2508352080008073E+001,-2.8411263730000320E+002
0.0232,2.3099999999999915E+002,5.3722114982617882E+002,2.5722205859999536E+002,2.2777079310008105E+001,-2.7999913790000340E+002
0.0233,2.3199999999999918E+002,5.3819525134239825E+002,2.6258598479999557E+002,1.3023328310008122E+001,-2.7560931310000370E+002
0.0234,2.3299999999999915E+002,5.3863821930336792E+002,2.6769077039999559E+002,3.2567248600084708E+000,-2.7094749530000405E+002
0.0235,2.3399999999999912E+002,5.3854961620855363E+002,2.7253137749999581E+002,-6.5130925839915248E+000,-2.6601828490000435E+002
0.0236,2.3499999999999915E+002,5.3792952965738505E+002,2.7710302899999601E+002,-1.6276482389991532E+001,-2.6082654660000446E+002
0.0237,2.3599999999999912E+002,5.3677857164925808E+002,2.8140121329999630E+002,-2.6023809279991543E+001,-2.5537740400000473E+002
0.0238,2.3699999999999915E+002,5.3509787808353303E+002,2.8542168859999651E+002,-3.5745453799991566E+001,-2.4967623480000495E+002
0.0239,2.3799999999999909E+002,5.3288910735953789E+002,2.8916048709999660E+002,-4.5431821879991261E+001,-2.4372866520000534E+002
0.024,2.3899999999999912E+002,5.3015443947656786E+002,2.9261391909999685E+002,-5.5073354239991303E+001,-2.3754056490000559E+002
0.0241,2.3999999999999909E+002,5.2689657323388633E+002,2.9577857659999717E+002,-6.4660535839991354E+001,-2.3111804070000579E+002
0.0242,2.4099999999999909E+002,5.2311872353072556E+002,2.9865133619999744E+002,-7.4183905309991403E+001,-2.2446743090000601E+002
0.0243,2.4199999999999909E+002,5.1882461896628888E+002,3.0122936309999767E+002,-8.3634064209991479E+001,-2.1759529890000618E+002
0.0244,2.4299999999999912E+002,5.1401849713974980E+002,3.0351011299999794E+002,-9.3001686389991562E+001,-2.1050842660000640E+002
