"Time [s]","heatCapacitor.T [K]","TAmb [K]","TDif [K]","TRes [K]"
1.74773534792312,298.513519312483,293.15,2,298.513519312483
1.74873534792312,298.51298298747,293.15,2,298.51298298747
1.74973534792312,298.512446716086,293.15,2,298.512446716086
1.75073534792312,298.511910498328,293.15,2,298.511910498328
1.75173534792312,298.511374334188,293.15,2,298.511374334188
1.75273534792312,298.510838223663,293.15,2,298.510838223663
1.75373534792312,298.510302166745,293.15,2,298.510302166745
1.75473534792312,298.509766163431,293.15,2,298.509766163431
1.75573534792312,298.509230213714,293.15,2,298.509230213714
1.75673534792312,298.508694317589,293.15,2,298.508694317589
1.75773534792312,298.508158475052,293.15,2,298.508158475052
1.75873534792312,298.507622686096,293.15,2,298.507622686096
1.75973534792312,298.507086950716,293.15,2,298.507086950716
1.76073534792312,298.506551268907,293.15,2,298.506551268907
1.76173534792312,298.506015640664,293.15,2,298.506015640664
1.76273534792312,298.50548006598,293.15,2,298.50548006598
1.76373534792312,298.504944544852,293.15,2,298.504944544852
1.76473534792312,298.504409077273,293.15,2,298.504409077273
1.76573534792312,298.503873663238,293.15,2,298.503873663238
1.76673534792312,298.503338302742,293.15,2,298.503338302742
1.76773534792312,298.502802995779,293.15,2,298.502802995779
1.76873534792312,298.502267742344,293.15,2,298.502267742344
1.76973534792312,298.501732542432,293.15,2,298.501732542432
1.77073534792312,298.501197396037,293.15,2,298.501197396037
1.77173534792312,298.500662303154,293.15,2,298.500662303154
1.77273534792312,298.500127263778,293.15,2,298.500127263778
1.77373534792312,298.499592277903,293.15,2,298.499592277903
1.77473534792312,298.499057345524,293.15,2,298.499057345524
1.77573534792312,298.498522466635,293.15,2,298.498522466635
1.77673534792312,298.497987641232,293.15,2,298.497987641232
1.77773534792312,298.497452869309,293.15,2,298.497452869309
1.77873534792312,298.49691815086,293.15,2,298.49691815086
1.77973534792312,298.49638348588,293.15,2,298.49638348588
1.78073534792312,298.495848874364,293.15,2,298.495848874364
1.78173534792312,298.495314316307,293.15,2,298.495314316307
1.78273534792312,298.494779811702,293.15,2,298.494779811702
1.78373534792312,298.494245360546,293.15,2,298.494245360546
1.78473534792312,298.493710962832,293.15,2,298.493710962832
1.78573534792312,298.493176618555,293.15,2,298.493176618555
1.78673534792312,298.492642327709,293.15,2,298.492642327709
1.78773534792312,298.492108090291,293.15,2,298.492108090291
1.78873534792312,298.491573906293,293.15,2,298.491573906293
1.78973534792312,298.491039775711,293.15,2,298.491039775711
1.79073534792312,298.490505698539,293.15,2,298.490505698539
1.79173534792312,298.489971674773,293.15,2,298.489971674773
1.79273534792312,298.489437704406,293.15,2,298.489437704406
1.79373534792311,298.488903787433,293.15,2,298.488903787433
1.79473534792311,298.48836992385,293.15,2,298.48836992385
1.79573534792311,298.48783611365,293.15,2,298.48783611365
1.79673534792311,298.487302356828,293.15,2,298.487302356828
1.79773534792311,298.48676865338,293.15,2,298.48676865338
1.79873534792311,298.486235003299,293.15,2,298.486235003299
1.79973534792311,298.485701406581,293.15,2,298.485701406581
1.80073534792311,298.485167863219,293.15,2,298.485167863219
1.80173534792311,298.48463437321,293.15,2,298.48463437321
1.80273534792311,298.484100936546,293.15,2,298.484100936546
1.80373534792311,298.483567553224,293.15,2,298.483567553224
1.80473534792311,298.483034223237,293.15,2,298.483034223237
1.80573534792311,298.482500946581,293.15,2,298.482500946581
1.80673534792311,298.481967723249,293.15,2,298.481967723249
1.80773534792311,298.481434553237,293.15,2,298.481434553237
1.80873534792311,298.48090143654,293.15,2,298.48090143654
1.80973534792311,298.480368373152,293.15,2,298.480368373152
1.81073534792311,298.479835363067,293.15,2,298.479835363067
1.81173534792311,298.47930240628,293.15,2,298.47930240628
1.81273534792311,298.478769502787,293.15,2,298.478769502787
1.81373534792311,298.478236652581,293.15,2,298.478236652581
1.81473534792311,298.477703855658,293.15,2,298.477703855658
1.81573534792311,298.477171112012,293.15,2,298.477171112012
1.81673534792311,298.476638421637,293.15,2,298.476638421637
1.81773534792311,298.476105784529,293.15,2,298.476105784529
1.81873534792311,298.475573200682,293.15,2,298.475573200682
1.81973534792311,298.47504067009,293.15,2,298.47504067009
1.82073534792311,298.474508192749,293.15,2,298.474508192749
1.82173534792311,298.473975768653,293.15,2,298.473975768653
1.82273534792311,298.473443397797,293.15,2,298.473443397797
1.82373534792311,298.472911080175,293.15,2,298.472911080175
1.82473534792311,298.472378815782,293.15,2,298.472378815782
1.82573534792311,298.471846604613,293.15,2,298.471846604613
1.82673534792311,298.471314446663,293.15,2,298.471314446663
1.82773534792311,298.470782341926,293.15,2,298.470782341926
1.82873534792311,298.470250290396,293.15,2,298.470250290396
1.82973534792311,298.469718292069,293.15,2,298.469718292069
1.83073534792311,298.469186346939,293.15,2,298.469186346939
1.83173534792311,298.468654455001,293.15,2,298.468654455001
1.83273534792311,298.46812261625,293.15,2,298.46812261625
1.83373534792311,298.467590830679,293.15,2,298.467590830679
1.83473534792311,298.467059098285,293.15,2,298.467059098285
1.83573534792311,298.466527419061,293.15,2,298.466527419061
1.83673534792311,298.465995793002,293.15,2,298.465995793002
1.83773534792311,298.465464220104,293.15,2,298.465464220104
1.83873534792311,298.46493270036,293.15,2,298.46493270036
1.83973534792311,298.464401233765,293.15,2,298.464401233765
1.84073534792311,298.463869820315,293.15,2,298.463869820315
1.84173534792311,298.463338460003,293.15,2,298.463338460003
1.84273534792311,298.462807152824,293.15,2,298.462807152824
1.84373534792311,298.462275898774,293.15,2,298.462275898774
1.84473534792311,298.461744697846,293.15,2,298.461744697846
1.84573534792311,298.461213550036,293.15,2,298.461213550036
1.84673534792311,298.460682455337,293.15,2,298.460682455337
1.84773534792311,298.460151413746,293.15,2,298.460151413746
1.84873534792311,298.459620425256,293.15,2,298.459620425256
1.84973534792311,298.459089489862,293.15,2,298.459089489862
1.85073534792311,298.458558607559,293.15,2,298.458558607559
1.85173534792311,298.458027778342,293.15,2,298.458027778342
1.85273534792311,298.457497002205,293.15,2,298.457497002205
1.85373534792311,298.456966279143,293.15,2,298.456966279143
1.85473534792311,298.456435609151,293.15,2,298.456435609151
1.85573534792311,298.455904992223,293.15,2,298.455904992223
1.85673534792311,298.455374428354,293.15,2,298.455374428354
1.85773534792311,298.454843917539,293.15,2,298.454843917539
1.85873534792311,298.454313459772,293.15,2,298.454313459772
1.85973534792311,298.453783055048,293.15,2,298.453783055048
1.86073534792311,298.453252703362,293.15,2,298.453252703362
1.86173534792311,298.452722404709,293.15,2,298.452722404709
1.86273534792311,298.452192159083,293.15,2,298.452192159083
1.86373534792311,298.451661966479,293.15,2,298.451661966479
1.86473534792311,298.451131826891,293.15,2,298.451131826891
1.86573534792311,298.450601740315,293.15,2,298.450601740315
1.86673534792311,298.450071706744,293.15,2,298.450071706744
1.86773534792311,298.449541726175,293.15,2,298.449541726175
1.86873534792311,298.449011798601,293.15,2,298.449011798601
1.86973534792311,298.448481924017,293.15,2,298.448481924017
1.87073534792311,298.447952102417,293.15,2,298.447952102417
1.87173534792311,298.447422333798,293.15,2,298.447422333798
