"time","spring_length_out"
3.52,5.9793702746001100E+02
3.53,5.9037682086874224E+02
3.54,5.8330828764627950E+02
3.55,5.7674896434217123E+02
3.56,5.7071498293824379E+02
3.57,5.6522103155065702E+02
3.58,5.6028031921473053E+02
3.59,5.5590454455533086E+02
3.6,5.5210386863823942E+02
3.61,5.4888689193245500E+02
3.62,5.4626063548294360E+02
3.63,5.4423052657630330E+02
3.64,5.4280038843215607E+02
3.65,5.4197243428685965E+02
3.66,5.4174726578592424E+02
3.67,5.4212387567792780E+02
3.68,5.4309965479127629E+02
3.69,5.4467040326378094E+02
3.7,5.4683034598376889E+02
3.71,5.4957215219032241E+02
3.72,5.5288695916928896E+02
3.73,5.5676439997095690E+02
3.74,5.6119263506476295E+02
3.75,5.6615838783612389E+02
3.76,5.7164698382049835E+02
3.77,5.7764239370921393E+02
3.78,5.8412727934388772E+02
3.79,5.9108304365898414E+02
3.8,5.9848988366372066E+02
3.81,6.0632684642095103E+02
3.82,6.1457188797860397E+02
3.83,6.2320193505719453E+02
3.84,6.3219294931197476E+02
3.85,6.4151999402513195E+02
3.86,6.5115730298340770E+02
3.87,6.6107835140215661E+02
3.88,6.7125592862923236E+02
3.89,6.8166221258308587E+02
3.9,6.9226884555154300E+02
3.91,7.0304701123406107E+02
3.92,7.1396751279762384E+02
3.93,7.2500085174502794E+02
3.94,7.3611741112376819E+02
3.95,7.4728717836488715E+02
3.96,7.5847997476067110E+02
3.97,7.6966589414267492E+02
3.98,7.8081512923535888E+02
3.99,7.9189805086693434E+02
4,8.0288528649194973E+02
4.01,8.1374779781810980E+02
4.02,8.2445754662802983E+02
4.03,8.3498634710100634E+02
4.04,8.4530634007567267E+02
4.05,8.5539056477623888E+02
4.06,8.6521276101345416E+02
4.07,8.7474743731832018E+02
4.08,8.8396993691709611E+02
4.09,8.9285650111769564E+02
4.1,9.0138433034075899E+02
4.11,9.0953164236182715E+02
4.12,9.1727772774159484E+02
4.13,9.2460300208440253E+02
4.14,9.3148905526684621E+02
4.15,9.3791869746575662E+02
4.16,9.4387600169986058E+02
4.17,9.4934634288489519E+02
4.18,9.5431643342447319E+02
4.19,9.5877435507598955E+02
4.2,9.6270958700585697E+02
4.21,9.6611303011769178E+02
4.22,9.6897702768921772E+02
4.23,9.7129538181228281E+02
4.24,9.7306336598227199E+02
4.25,9.7427773382929490E+02
4.26,9.7493672382687328E+02
4.27,9.7504006002881783E+02
4.28,9.7458894884292681E+02
4.29,9.7358607186068582E+02
4.3,9.7203557477259483E+02
4.31,9.6994305240912763E+02
4.32,9.6731552995754100E+02
4.33,9.6416144041481721E+02
4.34,9.6049059834689933E+02
4.35,9.5631417003403817E+02
4.36,9.5164464009149776E+02
4.37,9.4649577466402093E+02
4.38,9.4088258116205429E+02
