"time","revolute1.w","revolute2.w"
1.3981,-2.5774485059017791E+000,2.1171662017272531E+001
1.4041,-2.1720467401341184E+000,2.0136906633973595E+001
1.4101,-1.6468317876513590E+000,1.8815963395763049E+001
1.4161,-1.0755339759255300E+000,1.7408035776809861E+001
1.4221,-5.0410627008954034E-001,1.6031775696769042E+001
1.4281,4.4480461495895976E-002,1.4740786273126467E+001
1.4341,5.6102175538465038E-001,1.3550754557409133E+001
1.4401,1.0432284399437812E+000,1.2459126751334704E+001
1.4461,1.4918214851232019E+000,1.1456074494124278E+001
1.4521,1.9085774590167888E+000,1.0529834754483257E+001
1.4581,2.2954380851753871E+000,9.6690503480072234E+000
1.4641,2.6541511518453151E+000,8.8636549294080016E+000
1.4701,2.9861628204233708E+000,8.1050963000156653E+000
1.4761,3.2926226011105340E+000,7.3862807047574144E+000
1.4821,3.5744342424867455E+000,6.7014148877747139E+000
1.4881,3.8323210285205502E+000,6.0458239213381475E+000
1.4941,4.0668909123872439E+000,5.4157767400726913E+000
1.5001,4.2786949775797041E+000,4.8083304194308916E+000
1.5061,4.4682765443450796E+000,4.2211952009430309E+000
1.5121,4.6362100752882336E+000,3.6526187222911952E+000
1.5181,4.7831299475646389E+000,3.1012868410886960E+000
1.5241,4.9097496513621026E+000,2.5662384260831148E+000
1.5301,5.0168722714815441E+000,2.0467918661063127E+000
1.5361,5.1053933056707876E+000,1.5424815147792950E+000
1.5421,5.1762970044548853E+000,1.0530027192979754E+000
1.5481,5.2306474918879955E+000,5.7816442786568711E-001
1.5541,5.2695759463910772E+000,1.1784862399232780E-001
1.5601,5.2942650871894319E+000,-3.2802399445215452E-001
1.5661,5.3059321294590909E+000,-7.5952257247968946E-001
1.5721,5.3058112482251314E+000,-1.1767293230434734E+000
1.5781,5.2951364379847004E+000,-1.5797578371845011E+000
1.5841,5.2751254838161969E+000,-1.9687669032872053E+000
1.5901,5.2469655821072569E+000,-2.3439702754208054E+000
1.5961,5.2118009754843380E+000,-2.7056428466636269E+000
1.6021,5.1707228055899366E+000,-3.0541236924059305E+000
1.6081,5.1247612452172762E+000,-3.3898164463151876E+000
1.6141,5.0748798517339369E+000,-3.7131874552092556E+000
1.6201,5.0219719881701641E+000,-4.0247621272817531E+000
1.6261,4.9668590862783955E+000,-4.3251198407700002E+000
1.6321,4.9102904751196608E+000,-4.6148877176410092E+000
1.6381,4.8529444658963268E+000,-4.8947334896902692E+000
1.6441,4.7954303645654672E+000,-5.1653575927274575E+000
1.6501,4.7382910734321362E+000,-5.4274845175755670E+000
1.6561,4.6820059363577338E+000,-5.6818533225438834E+000
1.6621,4.6269934742529530E+000,-5.9292070674600739E+000
1.6681,4.5736136430387058E+000,-6.1702807592374613E+000
1.6741,4.5221692203389336E+000,-6.4057871968177356E+000
1.6801,4.4729058853809160E+000,-6.6363998619271269E+000
1.6861,4.4260104955292503E+000,-6.8627317151792804E+000
1.6921,4.3816069813881073E+000,-7.0853084230344772E+000
1.6981,4.3397491837635522E+000,-7.3045341698539881E+000
1.7041,4.3004098518494649E+000,-7.5206478344203678E+000
1.7101,4.2634649402184541E+000,-7.7336670100354796E+000
1.7161,4.2286723366575227E+000,-7.9433172772837395E+000
1.7221,4.1956443203391682E+000,-8.1489445791766553E+000
1.7281,4.1638135492745958E+000,-8.3494099631030387E+000
1.7341,4.1323934448328146E+000,-8.5429690375808711E+000
1.7401,4.1003357879036626E+000,-8.7271441508383738E+000
1.7461,4.0662914736938482E+000,-8.8986064408952856E+000
1.7521,4.0285847918404185E+000,-9.0530978408027725E+000
1.7581,3.9852167922011379E+000,-9.1854383509013537E+000
1.7641,3.9339175439066518E+000,-9.2896763621046468E+000
1.7701,3.8722670047385077E+000,-9.3594395521715619E+000
1.7761,3.7978951978347451E+000,-9.3885173536040476E+000
1.7821,3.7087511357763341E+000,-9.3716434621652187E+000
1.7881,3.6033989939791553E+000,-9.3053558810125541E+000
1.7941,3.4812715621956456E+000,-9.1887284569645686E+000
1.8001,3.3428037726042428E+000,-9.0237471870064905E+000
1.8061,3.1893960402947394E+000,-8.8151847725177461E+000
1.8121,3.0232113467057729E+000,-8.5699872633273895E+000
1.8181,2.8468646333796452E+000,-8.2963476679194113E+000
1.8241,2.6630898329177191E+000,-8.0027194514679270E+000
1.8301,2.4744595536802665E+000,-7.6969911173801941E+000
1.8361,2.2831982848172148E+000,-7.3859411744920633E+000
1.8421,2.0910935934325403E+000,-7.0749848505468327E+000
1.8481,1.8994858376119748E+000,-6.7681533106221776E+000
1.8541,1.7093084099839506E+000,-6.4682214779177842E+000
1.8601,1.5211529082456701E+000,-6.1769081336796017E+000
1.8661,1.3353407533172650E+000,-5.8950934627932323E+000
1.8721,1.1519902588435529E+000,-5.6230216067247483E+000
1.8781,9.7107397021756936E-001,-5.3604731127786769E+000
1.8841,7.9246484180154453E-001,-5.1069033024906121E+000
1.8901,6.1597187154295696E-001,-4.8615486388335256E+000
1.8961,4.4136671346868228E-001,-4.6235058086133272E+000
1.9021,2.6840301701528485E-001,-4.3917888783399830E+000
1.9081,9.6830129856405336E-002,-4.1653695189818576E+000
1.9141,-7.3597450307203369E-002,-3.9432045273390912E+000
1.9201,-2.4311377035782900E-001,-3.7242540227767895E+000
1.9261,-4.1193741694136010E-001,-3.5074929196554403E+000
1.9321,-5.8026918388726778E-001,-3.2919176237906536E+000
1.9381,-7.4829095687218072E-001,-3.0765493828599975E+000
1.9441,-9.1616549391955759E-001,-2.8604353216668339E+000
1.9501,-1.0840368810108596E+000,-2.6426478923786099E+000
