"time","Resistor_1.R","Resistor_1.v","Triphasic_Rectifier_1.I1.v","Triphasic_Rectifier_1.I2.v","Triphasic_Rectifier_1.I3.v"
0.0081,1.0000000000000000E+000,4.9208768109875024E+002,1.8280121349999945E+002,-3.0929630950000006E+002,1.2649509600000061E+002
0.0082,1.0000000000000000E+000,4.8496303349383959E+002,1.7480793049999943E+002,-3.1016480239999999E+002,1.3535687190000061E+002
0.0083,1.0000000000000000E+000,4.7735978606106949E+002,1.6664213319999956E+002,-3.1072720020000003E+002,1.4408506690000044E+002
0.0084,1.0000000000000000E+000,4.6928544215036999E+002,1.5831188029999956E+002,-3.1098294770000001E+002,1.5267106740000042E+002
0.0085,1.0000000000000000E+000,4.7202875178335518E+002,1.4982539259999956E+002,-3.1093179259999994E+002,1.6110639990000044E+002
0.0086,1.0000000000000000E+000,4.7994692611749281E+002,1.4119104539999969E+002,-3.1057378529999994E+002,1.6938273990000027E+002
0.0087,1.0000000000000000E+000,4.8739145072476725E+002,1.3241735969999968E+002,-3.0990927920000001E+002,1.7749191950000025E+002
0.0088,1.0000000000000000E+000,4.9435497895211381E+002,1.2351299399999971E+002,-3.0893893009999999E+002,1.8542593610000029E+002
0.0089,1.0000000000000000E+000,5.0083063853697917E+002,1.1448673589999984E+002,-3.0766369559999993E+002,1.9317695970000014E+002
0.009,1.0000000000000000E+000,5.0681203860718335E+002,1.0534749319999985E+002,-3.0608483410000002E+002,2.0073734090000013E+002
0.0091,1.0000000000000000E+000,5.1229327638078337E+002,9.6104285249999847E+001,-3.0420390379999992E+002,2.0809961860000013E+002
0.0092,1.0000000000000000E+000,5.1726894266596503E+002,8.6766233979999996E+001,-3.0202276110000003E+002,2.1525652710000000E+002
0.0093,1.0000000000000000E+000,5.2173412686094139E+002,7.7342554910000004E+001,-2.9954355829999997E+002,2.2220100339999999E+002
0.0094,1.0000000000000000E+000,5.2568442245384472E+002,6.7842548070000007E+001,-2.9676874220000002E+002,2.2892619410000000E+002
0.0095,1.0000000000000000E+000,5.2911593092264559E+002,5.8275588840000161E+001,-2.9370105110000003E+002,2.3542546229999991E+002
0.0096,1.0000000000000000E+000,5.3202526593507253E+002,4.8651118630000163E+001,-2.9034351260000005E+002,2.4169239399999989E+002
0.0097,1.0000000000000000E+000,5.3440955624855098E+002,3.8978635640000171E+001,-2.8669944010000006E+002,2.4772080449999990E+002
0.0098,1.0000000000000000E+000,5.3626644891014075E+002,2.9267685440000339E+001,-2.8277242990000019E+002,2.5350474449999979E+002
0.0099,1.0000000000000000E+000,5.3759411125649558E+002,1.9527851570000337E+001,-2.7856635740000019E+002,2.5903850589999985E+002
0.01,1.0000000000000000E+000,5.3839123311381945E+002,9.7687460730005089E+000,-2.7408537360000025E+002,2.6431662749999970E+002
0.0101,1.0000000000000000E+000,5.3865702789784393E+002,9.6065333148095591E-013,-2.6933390060000022E+002,2.6933390059999971E+002
0.0102,1.0000000000000000E+000,5.3839123311381934E+002,-9.7687460729994928E+000,-2.6431662750000027E+002,2.7408537359999980E+002
0.0103,1.0000000000000000E+000,5.3759411125649569E+002,-1.9527851569999324E+001,-2.5903850590000042E+002,2.7856635739999973E+002
0.0104,1.0000000000000000E+000,5.3626644891014087E+002,-2.9267685439999322E+001,-2.5350474450000036E+002,2.8277242989999974E+002
0.0105,1.0000000000000000E+000,5.3440955624855133E+002,-3.8978635639999325E+001,-2.4772080450000041E+002,2.8669944009999972E+002
0.0106,1.0000000000000000E+000,5.3202526593507309E+002,-4.8651118629999161E+001,-2.4169239400000055E+002,2.9034351259999966E+002
0.0107,1.0000000000000000E+000,5.2911593092264604E+002,-5.8275588839999166E+001,-2.3542546230000053E+002,2.9370105109999969E+002
0.0108,1.0000000000000000E+000,5.2568442245384483E+002,-6.7842548069999182E+001,-2.2892619410000057E+002,2.9676874219999974E+002
0.0109,1.0000000000000000E+000,5.2173412686094196E+002,-7.7342554909999023E+001,-2.2220100340000070E+002,2.9954355829999969E+002
0.011,1.0000000000000000E+000,5.1726894266596560E+002,-8.6766233979999015E+001,-2.1525652710000071E+002,3.0202276109999980E+002
0.0111,1.0000000000000000E+000,5.1229327638078382E+002,-9.6104285249999037E+001,-2.0809961860000078E+002,3.0420390379999975E+002
0.0112,1.0000000000000000E+000,5.0681203860718398E+002,-1.0534749319999888E+002,-2.0073734090000087E+002,3.0608483409999980E+002
0.0113,1.0000000000000000E+000,5.0083063853697979E+002,-1.1448673589999888E+002,-1.9317695970000091E+002,3.0766369559999981E+002
0.0114,1.0000000000000000E+000,4.9435497895211427E+002,-1.2351299399999891E+002,-1.8542593610000097E+002,3.0893893009999982E+002
0.0115,1.0000000000000000E+000,4.8739145072476799E+002,-1.3241735969999874E+002,-1.7749191950000107E+002,3.0990927919999984E+002
0.0116,1.0000000000000000E+000,4.7994692611749372E+002,-1.4119104539999881E+002,-1.6938273990000113E+002,3.1057378529999994E+002
0.0117,1.0000000000000000E+000,4.7202875178335580E+002,-1.4982539259999876E+002,-1.6110639990000115E+002,3.1093179259999994E+002
0.0118,1.0000000000000000E+000,4.6928544215036925E+002,-1.5831188029999871E+002,-1.5267106740000133E+002,3.1098294770000001E+002
0.0119,1.0000000000000000E+000,4.7735978606106880E+002,-1.6664213319999868E+002,-1.4408506690000132E+002,3.1072720020000008E+002
0.012,1.0000000000000000E+000,4.8496303349383902E+002,-1.7480793049999858E+002,-1.3535687190000149E+002,3.1016480240000010E+002
0.0121,1.0000000000000000E+000,4.9208768109874961E+002,-1.8280121349999860E+002,-1.2649509600000154E+002,3.0929630950000018E+002
0.0122,1.0000000000000000E+000,4.9872669741643170E+002,-1.9061409369999865E+002,-1.1750848470000156E+002,3.0812257840000018E+002
0.0123,1.0000000000000000E+000,5.0487353067792225E+002,-1.9823886079999855E+002,-1.0840590670000174E+002,3.0664476750000023E+002
0.0124,1.0000000000000000E+000,5.1052211480454531E+002,-2.0566799009999858E+002,-9.9196345190001765E+001,3.0486433530000033E+002
0.0125,1.0000000000000000E+000,5.1566687520779374E+002,-2.1289414989999861E+002,-8.9888888850001777E+001,3.0278303880000038E+002
0.0126,1.0000000000000000E+000,5.2030273468921348E+002,-2.1991020889999851E+002,-8.0492723030001954E+001,3.0040293200000053E+002
0.0127,1.0000000000000000E+000,5.2442511814030797E+002,-2.2670924309999862E+002,-7.1017120600001974E+001,2.9772636370000055E+002
0.0128,1.0000000000000000E+000,5.2802995744244049E+002,-2.3328454269999861E+002,-6.1471432860001990E+001,2.9475597550000060E+002
0.0129,1.0000000000000000E+000,5.3111369476676884E+002,-2.3962961849999857E+002,-5.1865080230002164E+001,2.9149469870000075E+002
0.013,1.0000000000000000E+000,5.3367328707415504E+002,-2.4573820879999860E+002,-4.2207543030002178E+001,2.8794575190000080E+002
0.0131,1.0000000000000000E+000,5.3570620831512053E+002,-2.5160428529999868E+002,-3.2508352080002183E+001,2.8411263730000087E+002
0.0132,1.0000000000000000E+000,5.3721045212979300E+002,-2.5722205859999866E+002,-2.2777079310002364E+001,2.7999913790000102E+002
0.0133,1.0000000000000000E+000,5.3818453404786248E+002,-2.6258598479999870E+002,-1.3023328310002370E+001,2.7560931310000109E+002
0.0134,1.0000000000000000E+000,5.3862749298855101E+002,-2.6769077039999877E+002,-3.2567248600023726E+000,2.7094749530000115E+002
0.0135,1.0000000000000000E+000,5.3853889146060806E+002,-2.7253137749999877E+002,6.5130925839974578E+000,2.6601828490000128E+002
0.0136,1.0000000000000000E+000,5.3791881706228241E+002,-2.7710302899999880E+002,1.6276482389997462E+001,2.6082654660000134E+002
0.0137,1.0000000000000000E+000,5.3676788178133336E+002,-2.8140121329999891E+002,2.6023809279997462E+001,2.5537740400000143E+002
