"time","y","z"
2.49,5.6398820000000551E+000,1.2250000000006922E-001
2.51,5.6405680000000569E+000,-7.3499999999930829E-002
2.53,5.6373340000000578E+000,-2.6949999999993085E-001
2.55,5.6301800000000597E+000,-4.6549999999993091E-001
2.57,5.6191060000000617E+000,-6.6149999999993048E-001
2.59,5.6041120000000628E+000,-8.5749999999992998E-001
2.61,5.5851980000000641E+000,-1.0534999999999297E+000
2.63,5.5623640000000663E+000,-1.2494999999999303E+000
2.65,5.5356100000000676E+000,-1.4454999999999310E+000
2.67,5.5049360000000691E+000,-1.6414999999999316E+000
2.69,5.4703420000000706E+000,-1.8374999999999322E+000
2.71,5.4318280000000723E+000,-2.0334999999999326E+000
2.73,5.3893940000000740E+000,-2.2294999999999332E+000
2.75,5.3430400000000757E+000,-2.4254999999999338E+000
2.77,5.2927660000000776E+000,-2.6214999999999344E+000
2.79,5.2385720000000786E+000,-2.8174999999999351E+000
2.81,5.1804580000000797E+000,-3.0134999999999357E+000
2.83,5.1184240000000809E+000,-3.2094999999999363E+000
2.85,5.0524700000000813E+000,-3.4054999999999369E+000
2.87,4.9825960000000826E+000,-3.6014999999999375E+000
2.89,4.9088020000000840E+000,-3.7974999999999381E+000
2.91,4.8310880000000846E+000,-3.9934999999999388E+000
2.93,4.7494540000000853E+000,-4.1894999999999349E+000
2.95,4.6639000000000870E+000,-4.3854999999999311E+000
2.97,4.5744260000000887E+000,-4.5814999999999273E+000
2.99,4.4810320000000905E+000,-4.7774999999999235E+000
3.01,4.3837180000000924E+000,-4.9734999999999197E+000
3.03,4.2824840000000943E+000,-5.1694999999999158E+000
3.05,4.1773300000000955E+000,-5.3654999999999120E+000
3.07,4.0682560000000976E+000,-5.5614999999999082E+000
3.09,3.9552620000000998E+000,-5.7574999999999044E+000
3.11,3.8383480000001020E+000,-5.9534999999999005E+000
3.13,3.7175140000001039E+000,-6.1494999999998967E+000
3.15,3.5927600000001059E+000,-6.3454999999998929E+000
3.17,3.4640860000001084E+000,-6.5414999999998891E+000
3.19,3.3314920000001105E+000,-6.7374999999998852E+000
3.21,3.1949780000001127E+000,-6.9334999999998814E+000
3.23,3.0545440000001149E+000,-7.1294999999998776E+000
3.25,2.9101900000001173E+000,-7.3254999999998738E+000
3.27,2.7619160000001202E+000,-7.5214999999998700E+000
3.29,2.6097220000001227E+000,-7.7174999999998661E+000
3.31,2.4536080000001252E+000,-7.9134999999998623E+000
3.33,2.2935740000001275E+000,-8.1094999999998638E+000
3.35,2.1296200000001302E+000,-8.3054999999998689E+000
3.37,1.9617460000001328E+000,-8.5014999999998739E+000
3.39,1.7899520000001354E+000,-8.6974999999998790E+000
3.41,1.6142380000001380E+000,-8.8934999999998841E+000
3.43,1.4346040000001401E+000,-9.0894999999998891E+000
3.45,1.2510500000001421E+000,-9.2854999999998942E+000
3.47,1.0635760000001444E+000,-9.4814999999998992E+000
3.49,8.7218200000014623E-001,-9.6774999999999043E+000
3.51,6.7686800000014813E-001,-9.8734999999999093E+000
3.53,4.7763400000014988E-001,-1.0069499999999914E+001
3.55,2.7448000000015155E-001,-1.0265499999999919E+001
3.57,6.7406000000153093E-002,-1.0461499999999925E+001
3.59,7.7749900000153055E-002,7.7873249999999477E+000
3.61,2.3173240000015202E-001,7.5913249999999515E+000
3.63,3.8179490000015109E-001,7.3953249999999553E+000
3.65,5.2793740000015010E-001,7.1993249999999591E+000
3.67,6.7015990000014936E-001,7.0033249999999629E+000
3.69,8.0846240000014868E-001,6.8073249999999668E+000
3.71,9.4284490000014798E-001,6.6113249999999706E+000
3.73,1.0733074000001477E+000,6.4153249999999744E+000
3.75,1.1998499000001472E+000,6.2193249999999782E+000
3.77,1.3224724000001467E+000,6.0233249999999821E+000
3.79,1.4411749000001464E+000,5.8273249999999859E+000
3.81,1.5559574000001464E+000,5.6313249999999897E+000
3.83,1.6668199000001462E+000,5.4353249999999935E+000
3.85,1.7737624000001462E+000,5.2393249999999973E+000
3.87,1.8767849000001460E+000,5.0433250000000012E+000
3.89,1.9758874000001461E+000,4.8473250000000050E+000
3.91,2.0710699000001460E+000,4.6513250000000088E+000
3.93,2.1623324000001460E+000,4.4553250000000126E+000
3.95,2.2496749000001466E+000,4.2593250000000165E+000
3.97,2.3330974000001472E+000,4.0633250000000203E+000
3.99,2.4125999000001475E+000,3.8673250000000210E+000
4.01,2.4881824000001478E+000,3.6713250000000204E+000
4.03,2.5598449000001482E+000,3.4753250000000198E+000
4.05,2.6275874000001487E+000,3.2793250000000191E+000
4.07,2.6914099000001492E+000,3.0833250000000185E+000
4.09,2.7513124000001494E+000,2.8873250000000179E+000
4.11,2.8072949000001497E+000,2.6913250000000173E+000
4.13,2.8593574000001505E+000,2.4953250000000167E+000
4.15,2.9074999000001509E+000,2.2993250000000161E+000
4.17,2.9517224000001514E+000,2.1033250000000154E+000
4.19,2.9920249000001515E+000,1.9073250000000148E+000
4.21,3.0284074000001517E+000,1.7113250000000142E+000
4.23,3.0608699000001520E+000,1.5153250000000136E+000
4.25,3.0894124000001519E+000,1.3193250000000130E+000
4.27,3.1140349000001519E+000,1.1233250000000123E+000
4.29,3.1347374000001524E+000,9.2732500000001217E-001
4.31,3.1515199000001526E+000,7.3132500000001266E-001
4.33,3.1643824000001528E+000,5.3532500000001315E-001
4.35,3.1733249000001527E+000,3.3932500000001314E-001
4.37,3.1783474000001530E+000,1.4332500000001308E-001
4.39,3.1794499000001535E+000,-5.2674999999986968E-002
4.41,3.1766324000001536E+000,-2.4867499999998702E-001
4.43,3.1698949000001537E+000,-4.4467499999998705E-001
4.45,3.1592374000001540E+000,-6.4067499999998667E-001
4.47,3.1446599000001543E+000,-8.3667499999998618E-001
4.49,3.1261624000001547E+000,-1.0326749999999858E+000
4.51,3.1037449000001547E+000,-1.2286749999999864E+000
4.53,3.0774074000001548E+000,-1.4246749999999870E+000
4.55,3.0471499000001554E+000,-1.6206749999999877E+000
4.57,3.0129724000001556E+000,-1.8166749999999883E+000
4.59,2.9748749000001560E+000,-2.0126749999999887E+000
4.61,2.9328574000001559E+000,-2.2086749999999893E+000
4.63,2.8869199000001564E+000,-2.4046749999999899E+000
4.65,2.8370624000001570E+000,-2.6006749999999905E+000
4.67,2.7832849000001572E+000,-2.7966749999999911E+000
4.69,2.7255874000001574E+000,-2.9926749999999918E+000
4.71,2.6639699000001578E+000,-3.1886749999999924E+000
4.73,2.5984324000001577E+000,-3.3846749999999930E+000
4.75,2.5289749000001578E+000,-3.5806749999999936E+000
4.77,2.4555974000001575E+000,-3.7766749999999942E+000
4.79,2.3782999000001577E+000,-3.9726749999999948E+000
4.81,2.2970824000001580E+000,-4.1686749999999915E+000
4.83,2.2119449000001579E+000,-4.3646749999999876E+000
4.85,2.1228874000001583E+000,-4.5606749999999838E+000
4.87,2.0299099000001584E+000,-4.7566749999999800E+000
4.89,1.9330124000001592E+000,-4.9526749999999762E+000
4.91,1.8321949000001596E+000,-5.1486749999999724E+000
4.93,1.7274574000001601E+000,-5.3446749999999685E+000
4.95,1.6187999000001609E+000,-5.5406749999999647E+000
4.97,1.5062224000001618E+000,-5.7366749999999609E+000
4.99,1.3897249000001626E+000,-5.9326749999999571E+000
5.01,1.2693074000001634E+000,-6.1286749999999532E+000
5.03,1.1449699000001643E+000,-6.3246749999999494E+000
5.05,1.0167124000001655E+000,-6.5206749999999456E+000
5.07,8.8453490000016655E-001,-6.7166749999999418E+000
5.09,7.4843740000016767E-001,-6.9126749999999380E+000
5.11,6.0841990000016899E-001,-7.1086749999999341E+000
5.13,4.6448240000017038E-001,-7.3046749999999303E+000
5.15,3.1662490000017179E-001,-7.5006749999999265E+000
5.17,1.6484740000017328E-001,-7.6966749999999227E+000
5.19,9.1499000001748626E-003,-7.8926749999999188E+000
5.21,9.8769062500173962E-002,5.7578062499999421E+000
5.23,2.1216118750017285E-001,5.5618062499999459E+000
5.25,3.2163331250017174E-001,5.3658062499999497E+000
5.27,4.2718543750017074E-001,5.1698062499999535E+000
5.29,5.2881756250016987E-001,4.9738062499999574E+000
5.31,6.2652968750016913E-001,4.7778062499999612E+000
5.33,7.2032181250016825E-001,4.5818062499999650E+000
5.35,8.1019393750016766E-001,4.3858062499999688E+000
5.37,8.9614606250016704E-001,4.1898062499999726E+000
5.39,9.7817818750016650E-001,3.9938062499999760E+000
5.41,1.0562903125001657E+000,3.7978062499999754E+000
5.43,1.1304824375001654E+000,3.6018062499999748E+000
5.45,1.2007545625001650E+000,3.4058062499999742E+000
5.47,1.2671066875001644E+000,3.2098062499999735E+000
5.49,1.3295388125001637E+000,3.0138062499999729E+000
5.51,1.3880509375001633E+000,2.8178062499999723E+000
5.53,1.4426430625001627E+000,2.6218062499999717E+000
5.55,1.4933151875001620E+000,2.4258062499999711E+000
5.57,1.5400673125001612E+000,2.2298062499999705E+000
5.59,1.5828994375001608E+000,2.0338062499999698E+000
5.61,1.6218115625001603E+000,1.8378062499999692E+000
5.63,1.6568036875001597E+000,1.6418062499999686E+000
5.65,1.6878758125001589E+000,1.4458062499999680E+000
5.67,1.7150279375001585E+000,1.2498062499999674E+000
5.69,1.7382600625001579E+000,1.0538062499999667E+000
5.71,1.7575721875001571E+000,8.5780624999996702E-001
5.73,1.7729643125001562E+000,6.6180624999996751E-001
5.75,1.7844364375001556E+000,4.6580624999996789E-001
5.77,1.7919885625001550E+000,2.6980624999996783E-001
5.79,1.7956206875001544E+000,7.3806249999967766E-002
5.81,1.7953328125001535E+000,-1.2219375000003228E-001
5.83,1.7911249375001528E+000,-3.1819375000003230E-001
5.85,1.7829970625001523E+000,-5.1419375000003231E-001
5.87,1.7709491875001517E+000,-7.1019375000003182E-001
5.89,1.7549813125001510E+000,-9.0619375000003133E-001
5.91,1.7350934375001501E+000,-1.1021937500000314E+000
5.93,1.7112855625001497E+000,-1.2981937500000320E+000
5.95,1.6835576875001492E+000,-1.4941937500000326E+000
5.97,1.6519098125001486E+000,-1.6901937500000332E+000
5.99,1.6163419375001478E+000,-1.8861937500000339E+000
6.01,1.5768540625001473E+000,-2.0821937500000343E+000
6.03,1.5334461875001466E+000,-2.2781937500000349E+000
6.05,1.4861183125001458E+000,-2.4741937500000355E+000
6.07,1.4348704375001449E+000,-2.6701937500000361E+000
6.09,1.3797025625001442E+000,-2.8661937500000367E+000
6.11,1.3206146875001437E+000,-3.0621937500000374E+000
6.13,1.2576068125001429E+000,-3.2581937500000380E+000
6.15,1.1906789375001421E+000,-3.4541937500000386E+000
6.17,1.1198310625001413E+000,-3.6501937500000392E+000
6.19,1.0450631875001406E+000,-3.8461937500000398E+000
6.21,9.6637531250013942E-001,-4.0421937500000391E+000
6.23,8.8376743750013864E-001,-4.2381937500000353E+000
6.25,7.9723956250013794E-001,-4.4341937500000315E+000
6.27,7.0679168750013732E-001,-4.6301937500000276E+000
6.29,6.1242381250013689E-001,-4.8261937500000238E+000
6.31,5.1413593750013642E-001,-5.0221937500000200E+000
6.33,4.1192806250013603E-001,-5.2181937500000162E+000
6.35,3.0580018750013577E-001,-5.4141937500000124E+000
6.37,1.9575231250013553E-001,-5.6101937500000085E+000
6.39,8.1784437500135379E-002,-5.8061937500000047E+000
6.41,2.6302196875135336E-002,4.3987453125000027E+000
6.43,1.1251310312513542E-001,4.2027453125000065E+000
6.45,1.9480400937513559E-001,4.0067453125000103E+000
6.47,2.7317491562513579E-001,3.8107453125000097E+000
6.49,3.4762582187513597E-001,3.6147453125000091E+000
6.51,4.1815672812513616E-001,3.4187453125000085E+000
6.53,4.8476763437513631E-001,3.2227453125000078E+000
6.55,5.4745854062513644E-001,3.0267453125000072E+000
6.57,6.0622944687513658E-001,2.8307453125000066E+000
6.59,6.6108035312513669E-001,2.6347453125000060E+000
6.61,7.1201125937513687E-001,2.4387453125000054E+000
6.63,7.5902216562513691E-001,2.2427453125000048E+000
6.65,8.0211307187513703E-001,2.0467453125000041E+000
6.67,8.4128397812513711E-001,1.8507453125000035E+000
6.69,8.7653488437513716E-001,1.6547453125000029E+000
6.71,9.0786579062513728E-001,1.4587453125000023E+000
6.73,9.3527669687513726E-001,1.2627453125000017E+000
6.75,9.5876760312513731E-001,1.0667453125000010E+000
6.77,9.7833850937513733E-001,8.7074531250000120E-001
6.79,9.9398941562513743E-001,6.7474531250000169E-001
6.81,1.0057203218751374E+000,4.7874531250000207E-001
6.83,1.0135312281251372E+000,2.8274531250000201E-001
6.85,1.0174221343751375E+000,8.6745312500001948E-002
6.87,1.0173930406251377E+000,-1.0925468749999810E-001
6.89,1.0134439468751377E+000,-3.0525468749999812E-001
6.91,1.0055748531251376E+000,-5.0125468749999813E-001
6.93,9.9378575937513791E-001,-6.9725468749999764E-001
6.95,9.7807666562513795E-001,-8.9325468749999715E-001
6.97,9.5844757187513796E-001,-1.0892546874999971E+000
