"time","Out1","Out2","Out3[1]","Out3[2]","Out4","Out5","Out6"
2.721,1.9124383628153350E+000,1.0000000000000000E+000,2.3107858369699650E+000,1.9124383628153350E+000,8.2509862297079373E+000,6.9376365845200672E-001,-5.2491104591132121E-001
2.741,1.9204396189477240E+000,1.0000000000000000E+000,2.3491152277714256E+000,1.9204396189477240E+000,8.3991535584618262E+000,6.8794738754187978E-001,-5.4454484386396440E-001
2.761,1.9280727115048992E+000,1.0000000000000000E+000,2.3876009672714407E+000,1.9280727115048992E+000,8.5501561306278280E+000,6.8188177498711855E-001,-5.6430916153066202E-001
2.781,1.9353345873516108E+000,1.0000000000000000E+000,2.4262356614206828E+000,1.9353345873516108E+000,8.7040586903019150E+000,6.7556873552045416E-001,-5.8419711631070237E-001
2.801,1.9422223418343438E+000,1.0000000000000000E+000,2.4650118565899519E+000,1.9422223418343438E+000,8.8609273496821661E+000,6.6901029296910441E-001,-6.0420175589613501E-001
2.821,1.9487332199431406E+000,1.0000000000000000E+000,2.5039220425515269E+000,1.9487332199431406E+000,9.0208296136949304E+000,6.6220857924474141E-001,-6.2431606145365803E-001
2.841,1.9548646174135682E+000,1.0000000000000000E+000,2.5429586554831545E+000,1.9548646174135682E+000,9.1838344050956113E+000,6.5516583329419764E-001,-6.4453295082517337E-001
2.861,1.9606140817683895E+000,1.0000000000000000E+000,2.5821140809934811E+000,1.9606140817683895E+000,9.3500120900548662E+000,6.4788440001125180E-001,-6.6484528174588631E-001
2.881,1.9659793132985210E+000,1.0000000000000000E+000,2.6213806571677045E+000,1.9659793132985210E+000,9.5194345042412358E+000,6.4036672910985148E-001,-6.8524585507881863E-001
2.901,1.9709581659828861E+000,1.0000000000000000E+000,2.6607506776322389E+000,1.9709581659828861E+000,9.6921749794114973E+000,6.3261537395914924E-001,-7.0572741806458816E-001
2.921,1.9755486483467948E+000,1.0000000000000000E+000,2.7002163946371622E+000,1.9755486483467948E+000,9.8683083705201842E+000,6.2463299038074382E-001,-7.2628266758530768E-001
2.941,1.9797489242585071E+000,1.0000000000000000E+000,2.7397700221552119E+000,1.9797489242585071E+000,1.0047911083360074E+001,6.1642233540853342E-001,-7.4690425344144096E-001
2.961,1.9835573136636613E+000,1.0000000000000000E+000,2.7794037389960926E+000,1.9835573136636613E+000,1.0231061102745544E+001,6.0798626601160821E-001,-7.6758478164044575E-001
2.981,1.9869722932572733E+000,1.0000000000000000E+000,2.8191096919348473E+000,1.9869722932572733E+000,1.0417838021251095E+001,5.9932773778062187E-001,-7.8831681769603046E-001
3.001,1.9899924970930380E+000,1.0000000000000000E+000,2.8588799988530433E+000,1.9899924970930380E+000,1.0608323068517466E+001,5.9044980357809884E-001,-8.0909288993684114E-001
3.021,1.9926167171296902E+000,1.0000000000000000E+000,2.8987067518915137E+000,1.9926167171296902E+000,1.0802599141138099E+001,5.8135561215315157E-001,-8.2990549282338777E-001
3.041,1.9948439037142038E+000,1.0000000000000000E+000,2.9385820206133961E+000,1.9948439037142038E+000,1.1000750833138957E+001,5.7204840672109480E-001,-8.5074709027201501E-001
3.061,1.9966731660016410E+000,1.0000000000000000E+000,2.9784978551762014E+000,1.9966731660016410E+000,1.1202864467064941E+001,5.6253152350846158E-001,-8.7161011898471852E-001
3.081,1.9981037723114763E+000,1.0000000000000000E+000,3.0184462895116462E+000,1.9981037723114763E+000,1.1409028125686465E+001,5.5280839026393902E-001,-8.9248699178359903E-001
3.101,1.9991351504202604E+000,1.0000000000000000E+000,3.0584193445119712E+000,1.9991351504202604E+000,1.1619331684339970E+001,5.4288252473575893E-001,-9.1337010094874316E-001
3.121,1.9997668877905013E+000,1.0000000000000000E+000,3.0984090312214807E+000,1.9997668877905013E+000,1.1833866843916512E+001,5.3275753311608975E-001,-9.3425182155832254E-001
3.141,1.9999987317356740E+000,1.0000000000000000E+000,3.1384073540320161E+000,1.9999987317356740E+000,1.2052727164512763E+001,5.2243710845299451E-001,-9.5512451482968574E-001
3.161,1.9998305895212916E+000,9.9965663711382846E-001,3.1784063138810947E+000,1.9998305895212916E+000,1.2276008099759125E+001,5.1192502903053050E-001,-9.7598053146023134E-001
3.181,1.9992625284019980E+000,9.9852051487524107E-001,3.2183979114514254E+000,1.9992625284019980E+000,1.2503807031839926E+001,5.0122515671758217E-001,-9.9681221496683448E-001
3.201,1.9982947755946667E+000,9.9658500926057869E-001,3.2583741503705310E+000,1.9982947755946667E+000,1.2736223307220959E+001,4.9034143528603141E-001,-1.0176119050226049E+000
3.221,1.9969277181875178E+000,9.9385089444628072E-001,3.2983270404091907E+000,1.9969277181875178E+000,1.2973358273099949E+001,4.7927788869888299E-001,-1.0383719407897525E+000
3.241,1.9951619029852867E+000,9.9031926404181836E-001,3.3382486006774239E+000,1.9951619029852867E+000,1.3215315314595861E+001,4.6803861936897662E-001,-1.0590846642473344E+000
3.261,1.9929980362905106E+000,9.8599153065226575E-001,3.3781308628167408E+000,1.9929980362905106E+000,1.3462199892693233E+001,4.5662780638892869E-001,-1.0797424235126540E+000
3.281,1.9904369836210158E+000,9.8086942531327637E-001,3.4179658741873782E+000,1.9904369836210158E+000,1.3714119582958130E+001,4.4504970373296071E-001,-1.1003375761550953E+000
3.301,1.9874797693637236E+000,9.7495499679869202E-001,3.4577457010492521E+000,1.9874797693637236E+000,1.3971184115042510E+001,4.3330863843128270E-001,-1.1208624925011588E+000
3.321,1.9841275763649078E+000,9.6825061080106045E-001,3.4974624317353444E+000,1.9841275763649078E+000,1.4233505412994315E+001,4.2140900871771209E-001,-1.1413095589294842E+000
3.341,1.9803817454570727E+000,9.6075894898539016E-001,3.5371081798162680E+000,1.9803817454570727E+000,1.4501197636390772E+001,4.0935528215122052E-001,-1.1616711811546321E+000
3.361,1.9762437749226376E+000,9.5248300791651985E-001,3.5766750872547295E+000,1.9762437749226376E+000,1.4774377222312820E+001,3.9715199371211229E-001,-1.1819397874984134E+000
3.381,1.9717153198946442E+000,9.4342609786053266E-001,3.6161553275486424E+000,1.9717153198946442E+000,1.5053162928178983E+001,3.8480374387354899E-001,-1.2021078321475465E+000
3.401,1.9667981916947250E+000,9.3359184146069385E-001,3.6555411088616219E+000,1.9667981916947250E+000,1.5337675875457258E+001,3.7231519664914592E-001,-1.2221677983964332E+000
3.421,1.9614943571085988E+000,9.2298417228844165E-001,3.6948246771396165E+000,1.9614943571085988E+000,1.5628039594274039E+001,3.5969107761737668E-001,-1.2421122018738457E+000
3.441,1.9558059375993837E+000,9.1160733327001142E-001,3.7339983192124264E+000,1.9558059375993837E+000,1.5924380068939495E+001,3.4693617192353149E-001,-1.2619335937523211E+000
3.461,1.9497352084590387E+000,8.9946587498932107E-001,3.7730543658788673E+000,1.9497352084590387E+000,1.6226825784409094E+001,3.3405532225998585E-001,-1.2816245639390673E+000
3.481,1.9432845978982778E+000,8.8656465386779915E-001,3.8119851949743495E+000,1.9432845978982778E+000,1.6535507773701521E+001,3.2105342682554455E-001,-1.3011777442471888E+000
3.501,1.9364566860753183E+000,8.7290883022188015E-001,3.8507832344196431E+000,1.9364566860753183E+000,1.6850559666293456E+001,3.0793543726463651E-001,-1.3205858115460454E+000
3.521,1.9292542040638518E+000,8.5850386619894725E-001,3.8894409652496069E+000,1.9292542040638518E+000,1.7172117737512256E+001,2.9470635658714356E-001,-1.3398414908895648E+000
3.541,1.9216800327606511E+000,8.4335552359254606E-001,3.9279509246206756E+000,1.9216800327606511E+000,1.7500320958947889E+001,2.8137123706965539E-001,-1.3589375586213404E+000
3.561,1.9137372017332501E+000,8.2746986153774393E-001,3.9663057087958964E+000,1.9137372017332501E+000,1.7835311049905922E+001,2.6793517813895146E-001,-1.3778668454553473E+000
3.581,1.9054288880081567E+000,8.1085323408755672E-001,4.0044979761063271E+000,1.9054288880081567E+000,1.8177232529923785E+001,2.5440332423851786E-001,-1.3966222395311210E+000
3.601,1.8967584148000847E+000,7.9351228767141246E-001,4.0425204498876033E+000,1.8967584148000847E+000,1.8526232772373067E+001,2.4078086267891491E-001,-1.4151966894422545E+000
3.621,1.8877292501827125E+000,7.7545395843666809E-001,4.0803659213905092E+000,1.8877292501827125E+000,1.8882462059170845E+001,2.2707302147281905E-001,-1.4335832072370738E+000
3.641,1.8783450057014999E+000,7.5668546947424298E-001,4.1180272526643806E+000,1.8783450057014999E+000,1.9246073636623727E+001,2.1328506715556830E-001,-1.4517748713903627E+000
3.661,1.8686094349291178E+000,7.3721432792947883E-001,4.1554973794121874E+000,1.8686094349291178E+000,1.9617223772428623E+001,1.9942230259204816E-001,-1.4697648297450210E+000
3.681,1.8585264319640693E+000,7.1704832199938195E-001,4.1927693138161652E+000,1.8585264319640693E+000,1.9996071813854737E+001,1.8549006477076022E-001,-1.4875463024225484E+000
3.701,1.8481000298731023E+000,6.9619551781744771E-001,4.2298361473328390E+000,1.8481000298731023E+000,2.0382780247131855E+001,1.7149372258592221E-001,-1.5051125847012572E+000
3.721,1.8373343990780360E+000,6.7466425622731530E-001,4.2666910534563582E+000,1.8373343990780360E+000,2.0777514758070328E+001,1.5743867460845315E-001,-1.5224570498611290E+000
3.741,1.8262338456876488E+000,6.5246314944654105E-001,4.3033272904490030E+000,1.8262338456876488E+000,2.1180444293938844E+001,1.4333034684670248E-001,-1.5395731519942430E+000
3.761,1.8148028097752915E+000,6.2960107762182649E-001,4.3397382040377899E+000,1.8148028097752915E+000,2.1591741126626435E+001,1.2917419049778708E-001,-1.5564544287797166E+000
3.781,1.8030458636029174E+000,6.0608718527707806E-001,4.3759172300760918E+000,1.8030458636029174E+000,2.2011580917115797E+001,1.1497567969040426E-001,-1.5730945042221081E+000
3.801,1.7909677097922381E+000,5.8193087765571916E-001,4.4118578971692113E+000,1.7909677097922381E+000,2.2440142781295442E+001,1.0074030921999264E-001,-1.5894870913522519E+000
3.821,1.7785731794437378E+000,5.5714181695871856E-001,4.4475538292628496E+000,1.7785731794437378E+000,2.2877609357138844E+001,8.6473592277116956E-002,-1.6056259948895029E+000
3.841,1.7658672302042977E+000,5.3172991847983853E-001,4.4829987481934470E+000,1.7658672302042977E+000,2.3324166873279182E+001,7.2181058169955847E-002,-1.6215051138643852E+000
