"time","J1.w","J2.w","J3.w","J4.w"
0.141,9.0043868784194867E+000,1.4027325598561136E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.144,8.9457020590638479E+000,1.4322570769208716E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.147,8.8865080890627546E+000,1.4617613285045810E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1501,8.8250864929953181E+000,1.4922273197155926E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1531,8.7656737200675447E+000,1.5216890719949743E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1561,8.7065572070832431E+000,1.5511292877666993E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1591,8.6480007813680047E+000,1.5805475486201341E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1621,8.5902634934345503E+000,1.6099434364566760E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1651,8.5335973213371670E+000,1.6393165334956905E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1681,8.4782449377989817E+000,1.6686664222804501E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1711,8.4244375599311265E+000,1.6979926856840699E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1741,8.3723929006298228E+000,1.7272949069154329E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1771,8.3223132398348234E+000,1.7565726695251145E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1801,8.2743836327688793E+000,1.7858255574113020E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1831,8.2287702710619168E+000,1.8150531548257072E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1861,8.1856190113066578E+000,1.8442550463794751E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1891,8.1450540841063148E+000,1.8734308170490885E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1921,8.1071769950728108E+000,1.9025800521822662E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1951,8.0720656275303995E+000,1.9317023375038531E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.1981,8.0397735548889973E+000,1.9607972591217135E+000,9.7867152443606302E-035,0.0000000000000000E+000
0.2011,8.0103295687906702E+000,1.9898644035326090E+000,1.8428864873369708E-034,0.0000000000000000E+000
0.2041,7.9837374272173740E+000,2.0189033576280773E+000,2.4150773443868743E-034,0.0000000000000000E+000
0.2071,7.9599758247957588E+000,2.0479137087003028E+000,1.9351689588981838E-034,0.0000000000000000E+000
0.2101,7.9389985855625227E+000,2.0768950444479843E+000,1.9349621517240146E-034,0.0000000000000000E+000
0.2131,7.9207350764792981E+000,2.1058469529821875E+000,2.1730098368294804E-034,0.0000000000000000E+000
0.2161,7.9050908380265899E+000,2.1347690228322089E+000,2.4105087903300506E-034,0.0000000000000000E+000
0.2191,7.8919484262795585E+000,2.1636608429514164E+000,2.1723438339423864E-034,0.0000000000000000E+000
0.2221,7.8811684589912456E+000,2.1925220027230918E+000,2.1730070440610572E-034,0.0000000000000000E+000
0.2251,7.8725908563980997E+000,2.2213520919662728E+000,2.4101784966277294E-034,0.0000000000000000E+000
0.2281,7.8660362657342464E+000,2.2501507009415751E+000,2.4102816507306353E-034,0.0000000000000000E+000
0.2311,7.8613076568103946E+000,2.2789174203570197E+000,2.4102816544865014E-034,0.0000000000000000E+000
0.2341,7.8581920744948253E+000,2.3076518413738474E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2371,7.8564625325412969E+000,2.3363535556123325E+000,2.4102816544866173E-034,0.0000000000000000E+000
0.2401,7.8558800319540367E+000,2.3650221551575847E+000,2.4102816544866173E-034,0.0000000000000000E+000
