"time","outputs[1]","outputs[2]"
6.22,4.2579166666668385E+01,4.3159772217290140E+01
6.24,4.2662500000001742E+01,4.3296627272969033E+01
6.26,4.2745833333335106E+01,4.3433118956935630E+01
6.28,4.2829166666668470E+01,4.3569248321884118E+01
6.3,4.2912500000001828E+01,4.3705016416886451E+01
6.32,4.2995833333335192E+01,4.3840424287407984E+01
6.34,4.3079166666668556E+01,4.3975472975324976E+01
6.36,4.3162500000001913E+01,4.4110163518939544E+01
6.38,4.3245833333335270E+01,4.4244496952996826E+01
6.4,4.3329166666668634E+01,4.4205168429122409E+01
6.42,4.3412500000001998E+01,4.4156804056688998E+01
6.44,4.3495833333335355E+01,4.4108536321163001E+01
6.46,4.3579166666668719E+01,4.4060365029453862E+01
6.48,4.3662500000002083E+01,4.4012289988857333E+01
6.5,4.3745833333335440E+01,4.3964311007053709E+01
6.52,4.3829166666668797E+01,4.3916427892107947E+01
6.54,4.3912500000002161E+01,4.3868640452468469E+01
6.56,4.3995833333335526E+01,4.3820948496966196E+01
6.58,4.4079166666668883E+01,4.3773351834814150E+01
6.6,4.4162500000002247E+01,4.3725850275606604E+01
6.62,4.4245833333335611E+01,4.3678443629318281E+01
6.64,4.4329166666668968E+01,4.3631131706303677E+01
6.66,4.4412500000002325E+01,4.3583914317295921E+01
6.68,4.4495833333335696E+01,4.3536791273406607E+01
6.7,4.4579166666669053E+01,4.3608695190575929E+01
6.72,4.4662500000002410E+01,4.3744358614899738E+01
6.74,4.4745833333335774E+01,4.3879662117539510E+01
6.76,4.4829166666669138E+01,4.4014606739332407E+01
6.78,4.4912500000002495E+01,4.4149193517546337E+01
6.8,4.4995833333335860E+01,4.4283423485896833E+01
6.82,4.5079166666669224E+01,4.4417297674562519E+01
6.84,4.5162500000002581E+01,4.4550817110201251E+01
6.86,4.5245833333335938E+01,4.4683982815966090E+01
6.88,4.5329166666669302E+01,4.4816795811520819E+01
6.9,4.5412500000002666E+01,4.4949257113055467E+01
6.92,4.5495833333336023E+01,4.5081367733302045E+01
6.94,4.5579166666669387E+01,4.5213128681550074E+01
6.96,4.5662500000002751E+01,4.5344540963661757E+01
6.98,4.5745833333336108E+01,4.5475605582086871E+01
7,4.5829166666669465E+01,4.5606323535878687E+01
7.02,4.5912500000002836E+01,4.5736695820708178E+01
7.04,4.5995833333336194E+01,4.5866723428879709E+01
7.06,4.6079166666669551E+01,4.5996407349345475E+01
7.08,4.6162500000002915E+01,4.6125748567720564E+01
7.1,4.6245833333336279E+01,4.6254748066297282E+01
7.12,4.6329166666669636E+01,4.6383406824060216E+01
7.14,4.6412500000003000E+01,4.6511725816700334E+01
7.16,4.6495833333336364E+01,4.6639706016629475E+01
7.18,4.6579166666669721E+01,4.6767348392994961E+01
7.2,4.6662500000003078E+01,4.6894653911693638E+01
7.22,4.6745833333336442E+01,4.7021623535385913E+01
7.24,4.6829166666669806E+01,4.7148258223510197E+01
7.26,4.6912500000003163E+01,4.7274558932296770E+01
7.28,4.6995833333336527E+01,4.7400526614781484E+01
7.3,4.7079166666669892E+01,4.7526162220819685E+01
7.32,4.7162500000003249E+01,4.7651466697100147E+01
7.34,4.7245833333336606E+01,4.7776440987158651E+01
7.36,4.7329166666669970E+01,4.7901086031391230E+01
7.38,4.7412500000003334E+01,4.8025402767068499E+01
7.4,4.7495833333336691E+01,4.8149392128348040E+01
7.42,4.7579166666670055E+01,4.8273055046288391E+01
7.44,4.7662500000003419E+01,4.8396392448862628E+01
7.46,4.7745833333336776E+01,4.8519405260970359E+01
7.48,4.7829166666670133E+01,4.8642094404452337E+01
7.5,4.7912500000003504E+01,4.8764460798102220E+01
7.52,4.7995833333336861E+01,4.8886505357680562E+01
7.54,4.8079166666670218E+01,4.9008228995926572E+01
7.56,4.8162500000003583E+01,4.9129632622572046E+01
7.58,4.8245833333336947E+01,4.9232775594117697E+01
7.6,4.8329166666670304E+01,4.9174365554118367E+01
7.62,4.8412500000003668E+01,4.9116072223285983E+01
7.64,4.8495833333337032E+01,4.9057895368423999E+01
7.66,4.8579166666670389E+01,4.8999834756801476E+01
7.68,4.8662500000003746E+01,4.8941890156152681E+01
7.7,4.8745833333337117E+01,4.8884061334676005E+01
7.72,4.8829166666670474E+01,4.8826348061033059E+01
7.74,4.8912500000003831E+01,4.8768750104347646E+01
7.76,4.8995833333337188E+01,4.8711267234204513E+01
7.78,4.9079166666670559E+01,4.8653899220649237E+01
7.8,4.9162500000003917E+01,4.8596645834186859E+01
7.82,4.9245833333337274E+01,4.8539506845780807E+01
7.84,4.9329166666670645E+01,4.8482482026852040E+01
7.86,4.9412500000004002E+01,4.8425571149278596E+01
7.88,4.9495833333337359E+01,4.8530556783194356E+01
7.9,4.9579166666670716E+01,4.8653216588369219E+01
7.92,4.9662500000004087E+01,4.8775553726973214E+01
7.94,4.9745833333337444E+01,4.8897569114491773E+01
7.96,4.9829166666670801E+01,4.9019263663390916E+01
7.98,4.9912500000004172E+01,4.9140638283129874E+01
8,4.9995833333337529E+01,4.9261693880173880E+01
8.02,5.0000000000000000E+01,4.9382431358006613E+01
8.04,5.0000000000000000E+01,4.9502851617143278E+01
8.06,5.0000000000000000E+01,4.9622955555142767E+01
8.08,5.0000000000000000E+01,4.9742744066619821E+01
8.1,5.0000000000000000E+01,4.9862218043258224E+01
8.12,5.0000000000000000E+01,4.9981378373822224E+01
8.14,5.0000000000000000E+01,5.0100225944169324E+01
8.16,5.0000000000000000E+01,5.0218761637262162E+01
8.18,5.0000000000000000E+01,5.0336986333180846E+01
8.2,5.0000000000000000E+01,5.0454900909134381E+01
8.22,5.0000000000000000E+01,5.0572506239473512E+01
8.24,5.0000000000000000E+01,5.0689803195701813E+01
8.26,5.0000000000000000E+01,5.0806792646488077E+01
8.28,5.0000000000000000E+01,5.0923475457677910E+01
8.3,5.0000000000000000E+01,5.0986373105153973E+01
8.32,5.0000000000000000E+01,5.0924459199983346E+01
